id,total,voted_total,gender_F,gender_M,gender_U,gender_F_voted,gender_M_voted,gender_U_voted,race_A,race_B,race_I,race_M,race_O,race_P,race_U,race_W,race_A_voted,race_B_voted,race_I_voted,race_M_voted,race_O_voted,race_P_voted,race_U_voted,race_W_voted,ethnic_HL,ethnic_NL,ethnic_UN,ethnic_HL_voted,ethnic_NL_voted,ethnic_UN_voted,party_CST,party_DEM,party_GRE,party_LIB,party_REP,party_UNA,party_CST_voted,party_DEM_voted,party_GRE_voted,party_LIB_voted,party_REP_voted,party_UNA_voted
07-10,5480,4125,2616,2115,749,2027,1596,502,122,743,14,40,195,0,849,3517,94,491,12,30,150,0,579,2769,169,3581,1730,113,2787,1225,5,2102,4,60,1155,2154,2,1590,2,38,893,1600
04-06,3077,2616,1564,1272,241,1351,1088,177,77,123,4,26,103,1,279,2464,65,97,1,19,89,1,209,2135,82,2218,777,59,1932,625,1,1010,1,18,772,1275,1,882,1,15,658,1059
16-11,3633,2572,1797,1358,478,1344,907,321,49,2162,14,38,141,1,603,625,42,1570,10,27,92,1,404,426,204,2097,1332,137,1496,939,2,2233,1,28,330,1039,1,1676,0,24,231,640
10-03,2907,2139,1467,1161,279,1102,835,202,24,833,8,25,106,0,391,1520,19,617,5,16,59,0,271,1152,184,1869,854,104,1416,619,2,1258,2,17,760,868,2,968,0,13,582,574
19-17,5562,4412,2734,2223,605,2199,1761,452,108,1876,13,69,266,0,744,2486,88,1543,7,52,187,0,549,1986,302,3551,1709,222,2854,1336,4,2497,3,52,1026,1980,1,2047,1,41,807,1515
01-03,1980,1750,973,874,133,873,768,109,11,17,4,4,21,0,134,1789,9,16,2,3,17,0,115,1588,22,1547,411,19,1380,351,1,657,1,5,627,689,1,591,1,3,550,604
20-05,4362,3665,2070,1864,428,1750,1582,333,192,192,13,18,168,0,454,3325,169,153,12,13,148,0,355,2815,67,3025,1270,50,2582,1033,3,1143,1,28,1348,1839,2,984,0,19,1125,1535
01-20,3015,2076,1298,1248,469,963,831,282,48,1167,6,35,56,0,510,1193,36,800,2,22,36,0,300,880,73,1798,1144,45,1296,735,0,1686,2,21,221,1085,0,1249,1,16,131,679
20-11,5442,4456,2517,2295,630,2095,1879,482,290,272,9,28,236,0,702,3905,253,218,6,24,203,0,541,3211,194,3530,1718,159,2940,1357,2,1522,3,35,1453,2427,1,1288,2,27,1183,1955
01-12,1956,1604,983,780,193,818,636,150,24,83,0,18,40,0,207,1584,16,56,0,15,28,0,162,1327,31,1388,537,16,1159,429,3,693,2,19,476,763,2,579,0,13,388,622
01-13,1628,1335,785,688,155,653,571,111,13,222,1,10,34,0,153,1195,8,138,1,9,27,0,109,1043,32,1126,470,25,956,354,0,828,0,8,169,623,0,676,0,6,136,517
07-04,4313,3380,2144,1668,501,1698,1336,346,48,697,7,29,123,0,566,2843,37,489,4,21,86,0,385,2358,152,3005,1156,105,2416,859,0,1741,3,45,801,1723,0,1367,3,32,654,1324
07-09,3501,2669,1640,1396,465,1293,1059,317,85,402,11,30,98,0,528,2347,68,263,8,23,57,0,359,1891,103,2329,1069,60,1827,782,1,1303,0,35,795,1367,0,1018,0,24,640,987
01-32,2690,1993,1171,1129,390,874,862,257,51,470,9,35,128,0,486,1511,36,313,8,28,78,0,323,1207,104,1731,855,59,1330,604,3,1165,1,26,387,1108,1,884,0,19,291,798
20-17,4582,3827,2122,1973,487,1787,1632,408,818,254,19,26,297,0,552,2616,731,175,18,18,248,0,458,2179,110,2967,1505,79,2473,1275,0,1273,2,16,987,2304,0,1063,2,11,827,1924
18-05,5214,4516,2527,2382,305,2197,2067,252,205,138,6,25,196,0,354,4290,185,116,6,23,163,0,288,3735,86,3950,1178,71,3486,959,1,1444,2,38,1658,2071,1,1303,1,25,1442,1744
01-33,1782,1515,864,743,175,749,643,123,22,35,2,5,33,0,200,1485,15,31,1,5,29,0,148,1286,14,1337,431,12,1173,330,1,728,2,11,456,584,0,638,2,6,392,477
13-09,4782,3529,2362,1748,672,1822,1243,464,201,2084,9,48,256,0,829,1355,162,1574,8,34,176,0,565,1010,304,2824,1654,200,2127,1202,4,2548,1,28,612,1589,2,1941,0,11,461,1114
04-19,1823,1579,858,854,111,754,730,95,82,67,1,17,99,0,147,1410,57,56,1,13,82,0,132,1238,51,1329,443,39,1173,367,3,532,2,14,413,859,1,471,1,11,371,724
01-15,2418,1933,1185,975,258,981,770,182,42,142,3,13,57,0,262,1899,24,100,2,9,40,0,190,1568,55,1762,601,36,1444,453,2,869,1,21,710,815,0,711,1,17,568,636
01-26,3008,1551,1268,1056,684,766,580,205,20,1485,4,37,56,0,721,685,17,736,3,18,30,0,223,524,84,1450,1474,43,941,567,0,1600,1,17,101,1289,0,1001,1,12,62,475
07-12,2915,2233,1417,1161,337,1116,908,209,34,450,7,15,77,0,405,1927,26,298,5,10,51,0,251,1592,113,1990,812,68,1593,572,2,1210,3,23,617,1060,1,937,3,17,495,780
01-28,4795,3419,2268,1799,728,1699,1305,415,45,1906,8,47,102,0,781,1906,33,1307,4,32,66,0,443,1534,133,2931,1731,95,2196,1128,0,2680,2,35,388,1690,0,2018,2,20,286,1093
19-07,4755,3710,2312,1875,568,1825,1471,414,55,925,7,26,130,0,630,2982,47,695,4,18,102,0,454,2390,141,3232,1382,94,2560,1056,7,1512,1,41,1574,1620,5,1194,0,29,1243,1239
01-23,5378,2641,1823,2013,1542,936,1038,667,138,576,16,122,148,0,1696,2682,77,235,8,40,81,0,711,1489,196,2652,2530,96,1418,1127,4,1810,13,58,635,2858,4,1035,6,29,279,1288
02-03,3073,2649,1429,1461,183,1254,1258,137,39,84,6,15,74,0,226,2629,31,76,6,9,62,0,174,2291,38,2455,580,29,2156,464,0,688,3,23,1201,1158,0,615,3,17,1030,984
12-09,5427,4349,2628,2251,548,2147,1798,404,61,486,10,25,127,0,617,4101,45,370,9,17,92,0,458,3358,155,3520,1752,108,2890,1351,6,1402,1,47,1921,2050,6,1127,1,33,1580,1602
17-13,5372,4250,2661,2093,618,2156,1659,435,90,1844,11,61,169,0,692,2505,64,1473,8,40,122,0,492,2051,177,3556,1639,115,2915,1220,3,2476,1,34,1120,1738,0,2021,1,24,909,1295
13-05,2404,1671,1189,813,402,855,548,268,31,855,8,21,80,0,483,926,26,578,6,13,57,0,327,664,129,1377,898,83,960,628,2,1196,4,29,330,843,2,863,2,15,235,554
01-21,4518,3151,2009,1809,700,1440,1288,423,104,1172,10,61,201,0,827,2143,81,752,6,34,132,0,512,1634,235,2728,1555,131,2014,1006,4,1975,4,44,651,1840,2,1448,2,22,459,1218
10-02,4224,3094,2097,1676,451,1616,1185,293,42,1293,14,29,174,1,613,2058,35,953,12,20,117,1,393,1563,259,2645,1320,169,2012,913,8,1745,3,30,1113,1325,4,1329,2,19,853,887
04-04,1791,1335,900,681,210,689,502,144,46,274,1,18,96,0,253,1103,30,168,1,13,64,0,170,889,92,1151,548,62,884,389,1,722,1,16,366,685,1,560,1,10,293,470
17-02,1712,1325,820,677,215,653,520,152,23,401,1,20,58,0,267,942,18,307,1,12,41,0,178,768,92,1090,530,61,886,378,5,667,0,7,431,602,2,534,0,5,337,447
01-25,756,447,317,301,138,229,151,67,2,443,1,14,15,0,144,137,2,264,1,9,9,0,71,91,17,414,325,10,257,180,0,472,1,9,33,241,0,309,0,1,18,119
16-02,5122,3725,2564,1967,591,1955,1403,367,35,2638,18,58,214,1,751,1407,33,1992,12,35,126,1,457,1069,355,3068,1699,212,2330,1183,2,3012,6,41,517,1544,1,2307,3,22,388,1004
01-46,3205,1993,1571,1137,497,1052,690,251,65,1636,11,45,191,0,645,612,52,1061,7,29,94,0,331,419,282,1726,1197,129,1176,688,7,1854,2,22,277,1043,2,1227,2,12,181,569
05-05,7778,5339,3566,2773,1439,2505,1889,945,413,1600,31,59,347,0,1569,3759,318,1030,21,39,237,0,1033,2661,262,4526,2990,159,3191,1989,4,3064,6,67,1579,3058,2,2126,3,40,1088,2080
13-08,3295,2253,1676,1149,470,1196,763,294,71,1484,9,37,182,0,642,870,47,1044,5,25,103,0,389,640,329,1799,1167,178,1288,787,3,1856,3,33,387,1013,2,1321,1,17,292,620
01-36,2785,2240,1341,1113,331,1096,900,244,38,111,5,22,53,0,339,2217,29,80,5,17,36,0,251,1822,37,2020,728,23,1657,560,0,848,2,25,958,952,0,681,2,19,799,739
04-21,2011,1383,878,811,322,611,562,210,85,378,3,24,141,0,388,992,58,257,1,14,84,0,254,715,119,1147,745,70,818,495,0,787,0,18,307,899,0,575,0,12,212,584
17-06,2385,1880,1137,1015,233,923,792,165,22,660,10,21,90,0,329,1253,19,525,7,18,58,0,235,1018,155,1555,675,104,1259,517,5,960,0,16,665,739,1,784,0,12,538,545
19-05,3476,2823,1620,1545,311,1317,1263,243,52,222,3,15,88,0,362,2734,42,179,1,8,66,0,280,2247,89,2634,753,64,2155,604,3,794,2,22,1405,1250,2,683,1,16,1133,988
04-15,2630,2141,1282,1112,236,1050,918,173,81,220,6,14,111,0,276,1922,67,161,4,11,94,0,208,1596,93,1783,754,67,1484,590,2,900,0,23,568,1137,2,752,0,14,465,908
01-39,2825,2108,1357,1104,364,1054,823,231,34,576,6,32,99,0,410,1668,23,380,3,18,68,0,259,1357,98,1885,842,57,1478,573,3,1194,3,23,542,1060,1,915,3,12,428,749
17-04,7156,5449,3454,2827,875,2694,2140,615,126,2649,11,63,319,0,1064,2924,92,2078,8,41,216,0,736,2278,381,4483,2292,247,3506,1696,3,3430,9,45,1402,2267,1,2721,6,29,1086,1606
01-29,2441,2169,1189,1086,166,1070,974,125,16,52,4,8,21,1,179,2160,12,37,2,6,20,1,145,1946,20,1932,489,17,1744,408,1,822,0,15,816,787,1,753,0,14,728,673
19-13,2449,1802,1252,867,330,943,629,230,66,490,7,31,99,0,347,1409,41,353,6,22,56,0,233,1091,106,1601,742,66,1210,526,2,895,4,14,599,935,0,673,2,7,452,668
01-17,1093,944,544,473,76,476,410,58,19,20,0,3,12,0,93,946,15,16,0,3,12,0,68,830,14,824,255,12,722,210,1,342,0,11,372,367,0,299,0,10,320,315
20-15,4630,3416,2007,1764,859,1511,1291,614,725,603,23,28,307,0,923,2021,616,421,12,24,217,0,657,1469,169,2575,1886,115,1907,1394,5,1569,4,43,765,2244,1,1164,3,30,537,1681
19-11,3574,2774,1747,1421,406,1389,1124,261,45,376,10,21,103,0,478,2541,30,280,9,16,77,0,322,2040,136,2490,948,101,1972,701,3,1067,1,26,1085,1392,3,879,0,14,855,1023
04-18,3016,2293,1391,1199,426,1076,930,287,173,247,2,22,142,0,471,1959,138,174,2,19,108,0,322,1530,79,1965,972,61,1533,699,5,1023,5,26,598,1359,4,776,4,15,474,1020
06-05,3319,2770,1573,1514,232,1327,1258,185,32,187,6,11,50,0,260,2773,26,140,6,9,37,0,210,2342,60,2419,840,47,2053,670,2,732,0,14,1305,1266,2,623,0,9,1101,1035
20-04,3699,3101,1739,1613,347,1471,1359,271,541,138,13,30,262,0,383,2332,467,110,13,28,223,0,309,1951,89,2513,1097,71,2131,899,3,995,4,23,824,1850,3,857,4,14,690,1533
04-09,2643,2149,1226,1160,257,992,956,201,272,134,15,21,163,0,276,1762,231,88,12,15,135,0,217,1451,76,1807,760,53,1495,601,0,683,1,17,734,1208,0,572,1,8,609,959
16-03,1642,1181,817,649,176,615,470,96,12,493,5,18,57,0,202,855,8,349,3,11,32,0,110,668,82,1120,440,48,840,293,3,704,0,16,333,586,2,538,0,11,259,371
02-04,2498,2144,1172,1134,192,1019,975,150,63,94,4,17,67,0,217,2036,51,74,4,14,54,0,170,1777,23,1934,541,18,1677,449,0,579,0,11,989,919,0,499,0,8,848,789
01-11,2602,2266,1247,1157,198,1098,1016,152,20,38,0,5,30,0,218,2291,17,26,0,3,21,0,174,2025,31,2002,569,25,1760,481,0,704,0,12,1061,825,0,615,0,10,933,708
17-12,3477,2740,1779,1307,391,1434,1034,272,109,1501,12,39,150,0,499,1167,82,1220,7,29,109,0,344,949,196,2153,1128,142,1734,864,6,1823,4,15,522,1107,4,1471,3,11,428,823
06-10,4066,3333,1925,1804,337,1607,1475,251,113,423,13,28,149,0,412,2928,95,331,8,25,118,0,309,2447,128,2657,1281,96,2240,997,2,1037,2,29,1351,1645,2,856,1,23,1137,1314
01-05,1202,1063,586,543,73,521,487,55,5,28,0,1,16,0,92,1060,4,20,0,1,13,0,73,952,5,950,247,4,852,207,1,420,0,4,409,368,1,373,0,3,366,320
04-16,2148,1809,1075,864,209,936,718,155,48,95,5,10,62,0,239,1689,42,74,4,10,49,0,187,1443,49,1491,608,39,1277,493,2,760,0,28,449,909,2,670,0,21,362,754
01-02,1961,1525,896,764,301,722,612,191,28,47,2,22,36,0,333,1493,18,30,0,17,26,0,211,1223,28,1327,606,17,1098,410,1,830,2,15,305,808,1,696,1,8,228,591
07-02,1722,1434,862,709,151,733,590,111,40,198,4,15,55,0,180,1230,32,145,4,10,38,0,143,1062,44,1252,426,25,1070,339,1,618,2,17,488,596,1,521,2,12,421,477
06-07,3634,2924,1707,1610,317,1394,1300,230,163,415,1,25,178,0,383,2469,145,314,1,18,141,0,274,2031,120,2428,1086,81,2020,823,1,1095,2,39,1013,1484,1,899,1,25,832,1166
19-20,3595,2989,1727,1529,339,1467,1266,256,83,620,9,20,139,0,411,2313,71,523,8,12,109,0,319,1947,119,2531,945,91,2138,760,1,1171,0,20,1123,1280,1,990,0,12,950,1036
01-06,2966,2313,1288,1232,446,1024,964,325,36,102,2,30,57,0,453,2286,30,70,0,24,45,0,325,1819,62,2000,904,45,1602,666,3,1228,1,34,513,1187,2,1013,0,28,377,893
07-13,2350,1878,1200,898,252,975,729,174,40,347,2,15,63,0,287,1596,35,247,2,8,43,0,205,1338,75,1679,596,45,1376,457,1,910,0,19,562,858,0,736,0,9,467,666
17-07,3876,2925,1912,1518,446,1522,1113,290,90,2149,6,41,216,0,634,740,70,1717,3,31,132,0,413,559,297,2299,1280,177,1820,928,1,2426,2,20,311,1116,1,1939,2,12,230,741
04-20,3169,2553,1560,1290,319,1291,1035,227,162,355,5,28,163,0,411,2045,133,267,4,20,119,0,301,1709,166,2050,953,118,1702,733,2,1174,5,24,626,1338,2,965,5,16,503,1062
04-01,2326,1876,1246,878,202,1010,718,148,54,228,5,15,78,0,246,1700,43,151,5,11,59,0,183,1424,73,1577,676,51,1314,511,1,896,1,12,492,924,1,736,0,5,409,725
08-10,2992,2313,1455,1199,338,1135,931,247,98,394,9,37,113,0,397,1944,77,269,4,25,90,0,294,1554,94,2044,854,68,1611,634,1,1040,2,29,722,1198,1,804,2,15,563,928
01-49,3811,2227,1539,1358,914,931,811,485,80,963,4,62,153,0,979,1570,50,539,1,36,83,0,521,997,154,1983,1674,75,1225,927,5,1668,2,36,482,1618,3,1056,1,19,288,860
05-03,4433,3424,2063,1852,518,1589,1448,387,503,323,7,42,263,0,574,2721,421,207,6,26,202,0,433,2129,125,2903,1405,90,2266,1068,3,1255,1,29,1136,2009,1,948,1,22,908,1544
18-03,2431,2081,1191,1042,198,1036,895,150,107,95,0,8,122,0,230,1869,97,74,0,7,103,0,171,1629,40,1781,610,30,1554,497,1,762,0,13,666,989,1,660,0,8,572,840
17-05,4133,3195,2059,1619,455,1648,1234,313,166,1555,6,48,227,0,587,1544,128,1206,3,36,157,0,401,1264,284,2561,1288,193,2049,953,1,2077,3,21,634,1397,1,1675,1,14,502,1002
01-27,2435,1772,939,1128,368,712,811,249,34,376,9,30,67,0,403,1516,25,224,6,21,45,0,264,1187,93,1505,837,54,1156,562,3,1179,3,29,238,983,2,919,1,18,162,670
08-06,2392,1650,1097,856,439,760,602,288,29,537,3,23,89,1,476,1234,22,357,2,15,50,0,308,896,98,1422,872,53,1002,595,2,1030,2,29,349,980,0,745,1,18,249,637
15-01,4438,3489,2089,1928,421,1663,1530,296,33,562,10,22,114,0,528,3169,20,441,8,13,80,0,377,2550,164,3105,1169,119,2480,890,5,1246,2,43,1547,1595,4,993,2,31,1269,1190
19-15,3181,2448,1562,1253,366,1224,954,270,96,432,9,25,122,0,409,2088,82,334,5,18,94,0,299,1616,104,2177,900,69,1689,690,2,931,3,21,1074,1150,1,742,1,12,822,870
01-04,1247,1065,605,525,117,525,451,89,6,18,2,8,8,0,130,1075,6,12,2,6,6,0,99,934,9,933,305,6,812,247,1,418,2,7,355,464,1,366,1,4,302,391
01-45,1837,1432,851,784,202,666,622,144,49,289,2,11,49,0,241,1196,25,182,2,9,33,0,170,1011,70,1289,478,39,1037,356,2,692,1,16,403,723,1,534,1,13,332,551
04-11,1658,1262,753,707,198,585,535,142,88,241,4,20,113,0,244,948,74,170,3,15,75,0,171,754,95,997,566,61,773,428,4,629,0,14,283,728,2,487,0,9,213,551
07-03,1641,1436,796,726,119,690,649,97,20,107,2,9,23,0,136,1344,16,78,2,6,19,0,110,1205,10,1280,351,8,1134,294,0,573,1,5,431,631,0,503,0,4,386,543
