id,Ned W. Mangum,under
01-01,432,900
01-02,557,799
01-03,873,674
01-05,484,377
01-06,816,1184
01-07,531,993
01-07A,32,141
01-11,1142,633
01-16,853,1157
01-29,1017,852
01-33,560,676
01-49,631,1043
04-01,657,890
04-02,800,934
04-03,606,730
04-04,495,632
04-05,1233,1277
04-06,1032,1179
04-07,1268,928
04-08,751,962
04-09,885,784
04-10,976,1027
04-11,397,627
04-12,967,1070
04-14,602,680
04-15,752,1019
04-16,670,909
04-17,620,703
04-18,856,929
04-20,904,1116
04-21,411,659
05-05,1933,2287
06-05,1404,928
06-07,1148,1175
07-01,526,660
07-10,1489,1738
08-03,1667,1739
08-08,1677,1532
08-10,879,980
08-11,1171,1470
11-01,1544,1586
11-02,1377,1661
12-01,2306,1474
12-02,1528,1320
12-04,1893,994
12-05,2863,2154
12-06,1521,1007
12-07,1042,739
12-09,1850,1213
15-01,1718,1115
15-02,2023,1582
15-03,2074,1135
15-04,941,718
16-01,863,737
16-05,881,757
16-09,1040,1205
18-02,1995,1448
18-03,882,890
18-05,2030,1746
20-03,1343,1290
20-05,1549,1340
20-09,1037,1008
