id,Anne Murtha,Rosa U. Gill,over,under
01-21,565,1750,2,46
01-22,94,2245,3,44
01-23,721,2820,1,60
01-25,21,296,0,6
01-26,74,1146,0,28
01-27,176,1171,1,32
01-35,42,1179,0,23
01-50,100,1718,2,33
16-02,465,2244,0,56
16-03,339,574,1,10
16-04,836,1038,2,33
16-05,737,867,0,34
16-06,281,539,0,21
16-07,994,1360,0,35
16-09,491,1089,2,35
16-10,328,2398,0,49
16-11,204,1466,0,17
