id,No,Yes,under
15-02,29,141,2
15-04,16,90,3
16-01,9,31,0
16-02,54,278,0
16-03,47,170,8
16-04,100,505,4
16-05,28,145,2
16-06,31,130,0
16-07,139,597,5
16-09,46,272,0
16-11,36,41,1
18-04,1,3,0
