precinct_abbrv,total,voted_total,gender_F,gender_M,gender_U,gender_F_voted,gender_M_voted,gender_U_voted,race_A,race_B,race_I,race_M,race_O,race_P,race_U,race_W,race_A_voted,race_B_voted,race_I_voted,race_M_voted,race_O_voted,race_P_voted,race_U_voted,race_W_voted,ethnic_HL,ethnic_NL,ethnic_UN,ethnic_HL_voted,ethnic_NL_voted,ethnic_UN_voted,party_CST,party_DEM,party_GRE,party_JFA,party_LIB,party_NLB,party_REP,party_UNA,party_WTP,party_CST_voted,party_DEM_voted,party_GRE_voted,party_JFA_voted,party_LIB_voted,party_NLB_voted,party_REP_voted,party_UNA_voted,party_WTP_voted
04-14,1713,1530,848,754,111,773,669,88,31,70,2,6,70,0,121,1413,21,58,2,5,59,0,95,1290,61,1217,435,53,1107,370,0,570,1,0,9,3,363,766,1,0,529,1,0,7,2,333,658,0
09-01,2607,2096,1221,1149,237,1014,919,163,14,624,5,14,97,0,265,1588,8,464,4,9,63,0,180,1368,131,1771,705,81,1489,526,0,854,0,0,10,7,869,866,1,0,677,0,0,9,4,762,643,1
14-01,904,795,426,410,68,373,364,58,7,53,8,3,19,0,80,734,5,48,7,3,15,0,64,653,13,632,259,10,568,217,1,186,0,0,6,4,348,359,0,1,164,0,0,5,3,318,304,0
20-04,3753,3234,1766,1654,333,1546,1428,260,622,126,13,25,312,0,363,2292,505,110,12,21,255,0,285,2046,99,2482,1172,81,2168,985,0,998,4,0,18,7,678,2048,0,0,865,3,0,14,4,608,1740,0
19-18,4449,3823,2118,1909,422,1872,1615,336,121,757,8,26,253,0,441,2843,104,622,8,24,204,0,340,2521,240,2787,1422,191,2442,1190,0,1303,0,0,29,23,1167,1927,0,0,1161,0,0,20,19,1045,1578,0
18-07,4192,3684,1981,1912,299,1770,1664,250,103,322,17,18,205,0,328,3199,82,266,14,17,147,0,276,2882,166,2959,1067,117,2643,924,0,980,5,0,27,10,1357,1812,1,0,861,4,0,23,9,1231,1555,1
20-01,4115,3375,1973,1735,407,1675,1408,292,213,529,12,23,325,0,468,2545,162,406,11,21,207,0,345,2223,268,2462,1385,156,2116,1103,0,1336,3,2,40,15,855,1864,0,0,1118,3,1,32,7,766,1448,0
18-05,5377,4864,2600,2474,303,2385,2228,251,279,134,8,22,247,0,346,4341,228,120,6,18,206,0,289,3997,105,3952,1320,89,3622,1153,0,1448,2,0,28,5,1390,2504,0,0,1334,2,0,15,3,1293,2217,0
18-01,5245,3871,2055,2073,1117,1621,1491,759,208,1051,14,50,295,0,1215,2412,157,713,10,36,199,0,830,1926,250,2689,2306,171,2022,1678,1,1955,9,1,29,24,537,2687,2,0,1543,8,1,18,14,406,1880,1
07-13,2396,2051,1227,951,218,1079,814,158,47,331,1,15,82,0,244,1676,35,254,1,13,62,0,177,1509,76,1655,665,55,1463,533,0,886,1,0,12,11,507,979,0,0,769,1,0,10,7,455,809,0
08-08,4529,4036,2159,2008,362,1949,1792,295,125,251,9,22,181,1,415,3525,102,212,8,20,147,1,335,3211,151,3224,1154,124,2924,988,0,1243,1,0,28,11,1109,2137,0,0,1123,1,0,25,9,1011,1867,0
12-08,5863,4849,2860,2447,556,2421,1992,436,129,999,18,33,330,0,623,3731,99,767,15,26,229,0,479,3234,311,3629,1923,225,3057,1567,0,1770,2,0,62,27,1532,2469,1,0,1492,1,0,45,19,1338,1953,1
