precinct_abbrv,total,voted_total,gender_F,gender_M,gender_U,gender_F_voted,gender_M_voted,gender_U_voted,race_A,race_B,race_I,race_M,race_O,race_P,race_U,race_W,race_A_voted,race_B_voted,race_I_voted,race_M_voted,race_O_voted,race_P_voted,race_U_voted,race_W_voted,ethnic_HL,ethnic_NL,ethnic_UN,ethnic_HL_voted,ethnic_NL_voted,ethnic_UN_voted,party_CST,party_DEM,party_GRE,party_JFA,party_LIB,party_NLB,party_REP,party_UNA,party_WTP,party_CST_voted,party_DEM_voted,party_GRE_voted,party_JFA_voted,party_LIB_voted,party_NLB_voted,party_REP_voted,party_UNA_voted,party_WTP_voted
18-04,4850,4123,2298,2201,351,1986,1878,259,206,405,11,30,289,0,412,3497,160,305,9,22,193,0,297,3137,205,3493,1152,125,3063,935,0,1315,0,0,30,15,1326,2163,1,0,1110,0,0,21,10,1191,1790,1
09-02,4223,3178,2090,1638,495,1674,1205,299,29,1613,15,33,271,0,587,1675,21,1207,12,20,165,0,359,1394,335,2511,1377,203,2035,940,1,1930,3,0,19,35,793,1440,2,1,1506,3,0,9,21,663,973,2
20-10,3355,2907,1574,1496,285,1370,1300,237,458,140,10,20,233,0,323,2171,362,122,9,13,192,0,263,1946,102,2263,990,80,1995,832,0,893,2,0,9,8,596,1847,0,0,785,2,0,8,6,524,1582,0
17-15,2784,2297,1379,1138,267,1178,923,196,35,1017,2,13,209,0,339,1169,26,837,2,9,146,0,237,1040,243,1693,848,164,1471,662,0,1177,0,0,11,23,516,1057,0,0,992,0,0,5,17,465,818,0
01-25,1097,515,362,409,326,251,180,84,5,531,5,13,29,1,357,156,4,295,1,9,14,0,95,97,28,454,615,11,279,225,0,468,1,0,10,8,52,558,0,0,303,1,0,5,1,23,182,0
04-03,2195,1722,1046,959,190,845,750,127,71,272,4,18,163,0,235,1432,47,179,4,12,102,0,157,1221,135,1403,657,90,1152,480,0,769,1,0,15,11,403,996,0,0,618,0,0,12,8,325,759,0
01-17,1109,998,554,486,69,515,428,55,19,29,1,4,19,1,78,958,17,20,0,3,17,1,63,877,21,814,274,20,741,237,0,308,0,1,10,2,344,444,0,0,287,0,1,7,1,312,390,0
04-17,1842,1548,919,739,184,790,625,133,64,154,7,13,95,0,226,1283,48,117,7,12,69,0,171,1124,65,1207,570,49,1039,460,0,633,2,0,19,4,299,885,0,0,551,2,0,16,3,252,724,0
01-45,1868,1522,892,791,185,744,657,121,28,283,3,6,65,0,230,1253,18,191,3,3,44,0,149,1114,78,1234,556,51,1056,415,0,648,5,0,12,6,370,827,0,0,540,2,0,9,3,310,658,0
01-38,2457,1911,1135,1006,316,944,777,190,75,550,8,18,184,0,393,1229,54,407,6,16,117,0,243,1068,178,1450,829,111,1204,596,0,1109,0,1,20,17,345,964,1,0,908,0,0,14,8,281,700,0
18-02,5231,4637,2502,2425,304,2264,2128,245,156,181,10,21,204,1,365,4293,114,159,9,16,157,1,287,3894,162,3742,1327,130,3373,1134,1,1236,4,0,37,13,1567,2373,0,1,1108,3,0,30,11,1425,2059,0
01-18,2785,2244,1321,1202,262,1122,954,168,41,443,2,12,131,0,312,1844,25,295,2,5,73,0,207,1637,150,1870,765,82,1589,573,0,1081,4,0,14,11,561,1114,0,0,881,2,0,9,8,488,856,0
02-06,2783,2496,1338,1308,137,1233,1169,94,59,135,7,6,88,2,169,2317,46,116,5,5,80,2,126,2116,31,2114,638,26,1938,532,0,613,0,0,18,0,1008,1144,0,0,565,0,0,15,0,915,1001,0
12-07,3576,3013,1684,1565,327,1476,1299,238,57,454,16,27,198,0,434,2390,49,374,15,25,138,0,319,2093,221,2264,1091,154,1971,888,0,864,2,0,31,15,1122,1542,0,0,754,2,0,29,10,995,1223,0
16-01,3800,2924,1803,1490,507,1454,1110,360,63,973,3,21,241,0,538,1961,48,740,1,16,138,0,377,1604,277,2157,1366,159,1728,1037,1,1315,2,1,29,30,934,1488,0,1,1059,0,1,19,16,787,1041,0
01-12,1977,1763,1001,815,161,906,735,122,24,88,1,13,33,1,171,1646,19,59,1,11,28,1,132,1512,33,1376,568,25,1253,485,0,702,0,0,20,0,408,847,0,0,648,0,0,16,0,370,729,0
07-01,1949,1600,955,776,218,820,627,153,29,303,2,19,104,0,252,1240,19,210,2,15,66,0,175,1113,100,1236,613,62,1069,469,0,769,2,0,17,7,307,846,1,0,652,1,0,13,4,273,657,0
01-35,2574,1620,1160,957,457,857,593,170,17,1510,8,23,134,1,537,344,11,1020,3,14,73,0,202,297,182,1332,1060,82,956,582,0,1500,3,0,12,13,106,940,0,0,1093,2,0,3,8,63,451,0
13-07,2637,2053,1279,1030,328,1071,787,195,131,907,8,26,222,0,410,933,96,731,3,17,137,0,253,816,216,1518,903,136,1268,649,0,1210,2,1,12,22,360,1029,1,0,990,1,1,11,17,304,728,1
16-04,3044,2645,1594,1221,229,1430,1052,163,24,744,8,17,105,0,261,1885,21,606,8,13,84,0,188,1725,111,2134,799,80,1901,664,0,1146,1,0,13,5,758,1121,0,0,1003,1,0,11,2,698,930,0
06-05,3302,2952,1563,1537,202,1420,1369,163,50,173,4,8,57,0,231,2779,41,141,4,8,46,0,191,2521,80,2375,847,64,2154,734,0,691,0,0,13,1,1132,1465,0,0,612,0,0,12,1,1042,1285,0
13-11,3394,3020,1777,1374,243,1601,1220,199,66,310,6,15,103,0,270,2624,58,247,4,13,89,0,221,2388,74,2464,856,63,2226,731,0,999,0,0,18,11,976,1390,0,0,902,0,0,17,8,902,1191,0
10-05,4178,3645,2030,1795,353,1823,1557,265,42,1118,11,20,175,0,429,2383,32,968,8,17,130,0,330,2160,199,2798,1181,132,2522,991,0,1447,3,0,32,18,1161,1516,1,0,1276,3,0,29,14,1059,1263,1
15-04,2435,2105,1171,1096,168,1040,938,127,27,383,3,17,104,0,182,1719,20,308,3,13,76,0,136,1549,91,1777,567,65,1570,470,0,698,2,0,15,10,773,937,0,0,607,1,0,15,8,714,760,0
08-05,2160,1979,1078,961,121,994,883,102,46,119,3,16,68,0,152,1756,36,107,3,14,61,0,124,1634,50,1651,459,40,1533,406,0,638,1,0,9,1,567,944,0,0,599,1,0,8,1,524,846,0
20-17,5417,4658,2507,2314,596,2192,1978,488,1180,315,39,27,435,0,650,2771,1007,263,33,23,364,0,542,2426,136,3332,1949,112,2883,1663,0,1509,2,0,19,15,899,2973,0,0,1338,1,0,14,12,775,2518,0
12-04,6332,5392,3049,2748,535,2649,2319,424,117,530,19,32,285,2,602,4745,97,425,17,28,199,2,464,4160,329,4041,1962,226,3535,1631,0,1257,2,0,49,27,2263,2734,0,0,1070,1,0,42,15,2016,2248,0
04-15,2578,2234,1271,1095,212,1138,926,170,101,196,2,12,123,0,245,1899,84,150,2,9,95,0,195,1699,102,1721,755,74,1527,633,0,795,5,0,15,8,498,1257,0,0,708,5,0,10,5,441,1065,0
16-05,2771,2230,1342,1166,263,1116,945,169,38,556,9,21,153,0,320,1674,28,422,7,14,99,0,200,1460,169,1819,783,102,1547,581,1,982,2,0,25,8,625,1126,2,1,806,2,0,20,4,547,848,2
01-51,1087,960,565,438,84,505,392,63,10,69,0,5,18,0,93,892,8,52,0,4,14,0,69,813,18,788,281,12,710,238,0,357,0,0,5,1,262,462,0,0,327,0,0,5,1,232,395,0
07-02,1661,1432,839,701,121,748,597,87,40,193,3,8,60,0,153,1204,33,144,3,5,44,0,116,1087,44,1199,418,33,1052,347,0,570,2,1,13,9,384,680,2,0,497,0,0,8,4,349,572,2
04-19,1825,1603,857,867,101,772,749,82,90,63,3,10,126,0,127,1406,68,50,2,10,104,0,105,1264,64,1270,491,55,1131,417,0,538,2,0,12,3,337,933,0,0,484,2,0,10,1,305,801,0
16-06,1457,1091,732,568,157,578,422,91,4,428,3,2,70,0,196,754,3,290,1,1,37,0,112,647,86,914,457,42,734,315,0,655,1,0,18,4,259,520,0,0,513,1,0,13,0,213,351,0
01-07,3056,2614,1227,1421,408,1077,1196,341,69,158,8,20,107,0,393,2301,58,130,7,16,87,0,329,1987,104,1832,1120,83,1578,953,0,1246,2,0,26,14,446,1322,0,0,1112,1,0,19,12,380,1090,0
01-11,2828,2562,1395,1270,163,1275,1152,135,32,69,1,7,60,0,171,2488,29,59,1,6,50,0,140,2277,40,2098,690,31,1928,603,0,714,1,0,15,4,1031,1062,1,0,664,1,0,9,2,941,944,1
19-05,3796,3263,1834,1689,273,1588,1460,215,71,270,2,14,135,0,307,2997,59,236,2,11,103,0,233,2619,121,2642,1033,99,2307,857,0,855,2,0,29,12,1321,1576,1,0,771,2,0,17,10,1168,1294,1
17-06,2622,2101,1234,1126,262,1039,902,160,29,720,12,21,169,1,366,1304,21,593,11,16,98,0,221,1141,238,1601,783,126,1380,595,0,958,3,0,13,16,663,968,1,0,811,2,0,11,6,586,685,0
01-27,2678,2007,1049,1202,427,872,899,236,62,368,3,23,125,0,444,1653,51,208,1,14,86,0,240,1407,132,1536,1010,86,1245,676,0,1225,4,0,26,15,185,1222,1,0,1012,3,0,18,8,130,836,0
01-33,1943,1734,960,858,125,861,763,110,28,75,2,3,39,0,136,1660,20,57,2,3,35,0,118,1499,16,1435,492,15,1295,424,0,746,0,0,11,7,438,741,0,0,673,0,0,8,5,390,658,0
17-02,2245,1891,1101,929,215,957,769,165,50,580,3,20,157,0,259,1176,41,485,2,18,101,0,198,1046,188,1421,636,125,1245,521,0,826,2,0,11,11,472,922,1,0,718,0,0,8,8,408,748,1
01-10,1584,1452,797,705,82,732,647,73,9,16,0,3,12,1,97,1446,8,13,0,2,11,1,84,1333,10,1199,375,8,1112,332,0,565,0,0,11,2,351,655,0,0,529,0,0,9,2,318,594,0
04-07,2867,2589,1397,1310,160,1273,1187,129,80,42,1,14,90,0,185,2455,64,38,1,9,78,0,151,2248,46,2137,684,36,1960,593,0,643,0,0,13,5,995,1211,0,0,573,0,0,12,2,923,1079,0
01-07A,310,194,148,116,46,93,79,22,7,184,0,3,17,1,47,51,6,116,0,3,12,1,24,32,11,178,121,6,114,74,0,202,0,0,0,4,29,75,0,0,137,0,0,0,2,21,34,0
01-04,1097,990,555,481,61,504,441,45,9,11,0,2,6,0,77,992,7,8,0,2,5,0,58,910,8,840,249,7,765,218,0,358,0,0,4,2,296,437,0,0,330,0,0,4,1,273,382,0
07-07A,642,563,429,182,31,364,171,28,4,0,0,0,1,0,33,604,3,0,0,0,1,0,27,532,2,514,126,2,454,107,0,283,0,0,1,0,162,196,0,0,250,0,0,1,0,137,175,0
07-03,1624,1451,799,718,107,730,634,87,26,92,1,4,37,0,126,1338,19,70,1,3,27,0,102,1229,22,1233,369,13,1121,317,0,539,0,0,6,3,400,676,0,0,487,0,0,4,3,370,587,0
