id,No,Yes,under
06-04,342,468,19
06-05,341,498,27
06-06,598,1079,66
06-07,106,86,13
06-08,230,354,28
06-10,140,426,13
06-11,49,164,8
06-12,629,1260,60
12-09,11,14,0
12-10,245,312,17
12-11,27,24,1
