id,total,voted_total,gender_F,gender_M,gender_U,gender_F_voted,gender_M_voted,gender_U_voted,race_A,race_B,race_I,race_M,race_O,race_U,race_W,race_A_voted,race_B_voted,race_I_voted,race_M_voted,race_O_voted,race_U_voted,race_W_voted,ethnic_HL,ethnic_NL,ethnic_UN,ethnic_HL_voted,ethnic_NL_voted,ethnic_UN_voted,party_CST,party_DEM,party_GRE,party_LIB,party_REP,party_UNA,party_CST_voted,party_DEM_voted,party_GRE_voted,party_LIB_voted,party_REP_voted,party_UNA_voted
16-05,2500,1423,1284,1114,102,748,637,38,26,529,9,17,84,148,1687,11,264,5,7,31,63,1042,80,1901,519,32,1120,271,0,1020,2,21,671,786,0,604,0,11,422,386
17-11,4183,2380,2185,1771,227,1301,987,92,228,1691,10,77,359,431,1387,110,1077,5,40,142,187,819,458,2610,1115,175,1577,628,1,2164,0,20,586,1412,0,1355,0,4,329,692
08-06,1975,1044,1010,835,130,550,437,57,26,504,4,19,84,187,1151,13,260,3,6,31,97,634,68,1375,532,27,748,269,2,851,0,18,315,789,1,503,0,5,177,358
07-03,1493,1094,770,690,33,561,518,15,16,95,3,10,19,54,1296,7,57,3,5,13,31,978,13,1230,250,5,927,162,0,528,1,3,444,517,0,416,1,0,321,356
01-23,8226,2458,3107,3360,1759,991,1061,406,305,906,26,215,173,2260,4341,84,222,6,66,56,576,1448,298,4143,3785,92,1380,986,0,2234,1,88,1246,4657,0,877,1,26,270,1284
12-05,7395,4504,3778,3409,208,2351,2052,101,112,581,12,40,192,347,6111,63,368,7,23,91,196,3756,202,5344,1849,96,3339,1069,1,1830,0,50,2765,2749,1,1267,0,20,1666,1550
04-19,1869,1214,917,910,42,605,587,22,93,71,3,16,108,72,1506,37,42,0,8,62,45,1020,56,1420,393,28,961,225,0,538,0,12,485,834,0,398,0,6,312,498
04-11,1644,893,809,778,57,448,414,31,100,254,4,21,136,97,1032,49,116,3,13,53,51,608,84,1121,439,26,640,227,0,616,1,17,309,701,0,338,1,9,164,381
04-05,3459,2327,1686,1656,117,1152,1114,61,288,208,7,20,220,180,2536,177,137,5,10,122,112,1764,63,2570,826,31,1787,509,0,1136,0,22,867,1434,0,843,0,13,566,905
04-01,2171,1409,1252,845,74,825,543,41,53,250,5,11,74,102,1676,25,125,4,6,26,58,1165,61,1569,541,26,1054,329,0,865,0,9,492,805,0,592,0,3,322,492
17-09,3548,1891,2042,1298,208,1203,626,62,53,2570,9,41,142,315,418,23,1469,1,16,47,126,209,207,2200,1141,77,1260,554,1,2456,1,11,173,906,0,1439,0,4,78,370
16-10,4353,2319,2359,1733,261,1384,841,94,54,2872,9,55,223,402,738,16,1623,4,25,83,172,396,281,2661,1411,104,1477,738,0,2848,0,8,355,1142,0,1623,0,3,174,519
18-06,4036,2143,1995,1788,253,1093,940,110,183,541,10,55,205,375,2667,87,277,7,20,90,172,1490,119,2789,1128,51,1523,569,1,1531,2,34,743,1725,1,894,1,8,373,866
16-07,3177,2118,1714,1366,97,1158,911,49,31,685,11,30,85,133,2202,13,453,6,15,48,74,1509,70,2460,647,33,1720,365,0,1332,0,12,840,993,0,958,0,5,603,552
19-15,2516,1550,1336,1048,132,821,661,68,66,312,4,29,109,143,1853,39,200,1,17,52,77,1164,76,1871,569,40,1165,345,0,691,1,14,894,916,0,461,0,5,548,536
19-04,7475,4691,3865,3322,288,2442,2122,127,210,1589,13,68,349,457,4789,117,1102,8,37,192,248,2987,298,5605,1572,155,3596,940,0,2501,2,48,2331,2593,0,1715,0,19,1477,1480
10-02,3629,1895,1950,1541,138,1050,792,53,33,1149,12,32,144,238,2021,22,606,7,9,60,91,1100,191,2605,833,55,1429,411,0,1550,0,17,994,1068,0,860,0,6,574,455
13-08,2629,1256,1459,1011,159,756,457,43,56,1318,9,38,167,275,766,20,660,3,18,59,96,400,234,1635,760,81,854,321,1,1516,1,14,302,795,0,786,1,4,164,301
01-16,2720,1752,1482,1116,122,982,711,59,63,317,4,22,75,154,2085,19,166,2,11,33,67,1454,58,2080,582,23,1399,330,0,1218,0,20,600,882,0,865,0,4,379,504
18-01,5075,2167,2245,2233,597,982,992,193,194,1094,17,78,194,772,2726,78,457,4,30,58,277,1263,182,3163,1730,85,1457,625,0,1964,1,60,750,2300,0,981,0,22,281,883
01-44,3527,2059,1948,1407,172,1168,815,76,35,808,8,46,154,245,2231,20,385,5,23,55,107,1464,155,2548,824,61,1592,406,0,1640,0,21,765,1101,0,1009,0,6,471,573
01-22,3971,2060,2164,1536,271,1255,723,82,36,3175,13,41,109,348,249,16,1782,9,13,28,120,92,180,2463,1328,48,1398,614,0,2915,1,8,102,945,0,1691,1,1,36,331
01-06,2630,1702,1290,1189,151,825,790,87,29,99,2,27,50,175,2248,20,50,1,17,27,105,1482,55,1990,585,30,1319,353,0,1077,0,24,506,1023,0,770,0,15,296,621
01-17,1062,746,538,491,33,374,352,20,12,23,1,3,19,45,959,8,10,0,2,15,28,683,20,846,196,13,607,126,0,345,1,8,369,339,0,273,1,5,251,216
07-09,3139,1943,1629,1337,173,1008,849,86,74,357,10,28,108,242,2320,46,173,4,14,50,117,1539,104,2301,734,43,1475,425,0,1165,0,26,771,1177,0,779,0,7,501,656
13-05,1964,883,1095,709,160,530,299,54,34,752,7,21,88,227,835,16,333,3,8,30,88,405,113,1254,597,44,586,253,0,973,1,17,323,650,0,478,1,3,153,248
17-03,6035,3507,3300,2452,283,1979,1405,123,183,2175,19,70,250,414,2924,74,1346,8,31,114,190,1744,258,4247,1530,123,2538,846,0,2940,1,36,1096,1962,0,1886,0,13,622,986
10-04,6993,4152,3677,3015,301,2256,1771,125,65,2510,23,76,236,474,3609,34,1560,11,27,105,230,2185,334,5001,1658,119,3117,916,0,3172,1,38,1715,2067,0,2037,1,16,1085,1013
01-48,2182,1408,1055,995,132,713,632,63,37,271,7,23,74,183,1587,23,136,4,11,38,96,1100,47,1634,501,18,1086,304,0,976,3,19,304,880,0,684,2,8,184,530
20-14,5932,3658,2929,2740,263,1783,1718,157,1427,305,32,51,499,358,3260,912,191,13,32,311,235,1964,160,3947,1825,85,2445,1128,0,1639,1,27,1325,2940,0,1073,1,13,763,1808
04-10,2633,1794,1316,1234,83,906,841,47,134,126,3,17,117,134,2102,82,91,1,13,71,97,1439,75,1976,582,49,1375,370,0,790,0,24,680,1139,0,596,0,9,465,724
01-51,1059,749,580,440,39,424,307,18,11,75,0,4,25,42,902,6,41,0,2,12,18,670,12,866,181,4,630,115,0,388,0,5,310,356,0,293,0,1,228,227
01-12,1876,1193,980,803,93,636,505,52,18,108,1,15,32,102,1600,12,43,1,9,15,55,1058,22,1419,435,7,936,250,0,693,0,16,502,665,0,467,0,8,300,418
19-13,2230,1194,1237,876,117,683,455,56,59,453,6,28,109,145,1430,22,245,1,16,41,63,806,83,1633,514,31,906,257,1,816,0,13,591,809,0,469,0,4,309,412
01-40,4350,2023,2380,1647,323,1246,701,76,33,3296,8,57,151,420,385,16,1659,3,21,48,111,165,189,2645,1516,41,1389,593,0,3080,0,11,157,1102,0,1650,0,4,50,319
02-01,3011,2195,1505,1422,84,1114,1038,43,43,152,4,10,84,140,2578,27,97,3,4,46,87,1931,44,2473,494,24,1858,313,0,827,1,23,1112,1048,0,652,0,15,837,691
08-08,4075,2853,2038,1895,142,1428,1352,73,103,229,10,31,115,225,3362,64,179,7,23,74,139,2367,95,3191,789,66,2276,511,0,1109,0,22,1360,1584,0,859,0,13,931,1050
13-09,4200,2288,2322,1634,244,1298,880,110,193,1917,12,51,254,390,1383,83,1189,7,18,99,185,707,276,2725,1199,124,1526,638,0,2265,0,19,579,1337,0,1356,0,6,289,637
08-10,2605,1574,1384,1129,92,835,694,45,85,368,8,33,124,149,1838,48,179,4,22,74,90,1157,81,1973,551,50,1209,315,0,873,1,24,699,1008,0,553,0,8,416,597
04-20,2939,1778,1569,1242,128,952,764,62,133,358,10,31,152,180,2075,74,194,5,13,72,96,1324,141,2030,768,67,1286,425,1,1061,1,14,657,1205,1,692,1,5,395,684
12-04,4357,2500,2214,1980,163,1280,1147,73,24,303,11,27,115,228,3649,11,182,6,10,45,110,2136,139,3129,1089,56,1874,570,0,994,0,25,1810,1528,0,609,0,9,1085,797
15-01,4087,2384,2050,1903,134,1203,1125,56,24,526,17,24,101,233,3162,15,329,7,8,44,127,1854,111,3059,917,51,1824,509,0,1211,0,32,1505,1339,0,764,0,17,908,695
06-06,5599,3299,2854,2546,199,1708,1497,94,170,528,15,50,200,307,4329,101,345,10,19,107,169,2548,163,3885,1551,80,2349,870,0,1521,0,49,1765,2264,0,1029,0,20,971,1279
04-13,4542,2966,2284,2109,149,1501,1390,75,505,222,21,35,321,215,3223,291,150,13,17,195,132,2168,127,3342,1073,81,2257,628,0,1239,0,28,1252,2023,0,884,0,14,814,1254
04-14,1665,1167,865,754,46,627,516,24,25,69,3,9,56,71,1432,13,49,2,5,31,41,1026,44,1294,327,22,934,211,1,567,0,14,442,641,1,445,0,7,313,401
18-03,2223,1621,1156,992,75,864,718,39,90,92,0,5,117,105,1814,59,60,0,2,89,57,1354,39,1722,462,18,1303,300,0,683,0,10,680,850,0,502,0,4,525,590
14-01,723,483,372,340,11,241,235,7,8,46,2,3,9,24,631,5,35,1,2,3,18,419,8,576,139,2,384,97,0,171,0,7,298,247,0,122,0,5,202,154
17-05,3767,2204,2039,1522,206,1254,884,66,147,1498,8,39,201,316,1558,67,909,3,21,82,129,993,227,2550,990,98,1577,529,0,1906,1,15,608,1237,0,1201,1,6,367,629
17-10,1206,665,642,514,50,369,274,22,41,418,1,10,75,103,558,14,235,1,3,22,47,343,93,792,321,27,483,155,0,628,0,5,242,331,0,355,0,3,160,147
18-07,3277,2223,1617,1559,101,1097,1066,60,42,265,10,13,89,154,2704,23,174,8,6,46,94,1872,82,2508,687,39,1749,435,0,890,0,21,1245,1121,0,620,0,13,861,729
19-05,3076,1960,1512,1456,108,979,927,54,40,201,2,14,81,144,2594,24,137,1,8,43,78,1669,66,2516,494,31,1638,291,1,710,0,26,1315,1024,0,514,0,9,841,596
03-00,4440,2837,2172,2109,159,1413,1338,86,249,339,17,26,135,234,3440,160,216,12,17,83,140,2209,105,3214,1121,61,2099,677,0,1162,0,31,1427,1820,0,813,0,14,900,1110
09-02,3326,1613,1819,1351,156,919,636,58,33,1308,14,38,143,241,1549,14,612,6,14,51,85,831,202,2313,811,64,1217,332,1,1732,0,15,694,884,0,883,0,3,388,339
20-12,3292,2081,1632,1521,139,1058,943,80,258,171,17,25,175,198,2448,162,113,13,12,97,121,1563,105,2348,839,59,1520,502,1,871,1,21,1011,1387,1,611,1,13,630,825
