id,Darren Jackson,Martin Matuszewski,Rhonda Allen,over,under
09-02,1127,41,723,3,31
10-01,293,11,576,0,9
10-02,998,39,944,3,31
10-03,928,39,673,0,24
10-04,2818,102,1764,7,45
17-02,447,16,353,1,8
17-03,2864,91,1055,5,63
17-04,2517,75,1200,3,33
17-05,1787,53,622,9,41
17-06,666,36,656,0,16
17-07,1971,38,315,1,34
17-08,3486,136,1441,2,49
17-09,1983,26,163,2,32
19-17,2287,86,956,2,32
