id,Cal Cunningham,Kevin E. Hayes,Shannon W. Bray,Thom Tillis,over,under
19-13,1147,14,76,764,5,29
19-14,1484,16,72,1230,1,28
19-15,1365,25,77,1272,0,36
19-16,1310,23,76,1061,2,28
19-17,3167,45,207,1453,3,46
19-18,1497,31,120,1374,0,36
19-19,2704,37,188,3185,1,51
19-20,1625,24,88,1526,2,33
19-21,2596,26,192,1850,2,50
20-01,1937,39,150,1222,2,55
20-03,2165,34,156,1614,0,54
20-04,2009,32,109,1170,1,42
20-05,2060,29,123,1708,1,43
20-06A,2676,41,199,1694,3,57
20-06B,1829,25,116,1407,2,35
20-08,2433,35,174,1854,0,52
20-09,1430,19,77,1057,0,25
20-10,1830,9,90,1053,1,41
20-11,2640,40,198,1988,1,54
20-12,2797,27,155,1996,4,50
20-14,3888,32,173,2145,2,77
20-15,2690,27,134,1137,2,46
20-16,2477,23,147,1094,2,55
20-17,2441,26,121,1506,3,45
