id,Cheri Beasley,Matthew Hoh,Shannon W. Bray,Ted Budd,Write-In,over,under
17-11,1784,24,29,529,1,0,7
17-12,1377,19,24,410,2,1,9
17-13,2079,20,51,988,2,2,10
18-01,1788,52,44,396,4,1,3
18-02,1744,22,52,1818,1,0,11
18-03,1073,10,14,620,1,1,2
18-04,1602,18,42,1401,2,0,10
18-05,2252,29,49,1559,1,0,3
18-06,1683,29,39,563,0,3,7
18-07,1218,19,48,1416,4,0,5
18-08,1758,21,34,969,0,0,4
19-03,1023,26,34,895,3,0,4
19-05,1073,9,30,1310,1,0,2
19-07,1866,34,55,1586,3,0,15
19-09,1352,28,34,1731,0,1,10
19-11,1218,26,30,947,1,1,11
19-12,2398,37,68,2021,7,0,8
19-13,805,12,22,474,1,0,7
19-14,1005,17,29,798,2,2,1
19-15,1013,14,21,857,1,1,4
19-16,934,16,18,768,1,0,4
19-17,2190,22,47,905,3,0,6
19-18,1218,27,34,1014,1,1,1
19-19,2349,35,59,2336,1,3,12
19-20,1280,18,28,1118,0,4,7
19-21,1948,19,42,1249,0,3,6
20-01,1433,24,31,821,0,2,6
20-03,1857,25,42,1122,2,0,7
20-04,1566,28,37,756,2,0,7
20-05,1791,11,37,1253,2,1,8
20-06A,2101,46,54,1181,2,2,5
20-06B,1560,20,52,950,1,0,4
20-08,1934,37,64,1257,2,0,7
20-09,1248,13,36,741,1,2,4
20-10,1526,13,26,686,2,1,3
20-11,2374,44,66,1413,3,1,8
20-12,2419,21,54,1352,1,1,5
20-14,2996,40,62,1423,0,2,9
20-15,1936,31,32,698,3,4,7
20-16,1738,25,33,672,1,3,3
20-17,2009,23,40,966,1,0,8
