id,Louis Meyer,under
01-19,749,72
01-20,1401,170
01-21,1824,478
01-22,1829,155
01-23,1774,312
01-25,235,28
01-26,1059,120
01-27,1241,198
01-31,1232,242
01-32,1111,315
01-35,973,88
01-40,1773,167
01-41,1074,266
01-48,1216,295
01-50,1398,115
16-02,2010,449
16-03,641,297
16-04,1287,737
16-06,560,249
16-07,1621,818
18-01,1871,417
18-04,1769,1306
18-06,1775,549
18-07,1440,1270
18-08,1888,898
