id,Keith A. Sutton,Write-In,over,under
01-13,1081,32,1,344
01-19,1224,32,1,205
01-20,797,16,0,169
01-22,2894,46,3,403
01-26,1382,35,1,321
01-28,2941,75,2,816
01-34,999,24,2,198
01-35,1528,24,2,224
01-40,2836,59,6,474
01-50,2179,45,5,358
16-02,1780,51,5,308
17-01,1636,62,3,596
17-03,4120,154,5,1483
17-05,2521,96,2,883
17-07,2648,59,2,533
17-09,2776,73,4,486
17-10,770,36,1,306
17-11,2974,109,3,880
17-12,2314,69,2,684
17-13,3344,108,1,1289
