id,Adrian Lee Travers,Allison Dahle,Clark Pope,over,under
01-23,189,2411,631,0,169
01-31,209,2144,445,2,118
01-32,139,1578,517,0,90
01-41,92,1390,357,0,94
01-48,92,1426,415,3,56
01-49,184,1947,543,0,112
04-01,98,1224,622,1,80
04-02,94,1386,756,1,97
04-03,96,1167,532,2,70
04-04,91,900,444,0,61
04-11,69,928,365,0,57
04-15,117,1412,755,0,84
04-16,6,31,17,0,3
04-20,139,1776,818,0,111
18-01,246,2917,782,3,173
18-04,53,803,769,1,65
18-06,191,2372,951,2,161
18-08,84,986,456,1,92
