id,Allison Yeargin,Braxton Davis Honeycutt,Deans Eatman,Jason Joyner,Jon Lutz,Josh Sledge,Michael Firstbrook,Write-In,under
10-02,173,22,102,96,189,14,102,2,78
10-03,254,47,178,174,271,40,145,6,129
10-05,19,5,16,12,18,2,12,0,9
10-06,102,359,365,356,203,40,52,4,124
