id,Evonne S. Hopkins,Michael Oakes,Mike Schietzelt,over,under
02-02,2765,138,2767,0,159
02-03,1255,65,1377,1,63
02-04,1013,56,1177,0,70
02-06,1101,54,1265,0,79
09-01,862,52,1142,0,47
10-01,416,26,680,0,39
14-01,268,24,489,0,18
14-02,2962,198,4150,0,176
19-03,1576,102,1397,0,81
19-05,1386,78,1729,0,77
19-07,2521,127,2188,1,147
19-09,2244,131,2486,3,124
19-18,1980,103,1656,2,97
19-19,3264,177,3399,1,200
19-22,1501,73,1369,0,103
19-23,1717,109,1380,0,106
