id,No,Yes,under
15-02,32,141,1
15-04,20,91,5
16-01,7,32,0
16-02,53,279,0
16-03,44,173,4
16-04,123,483,4
16-05,39,135,1
16-06,44,116,0
16-07,176,558,4
16-09,44,272,0
16-11,33,41,1
18-04,2,4,0
