precinct_abbrv,total,voted_total,gender_F,gender_M,gender_U,gender_F_voted,gender_M_voted,gender_U_voted,race_A,race_B,race_I,race_M,race_O,race_U,race_W,race_A_voted,race_B_voted,race_I_voted,race_M_voted,race_O_voted,race_U_voted,race_W_voted,ethnic_HL,ethnic_NL,ethnic_UN,ethnic_HL_voted,ethnic_NL_voted,ethnic_UN_voted,party_DEM,party_LIB,party_REP,party_UNA,party_DEM_voted,party_LIB_voted,party_REP_voted,party_UNA_voted
01-33,1407,523,718,656,33,271,247,5,17,30,0,6,24,61,1269,1,7,0,1,11,11,492,6,1155,246,1,466,56,599,8,404,396,301,1,105,116
04-18,2429,1,1260,1093,76,1,0,0,129,188,5,25,137,123,1822,0,0,0,0,0,0,1,53,1829,547,0,1,0,757,17,624,1031,0,0,0,1
07-07,3301,794,1760,1445,96,425,358,11,56,292,3,19,116,144,2671,7,76,1,2,16,12,680,62,2651,588,5,704,85,1079,24,1012,1186,375,2,197,220
13-01,4212,422,2340,1627,245,260,150,12,102,2174,17,65,248,405,1201,3,287,1,1,9,24,97,280,2593,1339,6,299,117,2493,20,466,1233,313,0,31,78
01-29,2215,796,1131,1034,50,413,378,5,17,43,3,7,11,63,2071,1,14,1,1,6,8,765,10,1859,346,3,717,76,792,10,821,592,404,1,218,173
04-19,1826,0,909,883,34,0,0,0,88,67,3,17,104,68,1479,0,0,0,0,0,0,0,50,1386,390,0,0,0,521,11,489,805,0,0,0,0
05-08,2833,714,1384,1299,150,344,344,26,582,402,15,30,226,186,1392,200,61,7,4,70,41,331,87,1782,964,14,463,237,992,22,504,1315,247,5,94,368
20-03,3373,737,1764,1499,110,380,343,14,81,110,2,16,100,152,2912,7,14,0,2,12,20,682,68,2514,791,8,594,135,872,19,1189,1293,260,1,219,257
17-10,1152,217,616,489,47,127,88,2,34,408,1,11,73,80,545,2,98,1,0,5,8,103,80,769,303,2,178,37,613,2,237,300,147,1,38,31
14-01,709,0,365,336,8,0,0,0,8,42,1,3,8,23,624,0,0,0,0,0,0,0,5,578,126,0,0,0,173,6,295,235,0,0,0,0
03-00,3895,609,1931,1856,108,318,284,7,194,324,15,26,101,156,3079,31,41,2,6,9,19,501,85,2830,980,11,460,138,1035,31,1339,1490,201,3,154,251
17-11,3934,624,2094,1648,192,376,240,8,205,1610,11,76,317,362,1353,8,386,1,7,12,24,186,395,2466,1073,13,468,143,2051,23,574,1286,432,0,61,131
17-05,3640,644,2014,1463,163,378,258,8,140,1451,7,44,180,267,1551,2,345,0,5,11,12,269,210,2492,938,5,521,118,1881,13,614,1132,446,1,75,122
08-11,3571,516,1918,1493,160,284,215,17,250,399,11,36,193,237,2445,23,111,1,4,15,21,341,138,2512,921,12,385,119,1220,20,948,1383,267,0,89,160
08-04,1631,0,811,786,34,0,0,0,17,48,2,7,34,67,1456,0,0,0,0,0,0,0,22,1349,260,0,0,0,455,14,625,537,0,0,0,0
01-10,1395,542,719,640,36,285,253,4,8,15,0,8,13,50,1301,0,7,0,3,2,11,519,9,1152,234,2,477,63,584,4,379,428,314,0,83,145
02-06,2451,191,1217,1174,60,101,87,3,37,128,2,7,74,78,2125,0,18,0,0,3,2,168,27,2042,382,1,171,19,587,9,1135,720,66,1,55,69
04-17,1807,0,950,805,52,0,0,0,60,151,5,23,79,92,1397,0,0,0,0,0,0,0,55,1322,430,0,0,0,637,16,422,732,0,0,0,0
07-11,1165,376,639,504,22,200,174,2,12,35,0,2,25,44,1047,1,17,0,0,7,7,344,8,977,180,3,330,43,444,5,345,371,187,1,85,103
09-01,2381,1,1208,1130,43,1,0,0,10,727,6,12,43,107,1476,0,1,0,0,0,0,0,45,1850,486,0,1,0,1007,7,735,632,0,0,0,1
20-10,2979,0,1486,1419,74,0,0,0,302,101,6,20,183,113,2254,0,0,0,0,0,0,0,60,2222,697,0,0,0,776,7,852,1344,0,0,0,0
04-21,1756,0,871,804,81,0,0,0,65,347,4,17,147,112,1064,0,0,0,0,0,0,0,98,1122,536,0,0,0,661,21,308,766,0,0,0,0
20-09,2625,620,1319,1245,61,320,297,3,62,123,5,20,75,88,2252,7,33,2,2,10,10,556,45,1986,594,4,493,123,697,20,838,1070,216,0,169,235
16-05,2399,47,1244,1068,87,25,22,0,21,504,10,20,68,124,1652,0,14,0,0,2,0,31,65,1817,517,0,38,9,1007,19,681,692,30,0,13,4
08-09,1873,321,1002,800,71,184,132,5,36,219,1,12,69,115,1421,0,41,0,3,8,13,256,72,1399,402,8,267,46,690,15,453,715,179,2,39,101
16-02,4560,404,2538,1827,195,259,136,9,24,2639,13,49,175,335,1325,1,316,2,4,7,23,51,244,2925,1391,4,285,115,2882,28,474,1176,328,0,17,59
15-04,2037,22,1043,942,52,12,9,1,13,319,2,15,37,78,1573,0,18,0,0,0,0,4,36,1622,379,0,19,3,649,6,807,575,19,0,1,2
01-07,1915,537,850,968,97,258,270,9,28,59,3,21,50,117,1637,4,13,1,2,9,22,486,36,1441,438,7,437,93,806,19,334,756,337,1,42,157
20-17,3376,0,1682,1595,99,0,0,0,455,182,17,31,189,134,2368,0,0,0,0,0,0,0,73,2371,932,0,0,0,842,13,983,1538,0,0,0,0
19-18,2530,192,1283,1150,97,103,81,8,45,386,7,22,87,132,1851,1,45,1,2,6,8,129,79,1913,538,3,141,48,774,14,863,879,79,2,60,51
12-06,3493,448,1864,1557,72,253,195,0,13,413,9,23,91,132,2812,0,26,2,2,3,4,411,101,2471,921,3,380,65,951,18,1333,1191,136,1,182,129
19-14,2705,308,1408,1197,100,167,137,4,124,411,8,29,126,133,1874,2,91,0,1,11,5,198,69,2077,559,6,261,41,780,14,992,919,141,0,97,70
