precinct_abbrv,total,voted_total,gender_F,gender_M,gender_U,gender_F_voted,gender_M_voted,gender_U_voted,race_A,race_B,race_I,race_M,race_O,race_U,race_W,race_A_voted,race_B_voted,race_I_voted,race_M_voted,race_O_voted,race_U_voted,race_W_voted,ethnic_HL,ethnic_NL,ethnic_UN,ethnic_HL_voted,ethnic_NL_voted,ethnic_UN_voted,party_DEM,party_LIB,party_REP,party_UNA,party_DEM_voted,party_LIB_voted,party_REP_voted,party_UNA_voted
13-09,3935,592,2168,1558,209,358,222,12,180,1800,11,47,238,338,1321,8,424,1,3,12,21,123,250,2586,1099,13,441,138,2113,14,570,1238,414,0,47,131
05-07,6145,1022,3096,2784,265,490,486,46,1678,643,37,50,567,387,2783,318,102,10,7,94,53,438,210,3830,2105,21,660,341,2020,37,1066,3022,395,7,146,474
01-40,4108,774,2327,1561,220,496,263,15,28,3243,8,52,128,309,340,1,690,1,9,7,16,50,163,2541,1404,3,599,172,3033,8,156,911,692,0,10,72
18-01,4864,378,2150,2172,542,182,187,9,179,1090,20,79,180,663,2653,6,102,0,4,9,21,236,159,2995,1710,11,307,60,1896,52,768,2148,219,2,37,120
01-47,2054,534,1054,955,45,265,264,5,22,101,4,10,53,61,1803,4,32,0,1,6,12,479,22,1721,311,2,472,60,667,10,793,584,256,2,152,124
19-09,4218,517,2138,1959,121,267,240,10,50,737,10,26,78,184,3133,8,120,0,2,5,16,366,90,3322,806,8,425,84,1363,18,1587,1250,201,2,164,150
10-03,2514,286,1353,1070,91,162,121,3,18,737,9,24,81,163,1482,1,44,0,1,6,7,227,122,1811,581,6,256,24,1123,17,700,674,119,0,108,59
04-13,4530,42,2293,2114,123,24,17,1,484,215,20,36,309,179,3287,1,0,0,0,1,3,37,122,3349,1059,0,29,13,1198,28,1307,1997,11,1,15,15
19-17,4571,687,2431,1975,165,383,289,15,87,1589,15,48,210,260,2362,7,413,0,5,12,23,227,219,3240,1112,9,501,177,2030,20,1016,1505,459,2,74,152
07-04,3766,845,2067,1565,134,478,356,11,43,632,8,37,118,192,2736,8,129,1,8,18,23,658,124,2896,746,15,705,125,1497,39,807,1423,431,5,132,277
01-46,2919,371,1611,1096,212,220,142,9,48,1744,10,38,153,338,588,0,232,2,1,3,18,115,224,1680,1015,4,282,85,1805,15,239,860,255,3,32,81
01-26,2864,449,1361,1059,444,247,190,12,10,1824,4,36,60,476,454,3,278,1,4,6,23,134,62,1362,1440,10,303,136,1685,13,86,1080,326,2,9,112
01-12,1797,445,952,768,77,242,195,8,15,113,1,14,31,84,1539,3,14,0,2,1,15,410,19,1369,409,2,365,78,664,10,496,627,217,2,91,135
08-03,4770,517,2485,2068,217,297,215,5,148,749,17,38,174,282,3362,11,123,3,1,11,15,353,148,3477,1145,10,419,88,1593,39,1341,1797,274,0,105,138
12-01,5218,385,2697,2386,135,216,168,1,49,450,7,36,126,234,4316,1,34,1,1,5,16,327,110,3813,1295,8,287,90,1355,37,2118,1708,135,1,143,106
04-09,2314,2,1138,1103,73,1,1,0,193,110,11,16,147,95,1742,0,1,0,0,0,0,1,60,1695,559,0,0,2,546,8,776,984,1,0,1,0
14-02,5527,0,2755,2608,164,0,0,0,71,270,8,28,128,233,4789,0,0,0,0,0,0,0,89,4509,929,0,0,0,1173,29,2518,1807,0,0,0,0
20-15,3353,0,1698,1442,213,0,0,0,459,450,16,24,246,252,1906,0,0,0,0,0,0,0,129,2136,1088,0,0,0,1048,32,689,1584,0,0,0,0
10-02,3463,169,1884,1466,113,84,80,5,22,1070,10,27,123,208,2003,1,22,0,0,1,10,135,173,2519,771,3,140,26,1495,13,985,970,50,0,67,52
01-45,1684,364,873,756,55,186,176,2,43,256,3,8,48,93,1233,2,42,1,0,7,7,305,49,1272,363,3,312,49,621,10,448,605,170,2,70,122
18-05,4649,1,2327,2224,98,0,1,0,170,129,5,22,158,121,4044,0,0,0,0,0,0,1,60,3638,951,0,1,0,1208,23,1697,1721,1,0,0,0
18-02,4431,0,2210,2122,99,0,0,0,84,142,5,13,112,150,3925,0,0,0,0,0,0,0,80,3391,960,0,0,0,1108,18,1752,1553,0,0,0,0
09-02,3444,179,1880,1430,134,109,66,4,25,1397,14,43,127,234,1604,0,75,2,2,0,4,96,195,2415,834,1,152,26,1844,13,711,876,125,0,32,22
20-01,3325,316,1725,1495,105,169,142,5,118,540,10,40,156,165,2296,7,23,0,3,14,9,260,126,2273,926,8,241,67,1143,29,930,1223,141,2,74,99
19-11,2855,462,1508,1253,94,255,203,4,42,261,10,21,86,138,2297,5,46,0,1,5,8,397,98,2227,530,1,394,67,841,15,971,1028,191,1,140,130
01-16,2508,749,1381,1044,83,442,299,8,51,271,3,16,68,111,1988,4,58,0,1,8,11,667,59,1935,514,3,645,101,1133,12,591,772,454,1,125,169
06-09,5226,1052,2639,2426,161,518,512,22,65,349,11,32,121,228,4420,5,64,2,4,13,27,937,122,3607,1497,15,793,244,1218,29,1942,2037,295,3,376,378
01-14,3395,1204,1661,1583,151,616,559,29,22,462,4,34,50,207,2616,7,102,0,4,11,31,1049,76,2457,862,14,977,213,1643,25,448,1279,731,3,93,377
05-03,3265,451,1656,1493,116,233,214,4,351,217,8,25,171,145,2348,41,25,1,2,20,11,351,71,2356,838,5,369,77,799,18,1031,1417,100,0,169,182
18-08,3777,3,1923,1707,147,2,1,0,135,356,7,29,197,212,2841,0,1,0,0,1,0,1,101,2809,867,0,3,0,1148,25,1037,1567,1,0,0,2
19-04,6946,781,3612,3097,237,426,347,8,186,1422,14,66,293,385,4580,9,264,2,5,29,24,448,255,5260,1431,17,612,152,2284,41,2254,2367,356,4,192,229
07-06,3260,955,1712,1477,71,516,434,5,32,176,6,12,82,98,2854,4,53,1,1,14,18,864,47,2709,504,3,836,116,1016,6,1158,1080,384,3,279,289
01-49,3055,206,1458,1170,427,105,96,5,65,834,6,53,129,467,1501,3,62,0,1,1,6,133,118,1734,1203,4,148,54,1276,32,461,1286,123,1,33,49
20-16,2882,0,1521,1224,137,0,0,0,368,504,12,19,218,184,1577,0,0,0,0,0,0,0,110,1762,1010,0,0,0,1005,16,606,1255,0,0,0,0
04-11,1596,0,799,759,38,0,0,0,96,250,4,25,119,72,1030,0,0,0,0,0,0,0,77,1092,427,0,0,0,605,14,312,665,0,0,0,0
17-07,3414,620,1825,1448,141,365,243,12,68,2104,8,43,199,232,760,3,533,1,2,9,20,52,218,2285,911,6,474,140,2215,15,309,875,524,0,21,75
01-44,3349,652,1870,1333,146,370,272,10,40,754,7,42,149,203,2154,0,117,0,5,13,10,507,140,2439,770,6,552,94,1561,19,763,1006,389,1,113,149
06-06,5102,927,2651,2291,160,504,414,9,142,480,14,43,180,237,4006,9,66,4,5,18,15,810,147,3567,1388,9,725,193,1385,39,1672,2006,265,2,319,341
01-20,2636,630,1298,1178,160,346,265,19,32,1351,3,34,56,235,925,9,356,0,10,7,34,214,47,1698,891,6,464,160,1574,24,219,819,436,1,22,171
04-14,1597,0,837,727,33,0,0,0,22,67,2,9,52,53,1392,0,0,0,0,0,0,0,43,1241,313,0,0,0,544,13,435,605,0,0,0,0
17-01,2606,371,1354,1103,149,212,156,3,71,1037,12,31,135,207,1113,4,207,1,1,5,10,143,133,1730,743,2,301,68,1432,14,429,731,274,0,36,61
08-06,2039,227,1070,849,120,133,87,7,28,576,8,21,66,164,1176,2,66,0,2,2,10,145,64,1423,552,3,179,45,891,15,356,777,114,1,38,74
07-09,2969,576,1532,1283,154,297,269,10,65,352,9,28,105,202,2208,11,45,0,2,9,16,493,91,2190,688,4,473,99,1080,31,737,1121,272,0,116,188
01-06,2436,627,1224,1102,110,309,303,15,21,89,3,30,44,132,2117,6,18,0,6,9,23,565,45,1854,537,8,513,106,1002,23,504,907,370,2,58,197
04-01,2069,0,1193,822,54,0,0,0,47,235,5,12,70,85,1615,0,0,0,0,0,0,0,66,1472,531,0,0,0,820,7,489,753,0,0,0,0
12-09,3892,502,2055,1750,87,280,215,7,38,394,10,14,81,147,3208,5,45,2,1,5,14,430,97,2774,1021,8,380,114,1056,24,1498,1314,157,3,190,152
01-28,4136,989,2260,1657,219,578,389,22,33,2033,12,50,89,291,1628,3,496,2,5,9,32,442,87,2785,1264,6,758,225,2486,13,361,1276,720,2,45,222
04-15,2272,0,1192,1012,68,0,0,0,58,198,3,11,87,103,1812,0,0,0,0,0,0,0,64,1676,532,0,0,0,717,23,581,951,0,0,0,0
20-14,5455,1,2692,2531,232,0,0,1,1257,274,26,42,446,273,3137,0,0,0,0,0,1,0,137,3594,1724,0,0,1,1506,21,1322,2606,0,0,0,1
01-23,7906,340,2873,3139,1894,142,177,21,292,875,24,209,162,2132,4212,5,41,1,5,4,24,260,294,3855,3757,6,249,85,2026,87,1259,4534,175,3,20,142
01-22,3725,782,2066,1477,182,504,267,11,24,3076,6,34,98,269,218,0,739,1,2,2,25,13,155,2323,1247,4,587,191,2825,5,92,803,694,0,5,83
19-15,2473,336,1319,1052,102,176,157,3,62,316,7,24,98,118,1848,5,69,1,0,4,5,252,61,1895,517,2,270,64,688,7,927,851,138,0,100,98
13-06,2800,529,1526,1199,75,305,221,3,47,451,9,17,91,135,2050,2,112,2,6,14,9,384,83,2163,554,9,446,74,965,18,848,969,249,1,106,173
20-11,3550,680,1785,1656,109,348,329,3,139,169,7,22,143,153,2917,26,27,1,3,17,16,590,112,2596,842,14,525,141,860,25,1193,1472,205,2,201,272
19-12,5491,731,2914,2395,182,407,317,7,84,734,12,43,177,284,4157,4,97,3,2,7,18,600,193,4157,1141,8,613,110,1631,39,1891,1930,254,2,234,241
