id,Louis Meyer,under
01-19,909,95
01-20,1464,247
01-21,1826,537
01-22,2219,167
01-23,3080,522
01-25,286,37
01-26,1107,141
01-27,1193,187
01-31,1602,291
01-32,1184,352
01-35,1132,112
01-40,2063,212
01-41,1106,285
01-48,1302,327
01-50,1670,183
16-02,2289,476
16-03,631,293
16-04,1169,740
16-06,583,258
16-07,1525,864
18-01,2283,486
18-04,1566,1239
18-06,1986,629
18-07,1273,1167
18-08,1846,891
