id,total,voted_total,gender_F,gender_M,gender_U,gender_F_voted,gender_M_voted,gender_U_voted,race_A,race_B,race_I,race_M,race_O,race_U,race_W,race_A_voted,race_B_voted,race_I_voted,race_M_voted,race_O_voted,race_U_voted,race_W_voted,ethnic_HL,ethnic_NL,ethnic_UN,ethnic_HL_voted,ethnic_NL_voted,ethnic_UN_voted,party_CST,party_DEM,party_GRE,party_LIB,party_REP,party_UNA,party_CST_voted,party_DEM_voted,party_GRE_voted,party_LIB_voted,party_REP_voted,party_UNA_voted
20-06B,3422,563,1760,1539,123,306,243,14,59,77,3,16,93,154,3020,3,13,0,0,11,24,512,68,2516,838,10,429,124,1,847,1,29,1057,1487,0,200,0,3,136,224
01-28,4295,0,2230,1672,393,0,0,0,38,1857,9,50,90,455,1796,0,0,0,0,0,0,0,91,2854,1350,0,0,0,1,2469,2,27,340,1456,0,0,0,0,0,0
01-34,1998,0,862,731,405,0,0,0,5,1197,3,32,30,469,262,0,0,0,0,0,0,0,41,882,1075,0,0,0,0,1127,0,9,54,808,0,0,0,0,0,0
06-07,3311,68,1623,1555,133,32,35,1,145,400,2,21,165,200,2378,5,14,0,2,3,1,43,94,2351,866,1,50,17,0,983,0,25,984,1319,0,31,0,0,17,20
08-11,3769,0,1968,1552,249,0,0,0,266,432,14,37,213,325,2482,0,0,0,0,0,0,0,173,2598,998,0,0,0,2,1309,6,28,876,1548,0,0,0,0,0,0
01-49,3137,0,1469,1200,468,0,0,0,77,874,5,53,141,535,1452,0,0,0,0,0,0,0,147,1804,1186,0,0,0,4,1323,3,28,428,1351,0,0,0,0,0,0
04-19,1721,0,838,826,57,0,0,0,76,64,1,13,94,82,1391,0,0,0,0,0,0,0,41,1308,372,0,0,0,3,509,1,13,423,772,0,0,0,0,0,0
02-02,5511,0,2695,2597,219,0,0,0,99,282,13,25,142,293,4657,0,0,0,0,0,0,0,81,4371,1059,0,0,0,3,1275,3,44,2067,2119,0,0,0,0,0,0
08-10,2586,0,1347,1111,128,0,0,0,88,336,9,27,119,178,1829,0,0,0,0,0,0,0,76,1920,590,0,0,0,1,879,1,30,668,1007,0,0,0,0,0,0
18-04,3887,4,1903,1830,154,2,2,0,126,342,11,19,158,221,3010,0,4,0,0,0,0,0,124,3012,751,0,3,1,0,1154,1,22,1246,1464,0,3,0,0,0,1
20-04,3401,0,1695,1544,162,0,0,0,478,135,11,33,264,197,2283,0,0,0,0,0,0,0,85,2431,885,0,0,0,2,905,2,21,837,1634,0,0,0,0,0,0
09-03,3100,119,1565,1377,158,65,47,7,14,713,6,27,60,226,2054,0,51,0,0,2,4,62,82,2300,718,0,91,28,5,1087,0,9,1042,957,0,65,0,0,27,27
04-02,2326,0,1187,1048,91,0,0,0,54,186,3,13,128,163,1779,0,0,0,0,0,0,0,140,1665,521,0,0,0,0,832,0,18,546,930,0,0,0,0,0,0
15-04,2231,131,1117,1018,96,74,53,4,18,372,3,16,54,133,1635,2,63,0,1,3,8,54,57,1736,438,1,102,28,1,704,1,13,824,688,0,77,0,0,29,25
12-09,4443,379,2311,1952,180,210,165,4,46,413,12,15,100,242,3615,4,44,0,0,3,6,322,122,3077,1244,6,294,79,2,1180,2,25,1642,1592,0,131,0,1,145,102
01-42,2683,0,1393,1210,80,0,0,0,39,172,3,15,82,132,2240,0,0,0,0,0,0,0,40,2191,452,0,0,0,3,781,1,17,991,890,0,0,0,0,0,0
04-10,2673,0,1320,1236,117,0,0,0,140,128,2,16,126,172,2089,0,0,0,0,0,0,0,73,1973,627,0,0,0,0,816,0,23,658,1176,0,0,0,0,0,0
01-43,2259,0,1196,915,148,0,0,0,33,556,0,23,86,214,1347,0,0,0,0,0,0,0,112,1593,554,0,0,0,1,973,0,25,451,809,0,0,0,0,0,0
10-03,2526,471,1349,1070,107,266,193,12,22,743,8,21,86,203,1443,5,76,0,3,6,14,367,151,1770,605,7,391,73,0,1099,1,14,694,718,0,181,0,1,183,106
17-13,4459,357,2368,1877,214,199,150,8,71,1556,10,53,144,309,2316,3,233,1,4,5,6,105,157,3219,1083,6,284,67,1,2027,1,26,1007,1397,0,249,0,1,33,74
04-15,2355,0,1207,1049,99,0,0,0,80,206,5,7,101,131,1825,0,0,0,0,0,0,0,68,1729,558,0,0,0,1,797,0,24,528,1005,0,0,0,0,0,0
