id,No,Yes,under
03-00,140,509,8
04-13,15,27,2
06-09,2,0,5
20-01,65,286,0
20-03,191,620,11
20-04,1,1,0
20-05,6,18,0
20-06A,206,727,15
20-06B,196,626,17
20-08,223,620,14
20-09,175,487,10
20-11,196,544,6
20-12,110,276,4
