id,Cheryl F. Stallings,Irina Comer,over,under
01-01,1037,226,1,36
01-02,1000,262,0,38
01-03,834,681,0,55
01-04,473,353,0,32
01-05,488,392,1,52
01-06,1461,408,2,62
01-07,1365,397,0,44
01-07A,98,29,0,9
01-09,728,208,0,18
01-10,795,413,1,41
01-11,910,1033,2,78
01-12,908,461,0,37
01-13,1017,169,1,37
01-14,2175,413,0,63
01-15,972,636,1,51
01-16,1322,558,0,66
01-17,442,375,0,15
01-18,1041,599,1,45
01-19,755,52,0,15
01-20,1395,149,0,27
01-21,1699,545,0,58
01-22,1851,98,1,36
01-23,1671,346,1,67
01-25,232,27,0,2
01-26,1049,103,0,27
01-27,1204,202,0,33
01-28,2134,337,0,43
01-29,980,809,1,67
01-30,629,409,0,33
01-31,1184,255,0,35
01-32,1041,351,0,34
01-33,895,451,0,58
01-34,738,44,0,18
01-35,971,67,0,24
01-36,951,822,3,50
01-37,805,541,0,23
01-38,910,371,0,28
01-39,1083,479,0,26
01-40,1789,122,0,29
01-41,1041,265,0,34
01-42,949,1004,1,49
01-43,893,423,1,24
01-44,1513,642,1,39
01-45,661,439,0,24
01-46,873,184,0,22
01-47,854,717,1,36
01-48,1184,291,1,35
01-49,1087,309,0,27
01-50,1388,97,0,28
01-51,476,307,0,20
02-01,1240,1156,1,44
02-02,2084,2321,1,68
02-03,1003,1222,1,30
02-04,845,1035,2,37
02-05,429,401,0,8
02-06,830,1094,1,39
03-00,2735,2104,2,81
04-01,998,469,1,43
04-02,1089,590,0,43
04-03,788,417,2,21
04-04,622,356,0,22
04-05,1686,875,0,72
04-06,1422,788,1,73
04-07,1054,1042,1,56
04-08,1182,451,0,35
04-09,1004,701,0,32
04-10,1208,689,1,45
04-11,676,295,0,20
04-12,1302,751,1,42
04-13,2068,1148,2,65
04-14,774,441,0,34
04-15,1116,587,0,55
04-16,1004,423,0,40
04-17,845,355,0,28
04-18,1249,541,0,44
04-19,875,434,0,24
04-20,1347,589,0,43
04-21,667,263,0,21
05-01,1536,950,1,43
05-03,1622,1018,0,48
05-05,2685,1295,0,67
05-06,2198,1272,1,63
05-07,3017,1155,3,71
05-08,1723,641,2,39
06-04,1514,1042,0,57
06-05,1037,1272,1,58
06-06,2418,1814,0,77
06-07,1324,992,0,51
06-08,856,591,1,40
06-09,2793,2562,0,127
06-10,1521,1525,0,66
07-01,748,345,1,32
07-02,660,466,0,34
07-03,758,462,0,20
07-04,1753,773,0,54
07-05,785,434,0,22
07-06,1518,1194,0,76
07-07,1473,941,4,58
07-07A,301,154,0,25
07-09,1338,688,2,56
07-10,2090,952,0,77
07-11,542,365,0,21
07-12,1121,576,0,46
07-13,956,562,0,35
08-02,1739,1097,2,72
08-03,2059,1224,1,69
08-04,720,693,0,27
08-05,920,661,2,46
08-06,851,293,0,20
08-07,974,985,0,51
08-08,1806,1229,2,89
08-09,851,465,0,35
08-10,1133,610,1,57
08-11,1590,918,2,50
09-01,575,860,0,37
09-02,1011,704,0,32
09-03,1264,1228,0,35
10-01,251,545,1,16
10-02,1098,1014,0,33
10-03,892,714,0,31
10-05,1253,1190,0,36
10-06,2190,1129,0,59
11-01,2078,919,5,81
11-02,1816,1057,1,78
12-01,1941,2535,1,107
12-02,1772,1525,1,83
12-04,1370,2132,3,86
12-06,1637,1795,1,88
12-07,928,1128,0,31
12-08,1641,1434,2,68
12-09,1589,2010,2,84
12-10,1791,1663,0,86
12-11,991,1229,2,55
13-01,2186,616,1,34
13-02,804,586,1,34
13-05,787,260,0,18
13-06,1190,770,0,42
13-07,928,369,0,25
13-08,1135,289,0,15
13-09,1846,548,0,40
13-10,2360,1597,0,110
13-11,1255,1004,0,65
14-01,195,394,0,10
14-02,2006,3100,6,88
15-01,1222,1618,1,65
15-02,1886,1876,5,77
15-03,1400,2150,0,75
15-04,738,898,0,39
16-01,783,741,0,47
16-02,1945,451,0,63
16-03,576,342,0,20
16-04,1109,870,0,45
16-05,811,702,0,49
16-06,526,263,0,20
16-07,1433,958,1,47
16-09,1802,1026,2,61
16-10,2071,341,1,35
16-11,1572,445,0,29
17-01,1039,393,2,26
17-02,602,454,0,30
17-03,2700,1023,0,86
17-04,2489,1217,2,76
17-05,1585,606,0,45
17-06,706,684,0,32
17-07,1690,296,0,30
17-09,1675,204,1,23
17-10,448,239,1,21
17-11,1792,561,1,20
17-12,1370,444,0,27
17-13,2050,1036,0,66
18-01,1801,439,1,47
18-02,1661,1885,2,100
18-03,1024,661,0,36
18-04,1532,1461,1,81
18-05,2152,1666,1,74
18-06,1654,616,0,54
18-07,1176,1477,1,56
18-08,1722,1013,1,50
19-03,1007,943,0,35
19-05,1028,1355,1,41
19-07,1826,1667,1,65
19-09,1335,1776,0,45
19-11,1190,992,0,52
19-12,2341,2114,0,84
19-13,784,508,1,28
19-14,989,833,1,31
19-15,979,901,1,30
19-16,922,788,0,31
19-17,2152,974,0,47
19-18,1177,1075,1,43
19-19,2264,2443,1,87
19-20,1242,1171,0,42
19-21,1926,1302,0,39
20-01,1396,875,1,45
20-03,1820,1173,3,59
20-04,1529,831,0,36
20-05,1664,1371,0,68
20-06A,2066,1261,0,64
20-06B,1531,1005,1,50
20-08,1898,1356,0,47
20-09,1228,782,0,35
20-10,1446,765,1,45
20-11,2306,1527,0,76
20-12,2377,1421,2,53
20-14,2903,1556,1,72
20-15,1895,772,1,43
20-16,1725,708,0,42
20-17,1948,1057,0,42
