id,Monika Johnson-Hostler,over,under
12-01,1907,0,1770
12-02,1677,0,1101
12-04,1464,0,1321
12-06,1372,0,1100
12-07,945,1,778
12-08,1559,0,1087
15-01,1518,0,1233
15-02,2017,2,1481
15-03,1636,0,1444
15-04,884,0,714
16-01,941,1,612
16-02,865,0,448
16-03,585,1,317
16-04,1128,0,730
16-05,929,1,652
16-06,547,0,267
16-07,1471,2,851
16-09,1425,2,751
16-10,2187,2,519
16-11,1290,2,349
17-06,767,0,549
