id,Cheri Beasley,Paul Newby,over,under
01-01,1297,350,1,45
01-02,1261,406,1,61
01-03,997,805,0,54
01-04,664,463,1,36
01-05,601,493,0,42
01-06,1880,696,0,71
01-07,1748,553,0,72
01-07A,192,38,0,13
01-09,819,257,1,40
01-10,921,461,0,33
01-11,1107,1251,1,69
01-12,1106,612,2,58
01-13,1167,256,1,28
01-14,2740,556,5,77
01-15,1190,857,0,79
01-16,1754,839,0,91
01-17,511,481,0,26
01-18,1521,818,2,66
01-19,1358,82,1,21
01-20,2000,287,3,41
01-21,2637,872,0,101
01-22,3119,187,0,40
01-23,2589,670,5,136
01-25,462,36,0,12
01-26,1570,128,2,39
01-27,1620,329,1,50
01-28,3180,568,2,84
01-29,1229,1039,1,54
01-30,707,512,0,36
01-31,2287,536,3,92
01-32,1696,571,1,56
01-33,1047,561,0,59
01-34,1132,68,0,24
01-35,1658,96,2,23
01-36,1285,1136,2,77
01-37,963,750,0,46
01-38,1366,543,0,56
01-39,1583,700,3,82
01-40,3087,232,2,54
01-41,1454,407,4,68
01-42,1259,1264,3,57
01-43,1410,635,0,54
01-44,2158,948,1,90
01-45,934,571,0,48
01-46,1903,361,2,49
01-47,1070,923,1,58
01-48,1489,452,2,48
01-49,2089,612,3,82
01-50,2351,185,2,50
01-51,590,406,1,23
02-01,1483,1429,6,81
02-02,2525,2908,1,131
02-03,1220,1538,1,78
02-04,1032,1220,3,43
02-05,484,490,1,23
02-06,1097,1338,2,61
03-00,3007,2735,2,231
04-01,1296,662,2,65
04-02,1477,790,1,66
04-03,1230,582,0,55
04-04,963,491,0,42
04-05,2152,1187,2,83
04-06,1668,999,0,110
04-07,1254,1305,3,73
04-08,1535,666,2,85
04-09,1343,928,0,78
04-10,1603,955,2,72
04-11,965,412,0,39
04-12,1590,962,3,76
04-13,2643,1564,1,145
04-14,948,590,0,58
04-15,1501,797,2,68
04-16,1275,608,0,61
04-17,1107,523,2,56
04-18,1723,863,1,79
04-19,1006,613,2,50
04-20,1881,870,1,92
04-21,1132,439,2,47
05-01,2338,1394,1,106
05-03,2289,1426,2,118
05-05,4402,2054,5,191
05-06,2818,1734,1,174
05-07,4487,1860,1,205
05-08,2445,903,3,106
06-04,2185,1517,1,113
06-05,1296,1619,4,91
06-06,3194,2618,3,211
06-07,1742,1363,1,99
06-08,1209,794,2,76
06-09,3333,3283,2,290
06-10,1691,1834,1,124
07-01,1023,498,0,40
07-02,890,624,2,47
07-03,896,586,1,39
07-04,2580,1106,5,108
07-05,1074,604,1,42
07-06,1861,1439,3,106
07-07,1969,1352,1,84
07-07A,299,190,0,39
07-09,1905,1042,2,81
07-10,3165,1465,3,140
07-11,632,445,0,29
07-12,1670,770,0,90
07-13,1292,731,1,57
08-02,2256,1412,1,116
08-03,3080,1848,2,145
08-04,820,813,0,40
08-05,1065,879,0,58
08-06,1493,468,3,48
08-07,1171,1214,0,65
08-08,2267,1686,2,161
08-09,1112,649,0,68
08-10,1636,938,3,69
08-11,2326,1305,1,123
09-01,950,1121,1,52
09-02,1847,1058,2,79
09-03,1668,1683,1,72
10-01,407,730,2,32
10-02,1917,1504,1,87
10-03,1387,977,1,54
10-04,4464,2898,1,174
11-01,3299,1649,1,172
11-02,2677,1468,1,107
12-01,2458,3250,1,174
12-02,2355,2004,1,125
12-04,1671,2764,3,120
12-05,3422,3705,2,219
12-06,1774,2016,2,124
12-07,1217,1473,3,59
12-08,2360,1857,1,162
12-09,2185,2512,2,161
13-01,3544,987,6,109
13-02,1063,807,2,64
13-05,1437,459,2,52
13-06,1668,1089,0,85
13-07,1531,597,4,46
13-08,2038,518,0,55
13-09,3014,874,2,94
13-10,3143,2237,6,166
13-11,1557,1328,0,78
14-01,272,469,0,18
14-02,2516,3958,0,152
15-01,1636,2185,2,87
15-02,2621,2544,3,126
15-03,1838,2688,3,103
15-04,999,1149,0,40
16-01,1463,1123,1,77
16-02,3338,764,4,86
16-03,845,477,0,27
16-04,1372,1059,1,69
16-05,1223,982,2,52
16-06,776,384,0,31
16-07,1754,1241,5,66
16-09,2412,1396,4,111
16-10,3611,560,6,61
16-11,2411,488,1,37
17-01,1639,607,1,50
17-02,835,628,1,27
17-03,4024,1595,3,140
17-04,4087,1875,4,138
17-05,2514,892,0,96
17-06,1109,901,1,55
17-07,2722,477,2,41
17-09,2938,338,5,58
17-10,712,365,0,35
17-11,2920,950,2,94
17-12,2280,723,2,64
17-13,3085,1540,1,116
18-01,3112,883,4,122
18-02,2064,2394,0,123
18-03,1294,881,1,65
18-04,1928,1841,3,99
18-05,2573,2092,0,134
18-06,2529,1022,0,126
18-07,1420,1764,2,94
18-08,2427,1411,1,125
19-03,1357,1423,1,102
19-05,1260,1766,1,97
19-07,1975,2011,6,131
19-09,1975,2340,5,124
19-11,1636,1377,2,116
19-12,3306,3018,1,186
19-13,1213,747,1,74
19-14,1519,1233,0,79
19-15,1405,1297,1,72
19-16,1393,1052,3,52
19-17,3303,1493,5,120
19-18,1565,1396,1,96
19-19,2804,3182,3,177
19-20,1695,1528,0,73
19-21,2711,1887,1,117
20-01,2043,1254,4,104
20-03,2240,1639,1,143
20-04,2049,1199,0,115
20-05,2134,1707,2,121
20-06A,2790,1705,4,171
20-06B,1903,1395,3,113
20-08,2520,1872,2,154
20-09,1481,1056,1,70
20-10,1873,1038,0,113
20-11,2748,2002,3,168
20-12,2883,1970,3,173
20-14,3982,2136,2,197
20-15,2770,1130,7,129
20-16,2576,1079,1,142
20-17,2553,1463,2,124
