id,April Sneed,Dan Tyrone Alston,Jacky Wilson,Paul Vilga,Steven D. Dieckhaus,Write-In,under
19-09,325,291,252,226,219,11,290
19-18,21,8,20,19,29,0,41
19-19,246,210,153,186,156,8,268
19-21,61,54,31,37,28,1,85
