id,Alex Baldwin,Beth Pugh Farrell,Brian K. Lewis,Jenna Wadsworth,Stephen E. Xavier,Write-In,over,under
19-16,321,583,274,654,361,17,2,1270
19-17,606,867,460,1560,537,33,0,2283
19-18,358,902,270,859,584,31,2,1586
19-19,684,1925,545,1773,1306,46,0,3311
19-20,334,932,243,893,621,31,10,1846
19-21,492,1111,449,1389,746,39,0,2308
20-01,346,872,243,1088,541,37,6,1501
20-03,444,1012,278,1470,639,20,4,2243
20-04,441,756,259,1171,412,20,2,1731
20-05,467,1076,297,1241,681,32,0,2412
20-06A,609,1172,390,1630,645,32,2,2302
20-06B,350,964,230,1260,609,24,4,1733
20-08,561,1214,335,1456,763,36,2,2235
20-09,348,633,168,992,406,25,2,1516
20-10,415,656,213,1162,355,27,0,1686
20-11,637,1338,416,1842,782,49,4,2750
20-12,643,1391,437,1914,784,34,6,2497
20-14,841,1487,568,2221,771,24,14,3138
20-15,478,861,321,1413,364,28,6,1951
20-16,417,755,286,1287,376,30,4,1795
20-17,534,1030,375,1527,555,38,4,2031
