id,Lucy Inman,Richard Dietz,over,under
01-01,1065,221,0,14
01-02,1042,241,0,17
01-03,932,622,1,15
01-04,522,331,0,6
01-05,567,355,2,9
01-06,1501,400,1,31
01-07,1419,367,0,20
01-07A,102,29,0,5
01-09,773,175,0,6
01-10,878,362,0,10
01-11,1070,934,2,17
01-12,981,411,0,14
01-13,1050,163,0,11
01-14,2247,380,1,23
01-15,1044,600,1,15
01-16,1398,525,1,22
01-17,462,359,0,11
01-18,1089,584,0,13
01-19,770,42,0,11
01-20,1409,147,0,15
01-21,1761,529,0,12
01-22,1868,96,1,22
01-23,1710,353,0,22
01-25,231,27,1,2
01-26,1068,96,1,14
01-27,1240,179,1,19
01-28,2165,327,1,21
01-29,1082,756,0,19
01-30,671,387,0,15
01-31,1191,269,0,14
01-32,1058,355,0,13
01-33,958,429,1,16
01-34,743,50,0,7
01-35,983,55,1,21
01-36,1051,758,1,16
01-37,846,516,0,7
01-38,937,357,2,13
01-39,1130,445,1,12
01-40,1794,122,0,24
01-41,1064,259,0,17
01-42,1016,970,2,15
01-43,909,417,0,15
01-44,1572,610,0,13
01-45,687,430,1,5
01-46,888,181,2,8
01-47,891,707,2,7
01-48,1209,280,0,22
01-49,1114,297,0,12
01-50,1402,100,1,12
01-51,496,299,0,8
02-01,1303,1109,1,28
02-02,2211,2236,0,27
02-03,1043,1192,2,19
02-04,906,994,2,17
02-05,451,381,0,4
02-06,909,1043,2,10
03-00,2851,2026,0,45
04-01,1021,472,0,18
04-02,1137,563,0,22
04-03,803,407,3,15
04-04,647,347,0,6
04-05,1773,832,0,28
04-06,1483,771,0,31
04-07,1107,1028,0,18
04-08,1188,468,0,12
04-09,1037,690,0,10
04-10,1245,676,0,22
04-11,699,282,1,9
04-12,1347,729,1,17
04-13,2127,1118,3,35
04-14,806,428,3,12
04-15,1145,584,0,29
04-16,1044,408,0,15
04-17,862,357,0,9
04-18,1269,538,0,27
04-19,879,445,1,8
04-20,1353,601,0,25
04-21,692,249,2,8
05-01,1576,934,2,18
05-03,1686,982,0,20
05-05,2748,1273,0,26
05-06,2293,1212,1,28
05-07,3100,1106,3,34
05-08,1770,613,1,21
06-04,1565,1018,0,30
06-05,1074,1274,0,20
06-06,2489,1781,4,35
06-07,1358,980,2,27
06-08,893,580,0,15
06-09,2866,2562,2,55
06-10,1584,1493,1,34
07-01,780,338,0,8
07-02,733,417,2,8
07-03,803,431,0,6
07-04,1815,742,1,22
07-05,824,409,0,8
07-06,1630,1131,2,25
07-07,1574,882,3,17
07-07A,322,153,0,7
07-09,1384,675,1,24
07-10,2150,933,2,34
07-11,563,357,0,8
07-12,1174,547,0,22
07-13,998,541,3,11
08-02,1817,1059,1,33
08-03,2144,1173,2,34
08-04,745,687,0,8
08-05,959,649,1,20
08-06,859,293,0,12
08-07,1044,957,1,9
08-08,1885,1208,2,31
08-09,884,456,0,11
08-10,1182,599,1,19
08-11,1658,876,0,26
09-01,606,856,0,10
09-02,1042,689,0,16
09-03,1303,1209,1,14
10-01,266,538,0,9
10-02,1142,993,1,9
10-03,906,715,1,15
10-05,1286,1177,0,16
10-06,2235,1112,3,28
11-01,2136,922,1,24
11-02,1913,1005,0,34
12-01,2039,2505,0,40
12-02,1824,1515,3,39
12-04,1440,2113,2,36
12-06,1729,1752,0,40
12-07,953,1117,1,16
12-08,1701,1420,0,24
12-09,1660,1985,3,37
12-10,1886,1624,0,30
12-11,1042,1208,1,26
13-01,2223,595,1,18
13-02,833,582,0,10
13-05,809,247,0,9
13-06,1235,747,0,20
13-07,950,365,0,10
13-08,1151,277,0,10
13-09,1873,540,1,20
13-10,2455,1568,4,40
13-11,1314,981,2,27
14-01,205,389,0,6
14-02,2134,3041,1,24
15-01,1285,1588,0,33
15-02,2009,1803,2,30
15-03,1471,2134,0,20
15-04,785,869,1,20
16-01,829,722,0,20
16-02,1992,438,0,29
16-03,589,340,0,9
16-04,1162,844,0,18
16-05,867,674,1,20
16-06,524,270,0,15
16-07,1468,956,0,15
16-09,1853,1007,1,30
16-10,2081,351,0,16
16-11,1591,438,0,17
17-01,1067,377,1,15
17-02,640,433,0,13
17-03,2751,1020,2,36
17-04,2534,1214,1,35
17-05,1629,585,1,21
17-06,739,668,0,15
17-07,1712,290,0,14
17-09,1691,199,2,11
17-10,454,243,0,9
17-11,1806,555,2,11
17-12,1404,423,1,13
17-13,2089,1038,2,23
18-01,1829,434,0,25
18-02,1764,1851,0,33
18-03,1062,645,0,14
18-04,1607,1441,0,27
18-05,2228,1633,3,29
18-06,1702,608,2,12
18-07,1243,1440,0,27
18-08,1764,1001,0,21
19-03,1031,933,1,20
19-05,1069,1343,0,13
19-07,1879,1651,2,27
19-09,1391,1737,3,25
19-11,1239,973,1,21
19-12,2416,2092,1,30
19-13,811,497,0,13
19-14,1026,818,0,10
19-15,1026,869,1,15
19-16,942,779,0,20
19-17,2193,957,0,23
19-18,1215,1056,1,24
19-19,2366,2394,4,31
19-20,1294,1146,1,14
19-21,1964,1283,0,20
20-01,1445,853,0,19
20-03,1838,1185,0,32
20-04,1560,809,0,27
20-05,1764,1319,0,20
20-06A,2107,1250,2,32
20-06B,1550,1016,0,21
20-08,1930,1340,1,30
20-09,1234,791,2,18
20-10,1505,722,1,29
20-11,2356,1514,1,38
20-12,2421,1404,3,25
20-14,3017,1492,0,23
20-15,1934,749,0,28
20-16,1758,702,1,14
20-17,2010,1013,1,23
