id,Ashleigh Parker Dunston,under
09-02,2070,915
10-02,2252,1257
10-03,1659,760
10-04,5090,2447
13-01,3723,923
13-07,1672,506
13-08,2038,573
13-09,3077,907
16-10,3630,608
16-11,2437,500
17-02,1011,480
17-03,4299,1463
17-04,4442,1662
17-06,1339,727
17-07,2803,439
17-09,3002,337
17-11,3203,763
17-12,2467,602
17-13,3452,1290
19-16,1581,922
19-17,3613,1308
