id,Chris Costello,Rosa U. Gill,Stephanie Dingee,over,under
01-22,46,1828,78,1,32
15-01,105,1188,1557,2,54
15-02,120,1864,1782,5,73
15-03,109,1375,2080,2,59
15-04,54,740,853,2,26
16-01,46,765,725,1,34
16-02,69,1941,406,1,42
16-03,27,558,338,0,15
16-04,53,1116,830,0,25
16-05,55,796,680,0,31
16-06,33,505,251,0,20
16-07,85,1423,897,0,34
16-09,86,1797,971,0,37
16-10,72,2032,318,1,25
16-11,48,1543,425,1,29
