id,Demian Dellinger,Elmo Vance,Phil Matthews,Rex Whaley,Write-In,over,under
15-02,98,96,78,70,4,0,56
15-04,76,81,56,46,1,0,43
16-01,19,21,15,9,0,0,14
16-02,177,193,134,118,9,0,140
16-03,98,142,103,72,3,0,104
16-04,292,363,258,253,7,0,241
16-05,80,88,72,69,1,0,29
16-06,101,116,78,78,1,0,52
16-07,372,403,348,236,11,3,244
16-09,252,283,164,141,5,3,160
16-11,69,61,37,41,0,0,50
18-04,3,2,0,1,0,0,3
TRANS,2,2,4,2,0,0,0
