id,Blake Massengill,Jason Ora Wunsch,Mark A. Ivey,Tim Beck,Write-In,under
06-04,18,22,11,16,1,12
12-01,229,288,129,151,0,75
12-02,217,293,162,162,2,118
12-04,72,131,67,103,1,34
12-05,35,35,15,18,0,15
12-06,292,295,106,189,1,85
12-07,6,5,3,1,0,5
12-08,170,166,54,77,2,58
12-09,317,344,161,204,8,92
