id,Donald Ray Buie,Hunter Murphy,Margaret Eagles,over,under
19-13,86,668,908,1,137
19-14,110,1085,954,0,149
19-15,82,1052,864,1,143
19-16,127,1010,1013,2,122
19-17,231,1244,2344,3,201
20-01,177,1094,1419,0,205
20-03,167,1332,1338,0,236
20-04,167,1113,1461,1,221
20-05,144,1511,1414,1,223
20-06A,217,1396,1886,1,326
20-06B,182,1345,1228,1,252
20-08,203,1610,1677,1,324
20-09,137,1007,1073,0,176
20-10,121,1012,1358,1,208
20-11,159,1456,1305,0,267
20-12,118,1022,920,1,181
20-14,241,1734,2431,1,374
20-15,179,929,1624,0,193
20-16,142,746,1389,0,191
20-17,152,1140,1372,0,262
