precinct_abbrv,total,voted_total,gender_F,gender_M,gender_U,gender_F_voted,gender_M_voted,gender_U_voted,race_A,race_B,race_I,race_M,race_O,race_U,race_W,race_A_voted,race_B_voted,race_I_voted,race_M_voted,race_O_voted,race_U_voted,race_W_voted,ethnic_HL,ethnic_NL,ethnic_UN,ethnic_HL_voted,ethnic_NL_voted,ethnic_UN_voted,party_CST,party_DEM,party_GRE,party_LIB,party_REP,party_UNA,party_CST_voted,party_DEM_voted,party_GRE_voted,party_LIB_voted,party_REP_voted,party_UNA_voted
01-27,2131,1302,904,1099,128,591,652,59,21,446,7,27,61,174,1395,12,201,2,12,30,89,956,68,1356,707,31,898,373,0,1090,0,20,211,810,0,699,0,6,127,470
01-35,2671,1452,1423,1079,169,878,504,70,7,2211,11,26,60,220,136,7,1255,4,12,26,86,62,89,1616,966,34,955,463,0,2044,0,13,56,558,0,1205,0,8,31,208
20-01,3525,2426,1825,1561,139,1292,1050,84,114,609,10,44,149,214,2385,87,404,9,30,97,139,1660,124,2327,1074,77,1644,705,0,1229,0,29,984,1283,0,875,0,16,688,847
15-03,4452,3083,2260,2079,113,1580,1442,61,10,475,16,21,82,164,3684,10,302,11,8,49,106,2597,104,3439,909,65,2437,581,0,1219,0,22,1856,1355,0,846,0,12,1336,889
01-12,1854,1360,986,778,90,734,568,58,14,123,1,14,30,93,1579,13,62,0,9,16,59,1201,20,1385,449,13,1036,311,0,693,0,8,540,613,0,504,0,4,405,447
17-08,7656,5275,4142,3240,274,2975,2131,169,137,2991,19,106,233,473,3697,87,2076,13,64,148,300,2587,274,5461,1921,168,3860,1247,0,3706,0,25,1694,2231,0,2638,0,10,1199,1428
09-03,2658,1929,1382,1200,76,1016,864,49,8,583,4,23,45,180,1815,6,445,3,13,28,120,1314,65,2024,569,33,1501,395,0,995,0,4,955,704,0,755,0,1,714,459
20-17,3343,2478,1661,1577,105,1251,1152,75,392,176,10,30,171,147,2417,321,118,8,20,143,110,1758,76,2308,959,45,1732,701,0,845,0,13,1007,1478,0,651,0,10,729,1088
06-08,2219,1619,1150,1000,69,864,715,40,30,458,6,22,69,98,1536,24,317,4,14,47,67,1146,60,1544,615,41,1142,436,0,821,0,9,642,747,0,611,0,5,483,520
01-41,2228,1330,912,1110,206,564,666,100,64,291,4,30,72,259,1508,34,134,1,12,40,124,985,73,1533,622,36,996,298,0,887,0,31,341,969,0,607,0,13,198,512
10-04,6475,4460,3440,2793,242,2425,1887,148,52,2429,16,74,205,427,3272,30,1694,9,36,123,286,2282,281,4573,1621,156,3240,1064,0,3116,0,31,1626,1702,0,2241,0,18,1160,1041
01-07,2035,1442,903,1002,130,644,714,84,30,55,3,25,50,139,1733,17,30,2,17,37,92,1247,40,1496,499,30,1084,328,0,854,0,22,362,797,0,657,0,15,240,530
07-02,1613,1204,827,717,69,629,526,49,36,232,8,14,46,82,1195,24,144,7,8,32,57,932,26,1236,351,17,940,247,0,610,0,9,492,502,0,452,0,7,394,351
11-01,4734,3060,2422,2033,279,1617,1291,152,112,510,17,57,138,345,3555,65,280,7,37,79,211,2381,102,3346,1286,74,2202,784,0,1658,0,40,1217,1819,0,1121,0,21,806,1112
16-04,2559,1889,1370,1132,57,1023,831,35,11,583,9,11,53,122,1770,9,427,6,5,27,80,1335,60,1878,621,31,1432,426,0,1071,0,11,762,715,0,814,0,8,569,498
14-01,750,544,382,353,15,272,264,8,8,49,2,2,8,31,650,8,35,1,2,4,23,471,7,609,134,3,442,99,0,201,0,8,309,232,0,146,0,4,226,168
20-09,2725,2062,1365,1293,67,1046,972,44,66,122,6,21,81,105,2324,51,93,4,15,53,78,1768,48,2038,639,29,1563,470,0,720,0,19,867,1119,0,588,0,10,649,815
03-00,3514,2681,1740,1653,121,1374,1224,83,157,299,12,21,83,186,2756,125,216,7,17,62,139,2115,74,2510,930,54,1964,663,0,947,0,23,1227,1317,0,747,0,12,925,997
18-01,5392,2885,2353,2323,716,1342,1191,352,192,1183,21,85,179,805,2927,100,642,7,38,81,414,1603,162,3234,1996,81,1806,998,0,2075,0,57,884,2376,0,1251,0,28,437,1169
01-18,2864,1964,1482,1280,102,1038,872,54,33,625,8,32,101,188,1877,19,340,5,10,52,102,1436,135,2106,623,65,1513,386,0,1230,0,21,706,907,0,860,0,13,530,561
06-06,5094,3806,2626,2320,148,1994,1704,108,130,497,16,43,176,240,3992,100,355,12,29,126,179,3005,151,3570,1373,101,2681,1024,0,1411,0,30,1714,1939,0,1078,0,19,1264,1445
13-05,2150,1262,1191,798,161,743,438,81,30,881,4,23,96,201,915,15,488,1,13,51,116,578,105,1396,649,63,822,377,1,1089,0,13,378,669,1,658,0,4,225,374
01-05,1055,873,549,476,30,459,392,22,3,30,1,1,9,47,964,3,19,1,1,8,38,803,5,850,200,4,714,155,0,423,0,1,377,254,0,352,0,1,316,204
17-01,2847,1878,1493,1189,165,1011,772,95,71,1140,12,35,152,219,1218,42,750,9,16,76,121,864,141,1886,820,68,1314,496,0,1552,0,18,472,805,0,1060,0,14,318,486
17-09,3511,2254,1969,1359,183,1368,780,106,52,2573,10,44,112,296,424,32,1714,4,19,58,182,245,193,2115,1203,112,1422,720,0,2526,0,7,175,803,0,1675,0,4,110,465
13-11,3016,2350,1590,1336,90,1259,1033,58,40,252,4,22,67,147,2484,30,208,3,16,56,101,1936,41,2432,543,36,1923,391,0,842,0,14,1162,998,0,697,0,9,923,721
01-34,2450,979,1072,979,399,499,347,133,4,1648,6,52,33,512,195,2,665,3,16,5,154,134,43,1000,1407,16,516,447,0,1456,0,8,68,918,0,661,0,2,25,291
16-06,1489,980,841,597,51,558,394,28,9,542,2,8,26,103,799,6,313,2,5,15,67,572,47,1040,402,30,695,255,0,778,0,9,317,385,0,515,0,6,227,232
01-40,4675,2730,2584,1792,299,1652,939,139,35,3673,10,61,125,406,365,21,2219,3,28,56,189,214,179,2828,1668,79,1774,877,0,3449,0,8,179,1039,0,2195,0,4,82,449
16-08,7333,4652,3990,2945,398,2708,1727,217,70,4898,28,100,280,681,1276,44,3186,17,56,175,402,772,378,4418,2537,239,2844,1569,0,4911,0,23,627,1772,0,3287,0,9,383,973
19-04,6951,5169,3594,3091,266,2698,2278,193,168,1361,13,66,281,414,4648,132,1033,7,33,187,312,3465,247,5247,1457,169,3920,1080,0,2284,0,39,2327,2301,0,1776,0,19,1759,1615
01-32,2557,1565,1254,1155,148,787,697,81,50,467,5,31,113,208,1683,30,253,5,19,59,121,1078,84,1771,702,40,1128,397,0,1088,0,14,451,1004,0,697,0,11,264,593
19-07,2909,1970,1532,1223,154,1060,828,82,30,783,4,23,72,197,1800,17,507,1,15,50,123,1257,64,2101,744,41,1474,455,0,1061,0,26,975,847,0,747,0,15,660,548
