precinct_abbrv,total,voted_total,gender_F,gender_M,gender_U,gender_F_voted,gender_M_voted,gender_U_voted,race_A,race_B,race_I,race_M,race_O,race_U,race_W,race_A_voted,race_B_voted,race_I_voted,race_M_voted,race_O_voted,race_U_voted,race_W_voted,ethnic_HL,ethnic_NL,ethnic_UN,ethnic_HL_voted,ethnic_NL_voted,ethnic_UN_voted,party_CST,party_DEM,party_GRE,party_LIB,party_REP,party_UNA,party_CST_voted,party_DEM_voted,party_GRE_voted,party_LIB_voted,party_REP_voted,party_UNA_voted
13-08,2771,1699,1532,1103,136,1001,620,78,53,1418,11,41,159,262,827,35,865,8,20,86,164,521,212,1695,864,122,1086,491,0,1629,0,10,335,797,0,1038,0,4,226,431
01-01,2091,1356,931,947,213,642,615,99,26,206,5,31,34,271,1518,16,127,3,18,20,123,1049,58,1339,694,33,940,383,0,863,0,17,359,852,0,631,0,7,205,513
07-13,2245,1651,1262,903,80,934,660,57,30,344,5,16,56,119,1675,20,226,3,12,33,90,1267,49,1755,441,35,1299,317,0,853,0,17,613,762,0,642,0,6,476,527
08-05,2091,1646,1063,980,48,849,768,29,27,123,2,12,48,75,1804,22,81,2,10,41,50,1440,42,1727,322,32,1377,237,0,630,0,1,745,715,0,506,0,1,603,536
07-07,3520,2632,1884,1517,119,1418,1128,86,57,342,3,19,133,163,2803,39,221,1,14,77,118,2162,70,2795,655,38,2140,454,0,1177,0,34,1062,1247,0,915,0,22,806,889
10-01,1236,897,632,577,27,476,408,13,10,179,1,4,18,47,977,7,137,1,2,10,26,714,32,993,211,16,748,133,0,426,0,4,505,301,0,313,0,3,380,201
02-05,1016,818,510,484,22,406,397,15,18,29,2,4,32,39,892,15,28,1,4,26,28,716,14,857,145,10,701,107,0,245,0,6,388,377,0,210,0,5,310,293
04-11,1589,1078,789,759,41,537,505,36,98,250,4,23,110,83,1021,67,159,3,16,71,61,701,71,1078,440,33,752,293,0,596,0,17,331,645,0,410,0,9,209,450
01-14,3608,2586,1748,1658,202,1281,1183,122,17,568,5,40,56,260,2662,15,311,4,24,35,147,2050,77,2545,986,53,1921,612,0,1791,0,26,470,1321,0,1324,0,12,318,932
20-14,5444,4073,2678,2524,242,1988,1899,186,1150,271,27,37,422,291,3246,972,180,21,24,325,241,2310,127,3523,1794,88,2660,1325,0,1481,0,25,1371,2567,0,1157,0,18,981,1917
05-03,3436,2406,1716,1590,130,1225,1096,85,349,218,9,23,168,176,2493,279,134,7,16,114,124,1732,72,2389,975,45,1717,644,0,846,0,17,1137,1436,0,581,0,8,819,998
20-10,3138,2331,1551,1503,84,1166,1101,64,319,102,8,21,187,127,2374,233,80,7,10,140,93,1768,70,2298,770,51,1750,530,0,818,0,7,921,1392,0,630,0,3,687,1011
13-02,1998,1494,1042,905,51,790,670,34,34,171,2,13,44,92,1642,17,114,2,10,31,67,1253,33,1601,364,23,1208,263,0,601,0,14,713,670,0,465,0,10,548,471
04-10,2749,2017,1367,1300,82,1033,938,46,126,144,4,21,107,127,2220,90,102,1,15,74,94,1641,81,1993,675,50,1516,451,0,809,0,25,815,1100,0,629,0,11,602,775
20-08,4456,3204,2295,2028,133,1666,1447,91,248,312,4,30,170,202,3490,189,202,3,16,117,139,2538,118,3205,1133,67,2364,773,0,1291,0,33,1460,1672,0,955,0,20,1074,1155
04-06,2885,2238,1558,1252,75,1210,979,49,49,111,2,25,83,95,2520,36,77,1,20,67,66,1971,52,2197,636,38,1737,463,0,983,0,15,878,1009,0,786,0,12,685,755
12-07,2760,1783,1394,1282,84,939,800,44,8,397,8,18,70,138,2121,5,249,6,10,35,88,1390,73,2021,666,43,1343,397,0,843,0,18,1015,884,0,541,0,9,694,539
07-11,1178,960,631,527,20,514,435,11,11,34,0,2,28,41,1062,8,27,0,1,23,34,867,6,997,175,2,818,140,0,445,0,4,348,381,0,373,0,2,288,297
04-04,1753,1152,960,734,59,633,482,37,47,293,4,17,85,113,1194,33,145,2,8,45,70,849,70,1221,462,39,847,266,0,709,0,14,412,618,0,475,0,10,288,379
20-06B,3440,2529,1787,1545,108,1319,1143,67,49,80,5,14,87,147,3058,34,58,3,7,60,105,2262,67,2523,850,43,1880,606,0,846,0,28,1217,1349,0,639,0,21,898,971
