id,Jenna Wadsworth,Steve Troxler,over,under
01-01,1182,472,0,40
01-02,1078,594,0,57
01-03,775,1028,0,53
01-04,548,592,0,26
01-05,447,645,0,43
01-06,1688,885,0,74
01-07,1573,713,0,83
01-07A,186,45,0,12
01-09,705,379,1,33
01-10,750,636,0,29
01-11,818,1534,0,76
01-12,912,817,0,48
01-13,1046,376,0,30
01-14,2470,818,3,87
01-15,1029,1011,0,86
01-16,1456,1150,2,76
01-17,430,560,0,31
01-18,1329,1024,1,53
01-19,1322,108,1,31
01-20,1892,390,0,49
01-21,2427,1084,1,98
01-22,2991,295,1,59
01-23,2429,832,0,139
01-25,442,52,0,16
01-26,1503,193,0,48
01-27,1501,446,1,52
01-28,2975,779,1,79
01-29,897,1379,3,44
01-30,524,694,0,36
01-31,2173,637,1,107
01-32,1533,726,0,65
01-33,875,742,1,49
01-34,1102,100,1,20
01-35,1584,155,2,36
01-36,1087,1329,0,84
01-37,783,932,0,47
01-38,1217,690,1,57
01-39,1420,864,0,84
01-40,2988,331,1,55
01-41,1303,558,0,72
01-42,1056,1460,1,66
01-43,1277,761,1,60
01-44,1938,1156,0,103
01-45,812,698,0,43
01-46,1829,433,0,53
01-47,870,1138,0,44
01-48,1326,615,1,49
01-49,1958,743,0,85
01-50,2249,275,0,64
01-51,496,498,1,25
02-01,1225,1681,3,90
02-02,2212,3208,0,145
02-03,1024,1728,1,80
02-04,868,1391,1,38
02-05,412,570,0,19
02-06,894,1543,0,61
03-00,2699,3060,2,214
04-01,1163,813,1,48
04-02,1263,1013,1,57
04-03,1124,696,0,47
04-04,880,577,0,39
04-05,1846,1488,0,90
04-06,1432,1240,0,105
04-07,1032,1540,0,63
04-08,1440,772,1,75
04-09,1214,1069,1,65
04-10,1424,1125,0,83
04-11,913,462,0,41
04-12,1370,1190,0,72
04-13,2405,1802,0,150
04-14,827,721,1,47
04-15,1337,966,0,65
04-16,1155,732,0,57
04-17,1009,616,0,63
04-18,1549,1031,1,85
04-19,884,736,0,53
04-20,1713,1038,0,93
04-21,1094,473,1,52
05-01,2183,1535,0,121
05-03,2096,1614,0,125
05-05,4191,2251,2,208
05-06,2565,1984,0,178
05-07,4273,2058,0,222
05-08,2335,1020,0,102
06-04,1995,1718,0,103
06-05,1099,1821,0,90
06-06,2903,2907,2,214
06-07,1580,1513,0,112
06-08,1112,894,0,75
06-09,2994,3631,1,278
06-10,1543,1985,1,121
07-01,908,617,0,36
07-02,780,734,0,49
07-03,733,756,0,34
07-04,2321,1365,0,113
07-05,921,759,1,40
07-06,1487,1826,0,96
07-07,1701,1606,1,98
07-07A,187,300,0,41
07-09,1709,1239,0,82
07-10,2866,1758,0,149
07-11,507,566,1,32
07-12,1450,996,0,84
07-13,1127,886,0,68
08-02,1955,1711,0,119
08-03,2850,2067,0,152
08-04,756,884,0,36
08-05,866,1093,0,41
08-06,1393,565,0,52
08-07,946,1442,0,62
08-08,2001,1975,1,136
08-09,984,789,0,56
08-10,1440,1128,1,77
08-11,2100,1525,0,130
09-01,816,1268,1,39
09-02,1698,1223,0,65
09-03,1473,1889,0,65
10-01,329,827,0,15
10-02,1754,1676,1,78
10-03,1223,1151,0,45
10-04,4064,3337,1,135
11-01,2932,2010,1,178
11-02,2306,1824,1,122
12-01,2070,3642,0,171
12-02,2129,2229,0,127
12-04,1415,3038,0,105
12-05,3034,4102,3,209
12-06,1513,2294,1,108
12-07,1039,1659,2,52
12-08,2098,2132,0,150
12-09,1887,2827,0,146
13-01,3421,1107,1,120
13-02,891,991,0,54
13-05,1369,531,0,50
13-06,1490,1266,1,85
13-07,1427,699,0,52
13-08,1959,584,0,68
13-09,2845,1038,0,101
13-10,2847,2526,2,177
13-11,1370,1507,1,85
14-01,235,509,0,16
14-02,2198,4283,0,145
15-01,1401,2437,2,70
15-02,2275,2897,1,121
15-03,1563,2961,0,108
15-04,825,1325,0,38
16-01,1284,1304,0,76
16-02,3191,904,1,96
16-03,761,565,0,23
16-04,1144,1299,1,58
16-05,1076,1135,0,48
16-06,686,474,1,30
16-07,1501,1506,0,57
16-09,2212,1604,1,106
16-10,3492,672,0,74
16-11,2321,565,1,50
17-01,1529,716,0,56
17-02,765,702,0,24
17-03,3717,1906,0,139
17-04,3780,2195,1,128
17-05,2326,1080,2,94
17-06,995,1024,2,45
17-07,2596,596,0,50
17-09,2868,418,0,53
17-10,657,433,0,22
17-11,2773,1093,3,97
17-12,2140,856,1,72
17-13,2811,1813,3,115
18-01,2874,1130,0,117
18-02,1695,2776,0,110
18-03,1138,1034,1,68
18-04,1612,2161,3,95
18-05,2224,2434,0,141
18-06,2293,1255,0,129
18-07,1207,1986,1,86
18-08,2151,1666,1,146
19-03,1246,1541,0,96
19-05,1079,1960,0,85
19-07,1819,2170,1,132
19-09,1759,2556,0,129
19-11,1447,1578,0,106
19-12,3030,3271,0,210
19-13,1099,862,1,73
19-14,1405,1350,0,76
19-15,1276,1419,0,80
19-16,1226,1224,0,50
19-17,3105,1701,0,115
19-18,1405,1555,2,96
19-19,2435,3547,4,180
19-20,1524,1690,0,83
19-21,2487,2105,1,123
20-01,1890,1412,0,103
20-03,1987,1893,0,143
20-04,1880,1360,0,122
20-05,1882,1948,0,134
20-06A,2523,1971,0,176
20-06B,1674,1628,0,112
20-08,2282,2113,0,153
20-09,1279,1259,0,70
20-10,1674,1235,0,115
20-11,2488,2257,0,176
20-12,2661,2204,1,163
20-14,3746,2381,1,189
20-15,2647,1255,1,133
20-16,2429,1222,2,145
20-17,2382,1608,0,152
