id,total,voted_total,gender_F,gender_M,gender_U,gender_F_voted,gender_M_voted,gender_U_voted,race_A,race_B,race_I,race_M,race_O,race_P,race_U,race_W,race_A_voted,race_B_voted,race_I_voted,race_M_voted,race_O_voted,race_P_voted,race_U_voted,race_W_voted,ethnic_HL,ethnic_NL,ethnic_UN,ethnic_HL_voted,ethnic_NL_voted,ethnic_UN_voted,party_DEM,party_GRE,party_LIB,party_NLB,party_REP,party_UNA,party_DEM_voted,party_GRE_voted,party_LIB_voted,party_NLB_voted,party_REP_voted,party_UNA_voted
01-12,1847,0,922,778,147,0,0,0,26,86,1,13,33,0,147,1541,0,0,0,0,0,0,0,0,26,1337,484,0,0,0,669,1,20,0,384,773,0,0,0,0,0,0
01-27,2250,1,917,1035,298,0,1,0,39,322,5,19,91,0,312,1462,0,0,0,0,0,0,0,1,96,1438,716,0,0,1,1073,2,25,0,181,969,0,0,0,0,1,0
08-08,4374,0,2088,1955,331,0,0,0,118,240,8,22,150,1,382,3453,0,0,0,0,0,0,0,0,137,3198,1039,0,0,0,1231,1,28,0,1115,1999,0,0,0,0,0,0
04-20,3037,0,1518,1278,241,0,0,0,169,316,5,24,202,0,310,2011,0,0,0,0,0,0,0,0,188,1988,861,0,0,0,1130,2,19,2,531,1353,0,0,0,0,0,0
01-34,2095,0,874,675,546,0,0,0,7,1039,2,27,32,0,582,406,0,0,0,0,0,0,0,0,40,1003,1052,0,0,0,1119,0,4,0,53,919,0,0,0,0,0,0
05-08,4565,703,2076,1893,596,307,307,89,998,704,32,27,412,0,607,1785,226,53,4,3,59,0,90,268,190,2606,1769,9,437,257,1695,0,35,4,560,2271,258,0,2,1,61,381
01-47,2087,0,1058,911,118,0,0,0,25,100,4,11,63,0,131,1753,0,0,0,0,0,0,0,0,35,1612,440,0,0,0,640,0,13,0,641,793,0,0,0,0,0,0
20-11,6033,1132,2825,2622,586,558,512,62,453,284,19,27,362,0,586,4302,53,54,3,4,43,0,73,902,242,3924,1867,32,810,290,1634,0,45,3,1405,2946,352,0,7,0,271,502
20-10,3244,1,1525,1469,250,1,0,0,432,117,11,17,224,0,271,2172,1,0,0,0,0,0,0,0,94,2271,879,0,1,0,881,1,10,1,618,1733,1,0,0,0,0,0
13-08,3213,0,1667,1182,364,0,0,0,76,1493,5,38,290,0,505,806,0,0,0,0,0,0,0,0,382,1696,1135,0,0,0,1707,1,37,4,348,1116,0,0,0,0,0,0
