id,total,voted_total,gender_F,gender_M,gender_U,gender_F_voted,gender_M_voted,gender_U_voted,race_A,race_B,race_I,race_M,race_O,race_P,race_U,race_W,race_A_voted,race_B_voted,race_I_voted,race_M_voted,race_O_voted,race_P_voted,race_U_voted,race_W_voted,ethnic_HL,ethnic_NL,ethnic_UN,ethnic_HL_voted,ethnic_NL_voted,ethnic_UN_voted,party_DEM,party_GRE,party_LIB,party_NLB,party_REP,party_UNA,party_DEM_voted,party_GRE_voted,party_LIB_voted,party_NLB_voted,party_REP_voted,party_UNA_voted
01-03,1980,0,979,899,102,0,0,0,11,18,2,7,22,0,105,1815,0,0,0,0,0,0,0,0,26,1550,404,0,0,0,635,0,9,0,588,748,0,0,0,0,0,0
04-14,1653,0,812,737,104,0,0,0,27,63,2,10,56,0,110,1385,0,0,0,0,0,0,0,0,51,1190,412,0,0,0,569,0,13,1,363,707,0,0,0,0,0,0
07-01,1752,0,894,714,144,0,0,0,21,276,3,16,83,0,175,1178,0,0,0,0,0,0,0,0,81,1210,461,0,0,0,748,0,16,1,293,694,0,0,0,0,0,0
01-21,4103,0,1861,1715,527,0,0,0,103,1000,9,36,240,0,613,2102,0,0,0,0,0,0,0,0,235,2513,1355,0,0,0,1734,2,33,1,514,1819,0,0,0,0,0,0
01-44,3486,0,1776,1354,356,0,0,0,43,693,5,25,156,0,386,2178,0,0,0,0,0,0,0,0,148,2295,1043,0,0,0,1578,2,29,2,595,1280,0,0,0,0,0,0
01-06,2620,0,1219,1120,281,0,0,0,58,91,3,20,51,0,279,2118,0,0,0,0,0,0,0,0,55,1777,788,0,0,0,1134,1,19,0,370,1096,0,0,0,0,0,0
17-06,2440,15,1166,1059,215,10,5,0,25,688,10,17,133,1,314,1252,0,12,0,0,0,0,1,2,200,1563,677,0,11,4,911,0,13,1,654,861,13,0,0,0,2,0
04-12,2883,0,1445,1255,183,0,0,0,130,109,3,22,130,0,207,2282,0,0,0,0,0,0,0,0,75,2134,674,0,0,0,911,0,25,2,617,1328,0,0,0,0,0,0
01-36,2586,0,1327,1090,169,0,0,0,41,130,5,12,70,1,168,2159,0,0,0,0,0,0,0,0,43,1934,609,0,0,0,776,0,31,1,840,938,0,0,0,0,0,0
07-03,1594,0,785,717,92,0,0,0,20,109,1,7,32,0,110,1315,0,0,0,0,0,0,0,0,19,1243,332,0,0,0,555,0,8,0,378,653,0,0,0,0,0,0
04-06,3054,0,1563,1263,228,0,0,0,87,113,2,20,106,1,236,2489,0,0,0,0,0,0,0,0,81,2209,764,0,0,0,1029,1,16,1,702,1305,0,0,0,0,0,0
03-01,4873,1024,2324,2163,386,497,471,56,476,274,13,23,229,0,447,3411,72,59,2,5,35,0,71,780,149,3216,1508,18,729,277,1255,1,42,4,1175,2396,307,1,7,1,237,471
17-15,2490,83,1236,1046,208,55,25,3,25,930,2,16,143,0,275,1099,0,56,0,0,2,0,4,21,202,1589,699,2,60,21,1118,0,13,3,479,877,58,0,0,0,7,18
16-09,4916,327,2398,2029,489,176,135,16,109,1614,18,23,261,0,527,2364,3,158,0,1,8,0,16,141,265,3217,1434,5,252,70,2025,1,32,3,990,1865,180,0,0,1,39,107
16-01,3033,25,1492,1197,344,16,9,0,28,753,4,19,158,0,373,1698,0,16,0,0,2,0,0,7,201,1924,908,2,19,4,1100,0,28,6,786,1113,17,0,0,0,1,7
19-15,3026,194,1530,1227,269,102,83,9,111,425,9,17,154,0,291,2019,0,18,1,0,5,0,12,158,124,2054,848,3,154,37,876,0,13,3,923,1211,57,0,0,0,52,85
17-02,1862,104,915,773,174,49,54,1,34,464,2,17,99,0,209,1037,0,47,1,2,2,0,1,51,131,1237,494,1,81,22,692,1,13,1,406,749,62,0,0,0,13,29
01-48,2119,0,1008,908,203,0,0,0,40,256,6,12,97,1,229,1478,0,0,0,0,0,0,0,0,68,1441,610,0,0,0,911,1,17,1,260,929,0,0,0,0,0,0
01-19,1806,0,852,700,254,0,0,0,8,1189,5,12,64,1,305,222,0,0,0,0,0,0,0,0,87,1019,700,0,0,0,1171,0,7,4,73,551,0,0,0,0,0,0
16-02,4973,254,2483,1965,525,145,98,11,49,2463,20,34,297,1,660,1449,1,103,1,1,6,0,15,127,415,2994,1564,7,201,46,2702,1,37,3,511,1719,154,0,0,0,28,72
20-03,4648,1029,2289,1958,401,520,474,35,175,232,10,21,176,1,420,3613,10,39,1,1,9,0,47,922,151,3207,1290,12,807,210,1285,1,28,4,1175,2155,318,0,1,0,278,432
01-02,1738,0,829,728,181,0,0,0,28,47,1,12,41,0,195,1414,0,0,0,0,0,0,0,0,19,1262,457,0,0,0,748,0,6,0,238,746,0,0,0,0,0,0
08-11,4012,0,1996,1614,402,0,0,0,314,473,16,20,243,2,418,2526,0,0,0,0,0,0,0,0,181,2653,1178,0,0,0,1354,2,19,2,811,1824,0,0,0,0,0,0
18-04,4474,2,2133,2046,295,1,1,0,178,353,10,32,241,1,352,3307,0,2,0,0,0,0,0,0,177,3315,982,0,2,0,1266,0,29,2,1255,1922,1,0,0,0,0,1
20-09,2815,768,1371,1302,142,393,356,19,78,118,4,15,88,0,168,2344,13,35,1,2,15,0,27,675,47,2087,681,6,603,159,760,0,27,1,692,1335,259,0,4,0,161,344
19-20,3910,442,1910,1702,298,213,209,20,118,680,10,18,180,0,328,2576,3,97,2,1,15,0,18,306,144,2722,1044,8,336,98,1229,5,20,0,1106,1550,171,0,0,0,116,155
17-14,4787,65,2347,1934,506,37,26,2,130,1804,11,38,310,0,577,1917,1,46,0,1,3,0,1,13,315,2986,1486,3,44,18,2178,3,28,6,793,1779,47,0,1,0,5,12
07-07,3482,0,1774,1455,253,0,0,0,69,323,2,10,143,0,287,2648,0,0,0,0,0,0,0,0,104,2604,774,0,0,0,1164,1,20,1,839,1457,0,0,0,0,0,0
02-04,2500,1,1192,1154,154,0,1,0,70,85,5,14,82,0,172,2072,0,0,0,0,0,0,0,1,30,1913,557,0,1,0,559,0,12,1,898,1030,1,0,0,0,0,0
01-39,2499,0,1244,1015,240,0,0,0,30,489,4,10,106,0,243,1617,0,0,0,0,0,0,0,0,72,1710,717,0,0,0,1028,2,19,2,432,1016,0,0,0,0,0,0
17-13,5351,300,2702,2171,478,159,131,10,96,1944,9,52,215,0,536,2499,3,172,0,2,4,0,12,107,228,3633,1490,4,250,46,2397,2,42,2,975,1933,194,0,1,0,32,73
05-05,7137,2,3458,2799,880,0,2,0,422,1692,29,45,420,0,863,3666,1,0,0,0,0,0,0,1,276,4431,2430,0,2,0,2727,3,60,7,1263,3077,1,0,0,0,0,1
19-19,7497,1201,3703,3255,539,621,533,47,121,855,9,23,284,0,596,5609,15,185,1,4,32,0,55,909,256,5319,1922,37,939,225,1908,1,42,2,2353,3191,388,0,3,0,370,440
07-06,3609,0,1864,1545,200,0,0,0,66,165,2,9,72,0,238,3057,0,0,0,0,0,0,0,0,39,2793,777,0,0,0,1098,0,18,1,993,1499,0,0,0,0,0,0
02-06,2688,0,1292,1258,138,0,0,0,54,129,7,5,83,2,164,2244,0,0,0,0,0,0,0,0,28,2075,585,0,0,0,608,0,20,0,1009,1051,0,0,0,0,0,0
01-42,2731,0,1408,1179,144,0,0,0,52,180,5,16,89,0,181,2208,0,0,0,0,0,0,0,0,55,2081,595,0,0,0,772,0,22,0,873,1064,0,0,0,0,0,0
13-10,5949,0,3064,2447,438,0,0,0,125,567,6,27,232,1,495,4496,0,0,0,0,0,0,0,0,189,4299,1461,0,0,0,1878,2,36,5,1529,2499,0,0,0,0,0,0
17-12,3477,220,1772,1358,347,140,73,7,118,1457,10,32,193,0,428,1239,5,146,1,3,0,0,10,55,259,2127,1091,3,161,56,1700,0,11,0,507,1259,149,0,0,0,12,59
01-20,2660,0,1195,1117,348,0,0,0,51,1042,3,27,66,0,377,1094,0,0,0,0,0,0,0,0,77,1589,994,0,0,0,1459,1,18,1,151,1030,0,0,0,0,0,0
19-21,5413,334,2636,2336,441,171,150,13,239,1443,8,43,345,0,555,2780,6,103,1,1,7,0,21,195,271,3635,1507,3,266,65,1956,3,46,4,1277,2127,130,0,3,0,70,131
02-03,3003,0,1411,1427,165,0,0,0,39,76,7,8,73,0,193,2607,0,0,0,0,0,0,0,0,31,2376,596,0,0,0,668,0,22,0,1062,1251,0,0,0,0,0,0
20-06B,3660,932,1824,1633,203,480,420,32,81,87,7,13,101,0,232,3139,14,25,1,2,17,0,46,827,101,2556,1003,15,690,227,913,0,27,0,923,1797,291,0,3,0,213,425
13-11,3193,0,1646,1342,205,0,0,0,58,261,2,17,78,0,223,2554,0,0,0,0,0,0,0,0,55,2409,729,0,0,0,904,1,15,3,973,1297,0,0,0,0,0,0
06-06,6678,1713,3327,2900,451,880,768,65,228,617,17,47,310,2,548,4909,34,139,4,10,54,1,82,1389,214,4453,2011,34,1248,431,1893,0,51,2,1744,2988,512,0,9,0,503,689
18-07,3965,20,1892,1835,238,10,10,0,86,304,17,17,168,1,260,3112,1,3,0,0,1,0,0,15,149,2890,926,1,14,5,967,2,29,0,1329,1638,10,0,0,0,4,6
17-05,3910,0,1972,1542,396,0,0,0,176,1410,6,35,283,0,517,1483,0,0,0,0,0,0,0,0,316,2428,1166,0,0,0,1824,4,14,3,560,1505,0,0,0,0,0,0
08-10,2758,1,1358,1176,224,0,1,0,99,357,4,24,134,0,238,1902,1,0,0,0,0,0,0,0,100,1916,742,0,0,1,937,0,15,1,590,1215,0,0,0,0,0,1
19-18,3784,379,1789,1667,328,188,170,21,102,631,8,21,181,0,356,2485,7,78,2,3,12,0,22,255,182,2529,1073,15,278,86,1127,1,22,1,1036,1597,151,0,1,0,107,120
01-22,3954,0,2005,1430,519,0,0,0,34,2775,12,30,155,0,606,342,0,0,0,0,0,0,0,0,219,2270,1465,0,0,0,2592,2,15,0,118,1227,0,0,0,0,0,0
01-33,1837,0,912,805,120,0,0,0,21,53,1,2,45,0,129,1586,0,0,0,0,0,0,0,0,21,1391,425,0,0,0,737,0,8,1,411,680,0,0,0,0,0,0
16-06,1368,139,705,540,123,79,56,4,4,415,2,3,61,0,150,733,1,43,0,0,2,0,6,87,76,915,377,2,109,28,644,0,16,0,255,453,79,0,1,0,23,36
13-01,6007,0,2929,2250,828,0,0,0,209,2398,16,44,417,0,902,2021,0,0,0,0,0,0,0,0,383,3534,2090,0,0,0,2911,4,42,9,693,2348,0,0,0,0,0,0
10-02,4182,276,2118,1668,396,159,101,16,43,1287,14,22,268,1,540,2007,2,55,1,2,3,0,19,194,335,2666,1181,1,211,64,1614,4,25,5,1051,1483,94,0,0,0,94,88
13-05,2170,0,1126,770,274,0,0,0,31,850,3,14,126,0,313,833,0,0,0,0,0,0,0,0,140,1255,775,0,0,0,1054,0,32,3,262,819,0,0,0,0,0,0
04-18,2686,2,1262,1164,260,0,2,0,181,237,7,18,140,0,262,1841,0,0,0,0,0,0,1,1,92,1808,786,0,1,1,902,2,22,1,475,1284,1,0,0,0,0,1
01-37,1845,0,921,816,108,0,0,0,24,94,1,5,42,0,127,1552,0,0,0,0,0,0,0,0,27,1419,399,0,0,0,615,0,11,1,472,746,0,0,0,0,0,0
01-26,2447,0,1046,878,523,0,0,0,31,1105,4,24,63,0,550,670,0,0,0,0,0,0,0,0,79,1271,1097,0,0,0,1253,1,20,1,81,1091,0,0,0,0,0,0
08-07,2660,0,1272,1253,135,0,0,0,74,95,5,13,81,2,157,2233,0,0,0,0,0,0,0,0,43,2068,549,0,0,0,638,0,11,0,847,1164,0,0,0,0,0,0
19-11,3487,531,1767,1422,298,277,229,25,54,409,9,19,122,0,326,2548,1,48,0,5,12,0,27,438,135,2402,950,11,426,94,1041,0,29,2,964,1451,193,0,3,0,119,216
12-09,5833,1153,2918,2484,431,624,490,39,75,528,11,24,185,0,489,4521,10,73,3,4,13,0,40,1010,207,3915,1711,20,844,289,1385,0,37,2,1978,2431,278,0,1,0,458,416
15-02,6158,131,2946,2696,516,63,67,1,137,1045,17,42,322,0,600,3995,3,27,0,2,4,0,4,91,359,4280,1519,2,101,28,1852,3,44,2,1746,2511,54,0,1,0,26,50
12-04,5719,508,2809,2482,428,251,225,32,74,468,19,26,228,1,474,4429,5,35,0,2,10,0,26,430,273,3814,1632,17,352,139,1195,1,54,3,2112,2354,137,0,4,0,151,216
14-02,7966,0,3714,3639,613,0,0,0,160,479,23,31,230,0,658,6385,0,0,0,0,0,0,0,0,172,5764,2030,0,0,0,1647,1,67,5,2997,3249,0,0,0,0,0,0
01-51,1057,0,560,419,78,0,0,0,8,62,0,5,21,0,79,882,0,0,0,0,0,0,0,0,25,787,245,0,0,0,362,0,5,0,255,435,0,0,0,0,0,0
11-02,4428,1,2236,1843,349,1,0,0,93,423,5,35,176,2,347,3347,0,0,0,0,0,0,0,1,129,3155,1144,0,1,0,1587,2,25,1,1004,1809,0,0,0,0,0,1
06-04,4272,917,2119,1793,360,465,396,56,116,524,12,22,225,1,430,2942,10,81,0,4,31,0,59,732,198,2649,1425,26,628,263,1303,0,33,3,980,1953,309,0,1,0,229,378
04-05,3632,0,1686,1675,271,0,0,0,327,193,5,20,242,0,324,2521,0,0,0,0,0,0,0,0,80,2583,969,0,0,0,1176,1,26,2,724,1703,0,0,0,0,0,0
12-11,3522,187,1720,1535,267,95,87,5,88,399,9,14,161,0,328,2523,8,9,1,2,5,0,11,151,169,2373,980,5,131,51,911,2,24,1,1065,1519,66,0,0,0,59,62
09-01,2470,0,1190,1083,197,0,0,0,13,631,4,10,69,0,232,1511,0,0,0,0,0,0,0,0,91,1759,620,0,0,0,847,0,17,2,828,776,0,0,0,0,0,0
04-07,2788,0,1356,1291,141,0,0,0,68,40,1,14,89,0,161,2415,0,0,0,0,0,0,0,0,40,2138,610,0,0,0,661,0,12,1,978,1136,0,0,0,0,0,0
04-16,2019,0,1057,809,153,0,0,0,59,81,6,9,71,0,187,1606,0,0,0,0,0,0,0,0,53,1427,539,0,0,0,730,0,22,0,366,901,0,0,0,0,0,0
09-03,4762,302,2364,1941,457,171,106,25,37,1527,8,34,208,1,466,2481,1,177,0,5,12,0,18,89,252,3180,1330,10,203,89,1755,2,33,4,1297,1671,164,0,2,0,33,103
04-02,2696,0,1292,1213,191,0,0,0,67,184,5,17,195,0,275,1953,0,0,0,0,0,0,0,0,213,1784,699,0,0,0,943,0,21,2,540,1190,0,0,0,0,0,0
04-15,2460,1,1221,1056,183,1,0,0,89,198,4,12,102,0,212,1843,0,0,0,0,0,0,0,1,95,1699,666,0,0,1,791,0,14,1,506,1148,0,0,0,0,0,1
01-28,4397,0,2110,1673,614,0,0,0,48,1600,7,42,127,0,624,1949,0,0,0,0,0,0,0,0,133,2688,1576,0,0,0,2352,1,36,1,316,1691,0,0,0,0,0,0
