precinct_abbrv,total,voted_total,gender_F,gender_M,gender_U,gender_F_voted,gender_M_voted,gender_U_voted,race_A,race_B,race_I,race_M,race_O,race_P,race_U,race_W,race_A_voted,race_B_voted,race_I_voted,race_M_voted,race_O_voted,race_P_voted,race_U_voted,race_W_voted,ethnic_HL,ethnic_NL,ethnic_UN,ethnic_HL_voted,ethnic_NL_voted,ethnic_UN_voted,party_DEM,party_LIB,party_REP,party_UNA,party_DEM_voted,party_LIB_voted,party_REP_voted,party_UNA_voted
04-08,2524,0,1212,1079,233,0,0,0,188,379,12,23,149,0,277,1496,0,0,0,0,0,0,0,0,100,1684,740,0,0,0,941,14,413,1156,0,0,0,0
01-10,1516,0,751,700,65,0,0,0,7,19,0,6,9,1,79,1395,0,0,0,0,0,0,0,0,12,1207,297,0,0,0,640,8,317,551,0,0,0,0
16-06,1378,157,713,545,120,92,63,2,2,446,3,3,35,0,151,738,0,32,0,0,1,0,3,121,55,953,370,2,135,20,671,14,259,434,76,2,34,45
19-18,3410,377,1619,1481,310,186,169,22,83,564,9,26,135,0,353,2240,6,79,2,1,9,0,21,259,165,2374,871,8,284,85,1028,29,968,1385,112,2,136,127
19-11,3471,628,1749,1411,311,324,282,22,47,391,10,22,102,0,368,2531,7,55,0,0,10,0,31,525,140,2466,865,5,506,117,1050,19,1003,1399,209,1,198,220
12-02,5188,919,2537,2183,468,454,428,37,53,874,16,47,198,1,560,3439,7,176,1,4,21,0,44,666,246,3262,1680,21,648,250,1646,70,1511,1961,297,7,298,317
01-21,4184,1,1936,1737,511,1,0,0,102,1092,9,47,184,0,622,2128,0,0,0,0,0,0,0,1,220,2642,1322,0,1,0,1830,42,578,1734,0,0,0,1
17-05,3952,1,2010,1558,384,1,0,0,162,1510,5,49,215,0,518,1493,0,0,0,0,0,0,0,1,270,2494,1188,1,0,0,1982,20,593,1357,1,0,0,0
17-10,1289,0,638,522,129,0,0,0,46,401,2,7,80,0,184,569,0,0,0,0,0,0,0,0,97,799,393,0,0,0,614,10,263,402,0,0,0,0
02-02,6029,0,2868,2774,387,0,0,0,129,318,16,23,155,0,438,4950,0,0,0,0,0,0,0,0,84,4625,1320,0,0,0,1430,51,2086,2462,0,0,0,0
10-03,2819,395,1471,1143,205,217,166,12,22,826,8,20,96,0,308,1539,3,68,0,1,7,0,11,305,183,1878,758,5,324,66,1176,17,717,909,144,2,144,105
19-03,3220,573,1584,1311,325,298,250,25,35,344,5,18,79,0,355,2384,4,56,1,2,7,0,20,483,108,2269,843,8,456,109,984,37,972,1227,196,2,178,197
04-06,2958,0,1525,1248,185,0,0,0,79,113,3,24,104,1,210,2424,0,0,0,0,0,0,0,0,91,2162,705,0,0,0,965,14,719,1260,0,0,0,0
01-48,2172,0,1040,935,197,0,0,0,40,276,6,14,78,1,231,1526,0,0,0,0,0,0,0,0,53,1534,585,0,0,0,961,16,292,903,0,0,0,0
06-10,4444,392,2177,1973,294,202,175,15,137,445,14,26,179,0,378,3265,12,57,0,4,15,0,21,283,158,2969,1317,7,268,117,1140,33,1398,1873,110,2,130,150
08-06,2273,0,1096,881,296,0,0,0,28,556,5,19,75,0,321,1269,0,0,0,0,0,0,0,0,86,1466,721,0,0,0,976,26,340,931,0,0,0,0
02-04,2460,0,1165,1141,154,0,0,0,62,91,4,13,71,0,172,2047,0,0,0,0,0,0,0,0,22,1927,511,0,0,0,575,9,943,933,0,0,0,0
01-28,4479,0,2210,1714,555,0,0,0,41,1731,10,43,102,0,610,1942,0,0,0,0,0,0,0,0,139,2821,1519,0,0,0,2496,38,352,1593,0,0,0,0
01-31,3576,0,1390,1548,638,0,0,0,86,909,20,62,144,1,728,1626,0,0,0,0,0,0,0,0,165,2074,1337,0,0,0,1527,40,293,1716,0,0,0,0
11-02,4601,0,2313,1883,405,0,0,0,88,433,9,41,153,0,442,3435,0,0,0,0,0,0,0,0,119,3329,1153,0,0,0,1682,36,1085,1798,0,0,0,0
01-36,2754,0,1387,1153,214,0,0,0,39,117,5,21,53,0,211,2308,0,0,0,0,0,0,0,0,43,2102,609,0,0,0,814,21,927,992,0,0,0,0
18-01,4803,1,1974,1987,842,0,1,0,161,997,9,74,181,0,948,2433,0,0,0,0,0,0,0,1,206,2932,1665,0,1,0,1959,52,548,2244,0,0,0,1
20-17,4693,0,2199,2044,450,0,0,0,896,260,27,26,311,0,498,2675,0,0,0,0,0,0,0,0,118,3065,1510,0,0,0,1312,18,932,2431,0,0,0,0
18-04,4392,4,2122,1990,280,2,2,0,158,391,11,34,186,1,356,3255,0,4,0,0,0,0,0,0,149,3307,936,0,4,0,1329,35,1288,1740,3,0,0,1
01-23,4640,0,1639,1717,1284,0,0,0,146,500,12,100,133,0,1326,2423,0,0,0,0,0,0,0,0,189,2438,2013,0,0,0,1534,39,451,2616,0,0,0,0
16-09,4434,307,2164,1801,469,166,130,11,67,1451,16,30,163,0,520,2187,3,110,1,0,13,0,13,167,211,2985,1238,3,236,68,1899,45,953,1537,148,3,51,105
20-03,4613,1321,2263,1965,385,661,618,42,141,239,11,26,138,1,443,3614,16,37,1,5,11,0,62,1189,136,3238,1239,15,1041,265,1322,37,1238,2016,403,6,423,489
01-03,1911,0,942,860,109,0,0,0,11,16,3,6,18,0,106,1751,0,0,0,0,0,0,0,0,21,1522,368,0,0,0,633,6,590,682,0,0,0,0
10-01,1297,0,625,584,88,0,0,0,11,196,2,6,21,0,121,940,0,0,0,0,0,0,0,0,44,952,301,0,0,0,362,3,533,399,0,0,0,0
04-04,1685,0,861,655,169,0,0,0,47,250,1,15,89,0,216,1067,0,0,0,0,0,0,0,0,95,1093,497,0,0,0,673,11,333,668,0,0,0,0
01-11,2560,0,1270,1154,136,0,0,0,24,42,0,6,31,0,152,2305,0,0,0,0,0,0,0,0,33,1997,530,0,0,0,676,12,1003,869,0,0,0,0
16-11,3537,66,1830,1348,359,32,27,7,54,2086,9,34,136,1,487,730,2,12,0,1,1,0,10,40,208,2122,1207,1,45,20,2155,29,338,1015,20,0,20,26
07-12,2885,2,1444,1185,256,0,2,0,40,459,7,15,80,0,299,1985,0,0,0,0,0,0,0,2,123,2035,727,0,1,1,1188,29,609,1059,0,0,2,0
18-02,4926,1,2371,2296,259,0,1,0,110,171,8,22,148,0,327,4140,0,0,0,0,1,0,0,0,121,3629,1176,0,0,1,1195,34,1655,2042,0,0,0,1
15-03,5207,4,2520,2282,405,2,2,0,36,549,18,21,116,0,453,4014,0,1,0,0,0,0,0,3,176,3781,1250,0,2,2,1300,34,1936,1937,3,0,1,0
14-02,7398,1,3449,3373,576,1,0,0,144,450,20,33,170,0,642,5939,0,1,0,0,0,0,0,0,138,5582,1678,0,1,0,1537,57,2976,2828,1,0,0,0
01-07,2673,0,1115,1248,310,0,0,0,59,106,5,21,61,0,292,2129,0,0,0,0,0,0,0,0,63,1843,767,0,0,0,1133,28,409,1103,0,0,0,0
07-04,4093,2,2078,1623,392,1,1,0,48,673,8,31,131,0,433,2769,0,0,0,0,0,0,0,2,145,2919,1029,0,2,0,1653,40,720,1680,2,0,0,0
06-07,3547,200,1684,1597,266,95,98,7,160,402,2,23,180,0,330,2450,8,22,0,3,4,0,12,151,115,2420,1012,4,144,52,1057,36,954,1500,44,1,82,73
13-10,5920,0,3040,2439,441,0,0,0,114,599,6,36,192,1,496,4476,0,0,0,0,0,0,0,0,177,4391,1352,0,0,0,1931,44,1595,2350,0,0,0,0
01-46,2826,0,1437,1032,357,0,0,0,67,1485,10,40,151,0,483,590,0,0,0,0,0,0,0,0,243,1577,1006,0,0,0,1641,24,241,920,0,0,0,0
12-07,3080,30,1484,1352,244,13,14,3,27,411,15,21,103,0,341,2162,1,2,0,1,2,0,2,22,141,2095,844,3,20,7,822,33,1032,1193,15,0,6,9
13-07,2421,1,1196,951,274,1,0,0,114,865,7,28,134,0,358,915,0,1,0,0,0,0,0,0,152,1519,750,0,0,1,1220,13,374,814,1,0,0,0
01-15,2351,0,1189,970,192,0,0,0,51,147,2,12,63,0,193,1883,0,0,0,0,0,0,0,0,55,1763,533,0,0,0,851,29,644,827,0,0,0,0
20-12,5721,928,2643,2444,634,466,427,35,776,327,45,33,369,0,688,3483,45,42,5,5,32,0,59,740,167,3704,1850,18,690,220,1618,33,1352,2718,274,5,283,366
04-17,1830,0,905,740,185,0,0,0,55,151,6,16,83,0,209,1310,0,0,0,0,0,0,0,0,54,1253,523,0,0,0,647,23,333,827,0,0,0,0
01-49,3486,0,1511,1309,666,0,0,0,77,953,7,55,140,0,697,1557,0,0,0,0,0,0,0,0,145,1988,1353,0,0,0,1522,39,416,1509,0,0,0,0
14-01,838,0,407,367,64,0,0,0,8,45,5,2,9,0,80,689,0,0,0,0,0,0,0,0,10,630,198,0,0,0,185,7,338,308,0,0,0,0
20-16,4459,1,2097,1752,610,0,1,0,619,815,19,28,280,0,687,2011,0,0,0,0,0,0,0,1,182,2526,1751,0,1,0,1640,40,662,2117,0,0,1,0
05-06,5165,0,2513,2243,409,0,0,0,855,185,15,27,361,0,485,3237,0,0,0,0,0,0,0,0,109,3509,1547,0,0,0,1439,19,1163,2544,0,0,0,0
17-12,3502,369,1802,1372,328,226,134,9,111,1538,13,38,150,0,445,1207,6,210,1,4,6,0,15,127,222,2194,1086,12,268,89,1811,14,523,1154,226,0,49,94
06-04,4278,877,2132,1765,381,442,390,45,110,527,16,26,188,0,471,2940,13,96,4,2,20,0,45,697,190,2642,1446,21,609,247,1352,36,1060,1830,298,4,269,306
07-09,3269,0,1614,1337,318,0,0,0,70,393,12,33,85,0,354,2322,0,0,0,0,0,0,0,0,95,2274,900,0,0,0,1217,33,719,1300,0,0,0,0
19-13,2309,0,1220,833,256,0,0,0,62,481,7,26,92,0,264,1377,0,0,0,0,0,0,0,0,90,1564,655,0,0,0,843,12,557,897,0,0,0,0
04-15,2500,1,1248,1075,177,0,1,0,88,213,4,15,112,0,209,1859,0,0,0,0,0,0,1,0,94,1727,679,0,0,1,848,23,517,1112,0,0,1,0
07-06,3671,0,1903,1560,208,0,0,0,54,183,5,12,69,0,235,3113,0,0,0,0,0,0,0,0,49,2886,736,0,0,0,1145,19,1070,1437,0,0,0,0
09-01,2399,0,1162,1066,171,0,0,0,11,627,6,13,49,0,213,1480,0,0,0,0,0,0,0,0,68,1738,593,0,0,0,893,13,783,710,0,0,0,0
12-09,5590,1235,2776,2373,441,650,545,40,66,514,10,26,139,0,491,4344,9,101,1,6,12,0,46,1060,181,3728,1681,18,907,310,1392,43,1951,2204,300,3,498,434
01-26,2398,0,1066,918,414,0,0,0,26,1151,4,28,42,0,438,709,0,0,0,0,0,0,0,0,73,1324,1001,0,0,0,1348,16,102,932,0,0,0,0
20-06A,5161,1336,2568,2142,451,665,603,68,225,602,7,44,219,1,553,3510,31,94,1,5,30,0,79,1096,232,3330,1599,41,941,354,1699,37,1180,2245,454,6,383,493
08-02,4142,0,2040,1807,295,0,0,0,92,375,4,28,101,0,346,3196,0,0,0,0,0,0,0,0,101,3073,968,0,0,0,1322,38,992,1790,0,0,0,0
01-27,2365,0,974,1096,295,0,0,0,42,326,9,30,76,0,317,1565,0,0,0,0,0,0,0,0,99,1526,740,0,0,0,1130,30,230,975,0,0,0,0
02-01,3229,0,1582,1460,187,0,0,0,66,169,6,9,81,0,246,2652,0,0,0,0,0,0,0,0,52,2521,656,0,0,0,869,35,1030,1295,0,0,0,0
07-07,3567,0,1821,1469,277,0,0,0,69,338,2,16,133,0,315,2694,0,0,0,0,0,0,0,0,97,2679,791,0,0,0,1212,30,882,1443,0,0,0,0
11-01,5579,3,2641,2188,750,2,1,0,115,673,12,60,166,0,788,3765,0,1,0,0,0,0,0,2,166,3601,1812,0,3,0,2001,62,1195,2321,0,0,2,1
