precinct_abbrv,total,voted_total,gender_F,gender_M,gender_U,gender_F_voted,gender_M_voted,gender_U_voted,race_A,race_B,race_I,race_M,race_O,race_P,race_U,race_W,race_A_voted,race_B_voted,race_I_voted,race_M_voted,race_O_voted,race_P_voted,race_U_voted,race_W_voted,ethnic_HL,ethnic_NL,ethnic_UN,ethnic_HL_voted,ethnic_NL_voted,ethnic_UN_voted,party_DEM,party_LIB,party_REP,party_UNA,party_DEM_voted,party_LIB_voted,party_REP_voted,party_UNA_voted
15-04,2348,106,1139,1071,138,61,43,2,20,370,3,15,74,0,163,1703,2,43,0,1,5,0,7,48,67,1794,487,0,86,20,717,13,814,804,56,1,22,27
01-33,1763,0,868,768,127,0,0,0,19,43,1,3,34,0,142,1521,0,0,0,0,0,0,0,0,13,1354,396,0,0,0,715,7,451,590,0,0,0,0
07-02,1639,0,838,697,104,0,0,0,33,174,5,12,54,0,133,1228,0,0,0,0,0,0,0,0,43,1227,369,0,0,0,573,16,453,597,0,0,0,0
07-07A,595,0,400,179,16,0,0,0,3,2,0,2,1,0,16,571,0,0,0,0,0,0,0,0,1,493,101,0,0,0,273,0,174,148,0,0,0,0
01-45,1715,0,822,744,149,0,0,0,35,272,2,10,41,0,187,1168,0,0,0,0,0,0,0,0,65,1208,442,0,0,0,625,17,372,701,0,0,0,0
18-03,2381,0,1162,1059,160,0,0,0,106,96,0,6,117,0,186,1870,0,0,0,0,0,0,0,0,39,1785,557,0,0,0,764,13,616,988,0,0,0,0
01-50,2981,0,1562,1087,332,0,0,0,48,2059,7,29,110,0,424,304,0,0,0,0,0,0,0,0,135,1774,1072,0,0,0,2096,18,117,750,0,0,0,0
01-44,3519,0,1822,1335,362,0,0,0,41,749,5,37,120,0,394,2173,0,0,0,0,0,0,0,0,135,2386,998,0,0,0,1653,24,666,1176,0,0,0,0
04-11,1578,0,746,676,156,0,0,0,80,224,3,16,105,0,193,957,0,0,0,0,0,0,0,0,95,985,498,0,0,0,602,14,257,705,0,0,0,0
08-07,2610,0,1261,1220,129,0,0,0,65,90,5,17,68,2,156,2207,0,0,0,0,0,0,0,0,33,2066,511,0,0,0,643,12,894,1061,0,0,0,0
07-01,1741,0,891,708,142,0,0,0,21,297,2,21,59,0,174,1167,0,0,0,0,0,0,0,0,74,1229,438,0,0,0,748,11,331,651,0,0,0,0
04-12,2885,0,1441,1250,194,0,0,0,111,105,3,21,124,0,222,2299,0,0,0,0,0,0,0,0,72,2151,662,0,0,0,932,24,667,1262,0,0,0,0
01-38,2162,0,1030,923,209,0,0,0,63,512,6,22,109,0,309,1141,0,0,0,0,0,0,0,0,130,1413,619,0,0,0,1054,18,322,768,0,0,0,0
07-13,2221,0,1145,877,199,0,0,0,42,318,3,15,50,0,223,1570,0,0,0,0,0,0,0,0,68,1616,537,0,0,0,861,19,524,817,0,0,0,0
01-09,1150,0,581,503,66,0,0,0,13,21,0,5,14,0,64,1033,0,0,0,0,0,0,0,0,8,920,222,0,0,0,541,5,196,408,0,0,0,0
