id,Jim Martin,Write-In,over,under
01-14,2499,60,0,820
01-20,1003,33,0,313
01-21,2588,131,1,890
01-23,2556,93,0,751
01-25,373,22,1,114
01-27,1480,44,0,476
01-31,2095,120,3,700
01-32,1623,129,0,572
01-41,1405,87,1,440
01-48,1470,71,1,449
01-49,2045,109,2,630
06-07,1948,387,1,869
12-05,4161,1227,2,1958
18-01,3049,167,2,903
18-02,2533,725,2,1321
18-04,2333,437,0,1101
18-06,2522,192,1,962
18-07,1820,548,3,909
