id,Michael Nelson,Sarah Crawford,over,under
13-01,795,4074,4,439
13-06,611,1730,1,334
13-07,348,1526,0,187
13-08,348,2163,1,205
13-09,592,2953,0,320
13-10,1391,3411,3,674
13-11,736,1833,0,461
19-11,878,1852,0,450
19-13,471,1212,2,222
19-14,761,1610,2,350
19-15,794,1557,1,375
19-17,896,3396,1,483
19-20,1003,2005,0,468
19-21,1205,3018,0,559
19-23,332,884,0,141
