id,Jim Black,under
03-00,3864,2111
04-13,3023,1330
04-19,1172,503
05-01,2787,1052
05-03,2696,1139
05-06,3289,1438
05-07,5123,1430
05-08,2771,686
06-04,2695,1121
06-06,3994,2032
06-08,1434,647
06-09,4358,2546
06-10,2190,1460
12-08,2879,1501
20-01,2412,994
20-04,2401,962
20-06A,3261,1409
20-06B,2266,1148
20-08,3015,1533
20-10,2156,868
20-11,3378,1543
20-12,3486,1543
20-14,4635,1682
20-15,3133,903
20-16,2907,891
20-17,3037,1105
