id,Amber Batiste Davis,Curtis Cotton III,Jessica Daniels Harrison,Larry Loucks,Michael A. Germano,Shannon Baxter,Write-In,under
09-02,188,79,233,185,193,223,4,161
09-03,193,94,179,82,127,155,5,101
