id,Christine Kelly,Christopher Robinson,Erin Pare,over,under
06-04,1464,68,1058,1,22
06-05,961,52,1336,0,19
06-10,1469,67,1546,3,27
12-01,1846,76,2634,1,27
12-02,1692,85,1569,2,33
12-04,1296,82,2173,2,38
12-06,1600,63,1827,0,31
12-07,874,47,1143,2,21
12-08,1589,75,1452,0,29
12-09,1500,60,2095,0,30
12-10,1726,73,1702,0,39
12-11,960,50,1250,2,15
18-07,1133,64,1475,0,38
