id,Bobby Yates Emory,Ken Bagnal,Yvonne Lewis Holley,over,under
01-13,36,173,968,0,20
01-14,80,330,2191,0,43
01-19,17,36,928,0,23
01-20,61,135,1480,1,34
01-28,64,288,2352,1,39
01-34,15,24,748,0,12
01-38,55,373,988,2,32
01-40,26,94,2113,1,41
01-46,36,176,1208,0,25
13-01,62,409,2067,2,38
13-05,36,239,812,0,24
13-07,31,379,1096,0,23
13-08,35,250,1214,0,19
13-09,67,477,2130,3,33
17-01,67,401,1182,2,20
17-10,20,245,468,1,15
17-11,60,503,2040,1,41
