id,Blake Massengill,Richard Bridgers,Ty Ziglar,William (Bill) Harris,Write-In,over,under
06-04,50,0,7,43,0,0,2
06-10,1,0,0,5,0,0,0
12-01,577,8,59,458,5,1,4
12-02,434,13,110,431,1,0,5
12-04,287,6,27,191,2,0,5
12-06,476,9,65,400,1,0,6
12-07,10,0,0,22,0,0,1
12-08,279,4,57,341,0,0,1
12-09,725,14,76,451,6,2,5
12-10,75,5,10,62,0,0,4
12-11,60,2,4,33,0,0,0
15-03,5,0,0,3,0,0,0
