id,Don Bumgarner,Glenn York,Larry Loucks,Marilyn Price Wagner,Sam Hayes,Shannon Baxter,Stan R. Nowell,under
09-02,144,214,194,37,122,148,56,179
09-03,28,69,74,18,42,83,26,44
