id,Rosa U. Gill,under
01-14,183,42
01-20,1821,280
01-21,2447,719
01-22,2900,164
01-23,4351,1159
01-25,422,51
01-26,1795,185
01-27,848,133
01-31,587,100
01-35,1573,109
01-50,1989,145
16-01,24,5
16-02,3252,561
16-03,563,188
16-04,595,220
16-06,523,133
16-08,4874,545
16-09,401,101
17-07,513,88
17-09,2508,245
18-01,693,162
18-04,232,98
