id,Chris Parker,Latatious Morris,Mark Swan,Steve Evans,Write-In,under
17-02,188,158,178,171,10,171
17-04,125,165,150,179,2,216
17-06,13,26,17,20,0,32
17-12,179,282,234,236,4,252
17-13,376,424,393,497,32,387
