id,No,Yes,under
06-04,53,57,0
06-10,6,0,1
12-01,631,434,11
12-02,562,380,13
12-04,291,207,4
12-06,735,504,18
12-07,19,27,1
12-08,300,350,12
12-09,732,398,14
12-10,107,53,2
12-11,75,65,5
18-07,9,12,1
TRANS,1,1,0
