id,Jane Harrison,Write-In,over,under
01-01,1261,24,1,442
01-02,1183,20,0,436
01-06,1818,34,1,653
01-07,1832,35,1,760
01-07A,130,6,0,65
01-21,2550,44,0,930
01-23,3297,70,2,1306
01-25,376,8,1,135
01-27,1541,30,0,443
01-31,1810,30,0,690
01-32,1572,27,0,577
01-41,1309,23,0,434
01-48,1447,21,0,445
01-49,1716,29,0,589
04-05,261,9,1,190
11-01,3387,59,1,1584
18-01,2615,72,1,924
18-06,1910,25,1,705
