precinct_abbrv,total,voted_total,gender_F,gender_M,gender_U,gender_F_voted,gender_M_voted,gender_U_voted,race_A,race_B,race_I,race_M,race_O,race_P,race_U,race_W,race_A_voted,race_B_voted,race_I_voted,race_M_voted,race_O_voted,race_P_voted,race_U_voted,race_W_voted,ethnic_HL,ethnic_NL,ethnic_UN,ethnic_HL_voted,ethnic_NL_voted,ethnic_UN_voted,party_DEM,party_GRE,party_LIB,party_REP,party_UNA,party_DEM_voted,party_GRE_voted,party_LIB_voted,party_REP_voted,party_UNA_voted
20-01,3752,2158,1861,1562,329,1114,907,137,185,497,12,23,246,0,402,2387,83,272,7,13,98,0,155,1530,198,2396,1158,61,1490,607,1288,0,34,840,1590,793,0,15,536,814
01-23,4121,1787,1313,1346,1462,641,624,522,134,352,7,65,102,1,1469,1991,61,131,3,19,38,1,510,1024,145,1931,2045,50,974,763,1322,4,33,335,2427,724,1,17,128,917
04-07,2759,2103,1350,1275,134,1036,992,75,70,37,1,14,84,0,166,2387,32,30,1,9,50,0,99,1882,40,2140,579,25,1699,379,673,0,12,983,1091,548,0,9,758,788
17-04,7011,3555,3475,2807,729,1847,1472,236,136,2663,13,57,372,0,870,2900,43,1386,9,25,112,0,257,1723,440,4463,2108,117,2507,931,3281,0,41,1243,2446,1751,0,14,738,1052
05-03,4226,2514,2009,1832,385,1224,1095,195,523,332,8,27,266,0,400,2670,260,150,2,10,134,0,212,1746,124,2844,1258,55,1758,701,1223,0,25,987,1991,719,0,11,647,1137
01-31,3312,1327,1311,1413,588,570,558,199,82,838,15,45,161,1,638,1532,39,221,6,19,50,1,200,791,147,1923,1242,43,847,437,1394,2,27,270,1619,617,2,7,103,598
01-35,2270,985,1085,865,320,530,378,77,13,1483,7,19,84,0,377,287,7,675,2,5,21,0,79,196,146,1321,803,26,669,290,1503,0,16,75,676,748,0,4,22,211
08-05,2101,1575,1047,936,118,792,720,63,40,106,2,16,52,0,145,1740,26,67,1,13,34,0,84,1350,42,1659,400,19,1302,254,644,0,14,574,869,504,0,7,443,621
01-42,2703,1929,1392,1173,138,1022,850,57,51,171,3,17,87,0,184,2190,25,95,2,10,47,0,91,1659,55,2093,555,15,1575,339,781,0,24,871,1027,566,0,10,677,676
08-07,2597,1938,1245,1216,136,950,920,68,68,90,5,13,71,2,160,2188,41,70,4,9,52,1,84,1677,39,2035,523,25,1566,347,644,0,12,851,1090,505,0,8,657,768
13-09,4470,2262,2276,1646,548,1219,843,200,195,1986,10,43,269,1,677,1289,86,1075,4,19,82,0,244,752,304,2668,1498,88,1466,708,2263,0,27,536,1644,1222,0,8,276,756
16-07,3352,2332,1691,1438,223,1230,1011,91,33,668,10,32,91,0,264,2254,16,427,3,17,46,0,126,1697,92,2537,723,48,1857,427,1362,0,22,780,1188,994,0,8,610,720
20-16,4512,2228,2129,1778,605,1082,879,267,672,799,18,25,325,0,643,2030,322,354,8,11,128,0,281,1124,189,2565,1758,76,1319,833,1623,0,32,647,2210,834,0,13,340,1041
12-09,5694,3476,2843,2418,433,1784,1496,196,70,521,10,23,160,0,492,4418,34,264,5,13,67,0,219,2874,189,3841,1664,71,2485,920,1362,0,35,1960,2337,845,0,13,1315,1303
01-46,2644,998,1302,965,377,541,386,71,68,1342,6,30,157,1,490,550,20,518,1,8,39,1,102,309,230,1431,983,45,669,284,1439,0,24,215,966,623,0,8,84,283
09-02,3518,1657,1813,1392,313,894,674,89,22,1342,16,27,171,0,391,1549,8,596,4,8,42,0,101,898,236,2282,1000,54,1220,383,1687,0,25,732,1074,806,0,6,421,424
01-13,1529,1165,719,673,137,568,520,77,8,161,1,11,36,0,120,1192,6,84,1,7,20,0,57,990,39,1070,420,20,865,280,745,1,7,156,620,583,1,5,106,470
04-09,2505,1652,1182,1130,193,811,754,87,282,128,17,12,176,0,214,1676,166,63,11,9,96,0,102,1205,67,1742,696,34,1207,411,662,1,7,622,1213,446,0,3,449,754
13-06,2908,1931,1487,1186,235,1032,784,115,58,395,10,21,132,0,272,2020,38,221,6,13,72,0,143,1438,112,2060,736,64,1437,430,987,0,29,696,1196,671,0,13,496,751
04-08,2447,1570,1177,1035,235,795,668,107,191,345,12,19,152,0,254,1474,105,194,9,13,83,0,126,1040,88,1646,713,44,1127,399,910,0,14,364,1159,611,0,5,243,711
16-06,1344,751,694,529,121,430,279,42,3,404,2,3,60,0,149,723,3,177,1,0,15,0,47,508,72,907,365,16,572,163,629,0,13,266,436,366,0,8,168,209
01-12,1836,1321,922,772,142,672,574,75,28,83,1,12,33,0,149,1530,15,40,1,6,21,0,83,1155,24,1327,485,15,978,328,677,0,19,388,752,521,0,10,279,511
12-11,3360,2166,1657,1458,245,1103,944,119,60,395,5,13,126,0,312,2449,28,189,4,7,55,0,146,1737,150,2296,914,62,1562,542,870,0,23,1068,1399,559,0,10,779,818
11-01,5087,2762,2414,2000,673,1358,1098,306,112,628,6,50,175,0,652,3464,54,248,2,23,66,0,292,2077,182,3279,1626,65,1889,808,1851,0,54,999,2183,1116,0,16,549,1081
01-33,1772,1340,878,756,138,682,579,79,20,50,1,2,43,0,142,1514,13,27,0,2,28,0,84,1186,17,1360,395,5,1067,268,738,0,8,406,620,600,0,4,314,422
01-41,2159,1218,814,1015,330,508,573,137,53,282,4,14,91,0,369,1346,22,87,1,9,46,0,157,896,84,1411,664,31,869,318,936,1,14,223,985,585,1,2,135,495
08-04,1763,1377,849,816,98,660,658,59,19,51,5,8,39,1,111,1529,11,39,4,5,26,1,63,1228,18,1391,354,8,1119,250,484,0,11,560,708,398,0,7,451,521
07-03,1594,1203,779,722,93,609,538,56,19,107,1,8,33,0,109,1317,10,68,1,4,16,0,61,1043,19,1253,322,9,983,211,567,0,9,373,645,459,0,6,287,451
01-29,2337,1797,1168,1055,114,928,819,50,23,59,1,9,25,0,130,2090,15,28,1,6,16,0,63,1668,22,1883,432,12,1503,282,769,0,14,752,802,634,0,8,587,568
13-02,1956,1360,972,855,129,666,614,80,33,176,5,10,50,0,145,1537,22,96,4,8,24,0,89,1117,41,1476,439,20,1056,284,590,0,11,541,814,426,0,2,391,541
11-02,4346,2771,2166,1824,356,1449,1161,161,86,387,7,35,158,1,362,3310,44,171,2,19,70,1,164,2300,105,3151,1090,46,2139,586,1571,0,30,1002,1743,1086,0,12,682,991
04-06,3064,2220,1576,1251,237,1145,945,130,80,113,2,22,111,1,253,2482,44,65,1,11,68,0,144,1887,90,2218,756,46,1671,503,1022,1,14,712,1315,780,1,6,527,906
17-06,2337,1343,1120,1004,213,671,607,65,20,659,8,17,100,1,315,1217,12,386,5,13,27,0,86,814,165,1529,643,38,1000,305,898,0,13,638,788,536,0,6,443,358
07-12,2704,1629,1372,1095,237,843,687,99,33,389,5,16,91,0,259,1911,21,156,5,10,33,0,105,1299,107,1882,715,41,1246,342,1084,0,21,571,1028,680,0,10,371,568
19-16,2759,1652,1347,1131,281,833,705,114,42,749,9,10,102,0,323,1524,21,431,5,4,46,0,109,1036,122,1853,784,41,1234,377,1074,0,19,718,948,646,0,5,502,499
06-08,2282,1435,1138,986,158,740,617,78,53,359,8,13,101,0,202,1546,27,215,6,8,46,0,85,1048,91,1522,669,27,1018,390,776,0,16,553,937,512,0,5,364,554
08-09,1956,1276,975,802,179,665,539,72,47,236,3,8,68,0,200,1394,31,109,2,6,34,0,85,1009,77,1371,508,33,961,282,710,0,17,382,847,478,0,8,267,523
18-02,4961,3517,2408,2279,274,1746,1631,140,127,170,9,18,171,0,333,4133,65,125,6,7,85,0,172,3057,125,3662,1174,65,2738,714,1211,0,39,1589,2122,931,0,15,1207,1364
04-04,1539,952,803,584,152,520,372,60,44,193,1,11,93,0,175,1022,24,80,0,9,48,0,63,728,87,1009,443,39,689,224,591,0,12,285,651,365,0,8,213,366
07-06,3561,2700,1842,1527,192,1386,1209,105,60,164,3,9,68,0,230,3027,32,84,3,6,45,0,134,2396,41,2801,719,21,2197,482,1108,0,16,1007,1430,863,0,7,794,1036
13-07,2263,1264,1112,893,258,670,508,86,112,778,8,27,134,0,333,871,48,453,4,10,44,0,117,588,152,1404,707,41,896,327,1127,0,10,338,788,658,0,4,221,381
20-10,3211,2172,1504,1450,257,1051,992,129,422,113,9,20,208,0,284,2155,216,73,6,7,122,0,150,1598,81,2270,860,46,1621,505,879,0,14,636,1682,629,0,9,427,1107
16-04,2784,1916,1463,1137,184,1038,794,84,15,674,5,16,67,0,216,1791,7,421,2,7,39,0,95,1345,92,2036,656,36,1482,398,1098,0,9,719,958,783,0,5,527,601
07-01,1699,1066,848,693,158,542,453,71,22,251,2,19,67,0,193,1145,12,77,1,12,30,0,93,841,77,1179,443,21,818,227,710,0,12,299,678,459,0,4,207,396
20-04,3588,2305,1690,1583,315,1111,1035,159,574,130,15,24,275,0,350,2220,310,88,8,18,148,0,164,1569,89,2441,1058,49,1645,611,986,2,17,718,1865,665,2,9,493,1136
01-02,1763,1211,829,733,201,588,532,91,24,45,1,15,39,0,213,1426,15,20,0,8,27,0,93,1048,24,1268,471,11,934,266,767,0,10,238,748,594,0,4,150,463
20-09,2751,1962,1329,1284,138,970,930,62,76,113,3,15,84,0,168,2292,52,77,1,8,48,0,88,1688,43,2051,657,22,1518,422,752,0,29,710,1260,579,0,12,493,878
04-19,1759,1297,829,840,90,619,628,50,85,67,1,11,106,0,111,1378,44,48,0,9,69,0,68,1059,51,1289,419,33,990,274,531,0,11,356,861,420,0,6,268,603
01-11,2539,1926,1245,1153,141,956,892,78,23,47,1,5,32,0,156,2275,18,21,1,2,19,0,96,1769,28,1969,542,13,1544,369,663,0,10,967,899,548,0,4,727,647
01-15,2381,1536,1214,966,201,802,632,102,46,183,6,7,67,0,206,1866,22,95,3,5,34,0,103,1274,47,1732,602,18,1181,337,884,0,25,587,885,606,0,6,404,520
04-05,3630,2535,1680,1669,281,1219,1188,128,316,193,5,20,238,0,338,2520,167,124,4,13,121,0,169,1937,70,2583,977,39,1931,565,1210,1,27,736,1656,919,1,17,525,1073
01-25,701,240,291,258,152,121,90,29,2,384,3,7,25,0,156,124,1,135,1,3,5,0,28,67,18,366,317,6,152,82,386,0,5,27,283,160,0,0,11,69
01-14,3375,2510,1599,1470,306,1221,1126,163,41,322,3,19,73,0,325,2592,31,157,3,12,51,0,176,2080,73,2417,885,46,1882,582,1684,0,17,356,1318,1321,0,10,245,934
02-04,2473,1876,1181,1146,146,932,872,72,69,85,4,15,79,0,169,2052,44,65,4,12,47,0,93,1611,28,1910,535,21,1496,359,572,0,14,910,977,459,0,6,695,716
02-03,2986,2195,1404,1418,164,1052,1052,91,40,77,7,10,68,0,196,2588,23,64,6,6,48,0,108,1940,29,2379,578,13,1822,360,685,0,24,1084,1193,527,0,14,806,848
19-14,3015,1756,1476,1264,275,906,737,113,149,538,8,19,169,0,288,1844,66,316,2,9,82,0,115,1166,117,2100,798,47,1301,408,956,0,25,872,1162,583,0,12,555,606
04-11,1556,924,737,661,158,452,401,71,77,200,5,16,119,0,192,947,42,92,4,10,57,0,74,645,99,957,500,33,625,266,573,0,15,251,717,349,0,7,157,411
01-06,2620,1755,1216,1116,288,820,765,170,54,79,4,18,47,0,279,2139,30,41,1,8,30,0,164,1481,47,1820,753,32,1258,465,1105,1,21,382,1111,840,1,9,230,675
01-05,1144,900,579,513,52,474,394,32,5,17,0,2,18,0,73,1029,3,8,0,2,11,0,50,826,7,913,224,3,746,151,395,0,4,355,390,336,0,2,270,292
04-03,2007,1171,959,878,170,586,513,72,61,244,2,18,120,0,200,1362,31,98,2,6,39,0,80,915,108,1365,534,32,872,267,732,0,15,392,868,440,0,7,252,472
04-21,1721,860,800,713,208,424,357,79,64,334,4,4,129,0,241,945,37,132,2,0,45,0,88,556,110,1055,556,34,586,240,688,1,15,256,761,384,1,8,120,347
01-18,2575,1613,1261,1108,206,822,705,86,31,416,0,15,90,0,248,1775,11,167,0,4,32,0,102,1297,115,1857,603,33,1255,325,1048,0,17,555,955,664,0,3,371,575
01-07A,283,129,144,112,27,68,50,11,8,173,2,4,13,0,27,56,6,72,2,1,7,0,10,31,9,172,102,5,84,40,198,0,2,28,55,90,0,1,15,23
01-07,2602,1639,1064,1235,303,693,775,171,56,116,4,19,74,0,289,2044,29,57,3,13,40,0,167,1330,71,1744,787,39,1131,469,1104,0,23,383,1092,809,0,10,213,607
02-05,1047,813,493,501,53,383,396,34,25,40,0,6,41,0,66,869,20,27,0,6,23,0,41,696,20,834,193,12,673,128,270,0,6,335,436,223,0,4,267,319
17-02,1745,1013,856,725,164,524,423,66,28,434,2,15,73,0,201,992,14,257,2,7,21,0,75,637,108,1177,460,25,748,240,649,0,10,409,677,395,0,4,243,371
01-30,1315,1039,649,598,68,528,477,34,16,22,1,1,16,0,90,1169,12,15,1,1,11,0,59,940,15,1033,267,12,831,196,427,0,9,362,517,368,0,4,281,386
19-13,2179,1236,1135,807,237,669,473,94,51,445,5,21,92,0,237,1328,20,204,4,11,30,0,85,882,89,1449,641,35,889,312,796,0,16,536,831,467,0,4,336,429
10-01,1279,781,615,573,91,386,360,35,13,189,2,4,32,0,122,917,8,99,2,3,7,0,52,610,50,925,304,9,622,150,333,0,4,522,420,196,0,1,373,211
01-34,2062,746,869,662,531,402,277,67,8,1046,3,27,32,0,564,382,5,357,0,10,15,0,80,279,40,988,1034,10,513,223,1119,0,5,54,884,534,0,2,16,194
01-17,1053,791,528,474,51,408,355,28,16,34,1,5,12,0,61,924,14,20,0,4,8,0,33,712,12,798,243,8,618,165,318,0,11,338,386,259,0,5,251,276
01-04,1053,835,540,450,63,436,363,36,8,7,1,3,4,0,76,954,6,6,0,1,3,0,47,772,5,826,222,5,668,162,340,0,6,303,404,294,0,3,242,296
01-51,1040,766,549,411,80,416,309,41,9,64,0,4,18,0,79,866,6,26,0,2,11,0,38,683,24,778,238,13,606,147,366,0,5,250,419,286,0,5,194,281
01-09,1129,911,568,483,78,465,394,52,13,19,0,5,14,0,72,1006,11,12,0,2,4,0,51,831,5,883,241,2,725,184,523,0,7,183,416,454,0,2,133,322
07-07A,610,477,406,181,23,307,151,19,3,0,0,1,1,0,21,584,3,0,0,1,1,0,16,456,1,513,96,1,401,75,269,0,0,171,170,212,0,0,122,143
