precinct_abbrv,total,voted_total,gender_F,gender_M,gender_U,gender_F_voted,gender_M_voted,gender_U_voted,race_A,race_B,race_I,race_M,race_O,race_P,race_U,race_W,race_A_voted,race_B_voted,race_I_voted,race_M_voted,race_O_voted,race_P_voted,race_U_voted,race_W_voted,ethnic_HL,ethnic_NL,ethnic_UN,ethnic_HL_voted,ethnic_NL_voted,ethnic_UN_voted,party_DEM,party_GRE,party_LIB,party_REP,party_UNA,party_DEM_voted,party_GRE_voted,party_LIB_voted,party_REP_voted,party_UNA_voted
01-45,1710,1077,811,737,162,535,482,60,28,270,1,6,49,0,191,1165,8,110,1,3,20,0,70,865,66,1197,447,27,828,222,618,0,13,359,720,383,0,8,254,432
19-05,3497,2308,1649,1605,243,1101,1092,115,59,254,2,15,104,0,277,2786,31,163,1,7,58,0,128,1920,93,2618,786,51,1808,449,813,0,27,1280,1377,580,0,14,915,799
02-01,3216,2349,1555,1459,202,1145,1101,103,65,153,6,7,90,0,261,2634,37,93,1,5,52,0,141,2020,54,2458,704,36,1891,422,855,0,34,1007,1320,655,0,18,778,898
18-01,4380,2044,1779,1798,803,884,846,314,163,910,9,58,197,0,882,2161,66,361,7,26,72,0,339,1173,193,2593,1594,77,1307,660,1766,3,39,469,2103,936,3,15,218,872
08-11,3922,2409,1949,1581,392,1219,995,195,295,448,17,27,229,2,403,2501,166,262,9,14,107,1,186,1664,166,2626,1130,76,1706,627,1327,0,18,842,1735,858,0,7,537,1007
12-04,5458,3432,2676,2367,415,1699,1529,204,62,429,16,23,184,1,472,4271,38,257,12,14,63,0,204,2844,247,3680,1531,79,2447,906,1193,1,53,2055,2156,772,1,26,1380,1253
01-20,2649,1457,1158,1121,370,720,606,131,48,1036,3,29,64,0,395,1074,26,504,0,15,39,0,146,727,73,1578,998,36,972,449,1438,0,22,156,1033,883,0,12,74,488
01-43,2199,1257,1139,829,231,682,493,82,31,503,2,14,85,0,277,1287,13,192,2,8,27,0,111,904,90,1459,650,33,904,320,916,0,26,385,872,545,0,14,268,430
13-11,3125,2215,1603,1314,208,1157,949,109,57,274,2,17,74,0,240,2461,28,171,1,9,50,0,126,1830,56,2359,710,36,1732,447,916,0,16,961,1232,695,0,13,711,796
01-16,2799,1802,1474,1106,219,989,720,93,53,333,1,20,83,0,236,2073,24,160,1,8,32,0,98,1479,86,1977,736,36,1363,403,1240,0,17,533,1009,863,0,9,340,590
13-10,5846,3893,3011,2406,429,2051,1623,219,112,567,6,28,209,1,487,4436,63,321,3,16,131,0,250,3109,180,4285,1381,98,2919,876,1878,0,38,1516,2414,1329,0,18,1031,1515
18-05,5072,3792,2453,2345,274,1852,1782,158,235,125,8,21,211,0,317,4155,137,99,4,17,122,0,165,3248,86,3835,1151,41,2983,768,1448,0,33,1420,2171,1142,0,12,1095,1543
20-05,4267,2993,2088,1868,311,1490,1339,164,212,190,13,13,180,0,326,3333,128,130,9,7,114,0,172,2433,72,3042,1153,39,2240,714,1098,0,33,1209,1927,810,0,13,864,1306
04-10,2711,1848,1312,1204,195,937,825,86,159,126,3,13,132,1,222,2055,85,68,3,10,75,1,109,1497,72,1943,696,32,1399,417,819,0,21,578,1293,607,0,12,402,827
16-11,3845,1911,1959,1464,422,1060,702,149,54,2083,7,28,184,1,529,959,26,1050,3,14,52,0,187,579,250,2288,1307,60,1255,596,2154,0,31,401,1259,1157,0,15,235,504
04-12,2890,2024,1442,1250,198,1019,904,101,122,103,3,23,122,0,225,2292,77,63,1,17,68,0,116,1682,74,2143,673,45,1583,396,911,0,25,637,1317,688,0,7,469,860
19-12,7148,4291,3543,2997,608,2197,1824,270,147,1028,16,56,250,0,681,4970,64,556,9,29,116,0,309,3208,292,4942,1914,150,3109,1032,2152,0,51,2068,2877,1367,0,22,1320,1582
20-17,4720,2927,2202,2026,492,1375,1294,258,973,249,28,26,331,0,531,2582,550,132,14,13,171,0,280,1767,108,3054,1558,58,1965,904,1322,0,19,876,2503,870,0,11,555,1491
14-02,7593,4995,3540,3453,600,2377,2312,306,152,458,23,32,199,0,643,6086,77,308,11,22,129,0,336,4112,155,5612,1826,85,3820,1090,1584,0,61,2939,3009,1113,0,33,2006,1843
01-40,4168,1823,2166,1455,547,1076,627,120,30,2900,9,42,159,0,626,402,10,1367,5,17,47,0,146,231,203,2441,1524,49,1212,562,2823,0,15,145,1185,1394,0,2,60,367
01-32,2467,1318,1112,1074,281,629,569,120,49,454,10,14,135,0,322,1483,23,176,7,7,37,0,133,935,88,1666,713,28,953,337,1021,2,27,320,1097,590,0,13,175,540
12-01,6764,4343,3252,3015,497,2134,1979,230,90,557,6,37,180,0,615,5279,47,330,4,22,87,0,297,3556,203,4642,1919,96,3109,1138,1599,0,56,2388,2721,1066,0,28,1648,1601
19-19,7200,4592,3549,3134,517,2315,2051,226,119,824,10,25,243,0,574,5405,58,515,6,16,119,0,258,3620,225,5206,1769,111,3491,990,1856,0,45,2329,2970,1243,0,19,1557,1773
04-18,2678,1700,1258,1153,267,816,743,141,170,234,5,19,130,0,268,1852,96,115,2,12,72,0,145,1258,80,1839,759,40,1238,422,910,0,24,483,1261,623,0,7,319,751
15-04,2344,1589,1113,1073,158,784,730,75,20,366,4,16,82,0,179,1677,9,252,2,8,41,0,91,1186,70,1766,508,28,1266,295,687,0,14,784,859,513,0,8,589,479
01-28,4342,2375,2107,1631,604,1229,951,195,41,1635,9,43,112,0,624,1878,17,789,6,17,59,0,205,1282,122,2685,1535,57,1632,686,2374,0,37,298,1633,1454,0,12,150,759
16-02,4802,2328,2422,1883,497,1314,871,143,42,2412,20,36,234,1,652,1405,20,1240,11,14,69,0,179,795,370,2914,1518,91,1600,637,2707,0,40,486,1569,1450,0,6,234,638
10-02,4058,2030,2060,1603,395,1100,808,122,43,1252,15,24,210,1,546,1967,21,620,6,5,63,1,144,1170,291,2589,1178,70,1486,474,1583,1,27,1011,1436,822,1,13,622,572
06-09,8295,5214,4005,3643,647,2570,2316,328,267,461,20,40,298,0,728,6481,127,288,12,22,141,0,369,4255,303,5408,2584,148,3492,1574,1994,0,75,2509,3717,1383,0,41,1621,2169
13-01,5589,2649,2727,2069,793,1411,1003,235,193,2284,14,58,327,1,891,1821,73,1083,5,21,120,0,266,1081,337,3329,1923,99,1761,789,2839,0,38,634,2078,1494,0,12,328,815
16-09,4646,2726,2238,1917,491,1365,1148,213,93,1519,16,27,197,0,524,2270,37,919,9,11,78,0,213,1459,221,3106,1319,72,1944,710,1952,0,35,962,1697,1203,0,13,621,889
19-20,3793,2337,1853,1645,295,1191,1018,128,109,661,10,21,158,0,335,2499,52,414,6,10,79,0,160,1616,131,2665,997,66,1741,530,1207,0,20,1109,1457,789,0,10,733,805
07-05,1821,1179,989,687,145,661,458,60,20,246,2,4,69,0,155,1325,13,118,2,1,25,0,66,954,55,1342,424,30,934,215,695,0,18,414,694,468,0,6,282,423
12-08,5185,2962,2583,2155,447,1495,1284,183,83,921,16,28,234,0,546,3357,38,497,9,16,83,0,231,2088,238,3339,1608,88,2038,836,1683,0,59,1414,2029,988,0,24,897,1053
20-03,4588,2893,2248,1952,388,1452,1251,190,154,228,12,22,163,1,423,3585,64,122,5,9,74,0,207,2412,148,3199,1241,73,2119,701,1303,0,31,1186,2068,913,0,15,770,1195
19-21,5322,3118,2597,2275,450,1578,1359,181,227,1407,9,40,322,0,555,2762,85,849,4,21,134,0,227,1798,264,3579,1479,104,2250,764,1951,0,44,1283,2044,1201,0,20,797,1100
08-02,4029,2797,1985,1771,273,1416,1252,129,98,337,6,21,111,0,321,3135,52,185,5,12,65,0,156,2322,105,2965,959,55,2191,551,1289,1,25,952,1762,941,1,14,688,1153
10-05,3582,2377,1760,1555,267,1199,1065,113,34,982,9,23,92,0,357,2085,12,675,6,12,47,0,167,1458,136,2508,938,58,1779,540,1304,0,35,1041,1202,897,0,23,727,730
06-10,4806,2951,2332,2131,343,1465,1323,163,172,495,20,22,234,0,402,3461,77,292,11,15,112,0,180,2264,187,3200,1419,80,2080,791,1223,0,31,1448,2104,792,0,16,958,1185
08-08,4279,3022,2026,1932,321,1463,1395,164,112,245,8,23,134,1,373,3383,68,170,5,15,82,1,200,2481,125,3173,981,80,2327,615,1221,0,29,1132,1897,950,0,15,815,1242
17-13,5286,3003,2681,2127,478,1634,1196,173,94,1902,11,55,197,0,545,2482,42,1074,5,27,68,0,198,1589,210,3570,1506,61,2221,721,2394,1,38,996,1857,1429,0,17,620,937
01-39,2521,1482,1235,1014,272,780,592,110,32,484,4,10,95,0,257,1639,21,203,2,6,44,0,103,1103,68,1748,705,29,1116,337,1042,1,18,447,1013,652,1,11,289,529
05-07,7834,4019,3628,3314,892,1907,1704,408,2177,836,49,65,751,0,993,2963,997,416,20,27,331,0,450,1778,261,4635,2938,136,2454,1429,2635,0,43,973,4183,1419,0,18,496,2086
01-50,2896,1448,1496,1077,323,862,509,77,46,1968,5,23,124,0,415,315,24,1111,2,4,34,0,99,174,148,1707,1041,33,988,427,1980,0,25,112,779,1131,0,7,44,266
01-37,1834,1312,901,821,112,666,596,50,21,96,1,5,42,0,129,1540,16,62,1,3,27,0,59,1144,20,1420,394,12,1066,234,623,0,14,492,705,492,0,8,337,475
14-01,826,565,396,362,68,267,262,36,6,45,8,2,12,0,81,672,2,36,5,0,8,0,46,468,10,604,212,3,424,138,181,0,6,324,315,128,0,2,238,197
16-10,4760,2289,2431,1816,513,1283,841,165,54,2922,6,40,262,1,664,811,18,1495,2,9,75,1,205,484,376,2743,1641,96,1442,751,2912,0,20,369,1459,1499,0,11,190,589
17-03,6385,3599,3177,2567,641,1880,1471,248,200,2196,18,68,312,0,731,2860,91,1233,8,40,129,0,268,1830,294,4141,1950,136,2525,938,3009,2,55,1011,2308,1836,1,25,600,1137
18-08,4134,2572,1956,1766,412,1255,1133,184,175,393,13,19,224,1,417,2892,90,199,7,12,121,0,190,1953,127,2881,1126,56,1912,604,1336,1,32,922,1843,877,1,12,584,1098
07-07,3415,2353,1748,1411,256,1242,985,126,69,310,2,9,130,0,286,2609,35,141,0,5,59,0,151,1962,95,2588,732,45,1879,429,1155,0,21,835,1404,833,0,11,619,890
19-15,3049,1774,1553,1221,275,923,735,116,102,425,10,19,147,0,301,2045,49,251,2,13,56,0,119,1284,126,2085,838,41,1293,440,896,0,13,962,1178,571,0,5,583,615
04-02,2550,1653,1248,1131,171,846,735,72,62,176,4,20,164,0,262,1862,27,89,3,12,66,0,93,1363,192,1718,640,61,1230,362,913,0,18,523,1096,603,0,3,370,677
02-06,2609,1914,1260,1213,136,952,901,61,52,125,8,6,79,2,155,2182,28,88,2,4,59,2,74,1657,27,2053,529,17,1578,319,603,0,20,987,999,462,0,10,768,674
01-22,3819,1868,1959,1378,482,1095,634,139,35,2754,12,28,130,0,566,294,13,1493,6,7,29,0,155,165,188,2231,1400,38,1249,581,2587,1,14,95,1122,1441,1,4,35,387
07-04,3980,2466,2013,1551,416,1287,991,188,54,609,6,28,141,0,441,2701,23,280,2,15,61,0,197,1888,151,2785,1044,61,1866,539,1543,1,31,680,1725,1001,1,13,452,999
17-05,3818,2142,1954,1488,376,1172,836,134,164,1400,6,37,235,0,511,1465,69,795,3,22,89,0,175,989,289,2399,1130,114,1503,525,1856,1,15,551,1395,1125,0,7,343,667
18-07,3780,2624,1791,1764,225,1285,1219,120,72,287,14,18,140,1,252,2996,34,188,7,13,68,1,119,2194,139,2773,868,51,2023,550,941,0,29,1302,1508,657,0,17,956,994
19-11,3471,2119,1750,1414,307,1096,891,132,53,402,8,18,114,0,345,2531,28,209,5,11,58,0,153,1655,126,2440,905,58,1570,491,1039,0,25,997,1410,659,0,11,645,804
01-21,4049,2166,1836,1698,515,1051,911,204,105,988,8,44,208,0,613,2083,63,435,3,22,73,0,225,1345,217,2526,1306,58,1490,618,1717,2,34,525,1771,982,2,9,288,885
10-03,2824,1545,1460,1144,220,829,629,87,24,838,7,18,124,0,298,1515,13,426,3,6,35,0,107,955,195,1859,770,47,1127,371,1146,0,22,695,961,644,0,12,440,449
17-12,3422,1756,1758,1324,340,953,671,132,116,1450,12,33,173,0,430,1208,26,772,6,16,44,0,147,745,240,2105,1077,72,1200,484,1733,0,13,496,1180,940,0,6,251,559
19-07,5137,3176,2578,2132,427,1624,1343,209,88,965,5,25,189,0,488,3377,44,502,3,11,98,0,238,2280,183,3499,1455,76,2257,843,1579,2,37,1557,1962,1014,2,18,1002,1140
08-10,2726,1698,1346,1148,232,863,732,103,95,358,3,28,122,0,246,1874,49,189,2,14,71,0,115,1258,97,1929,700,55,1277,366,926,0,12,606,1182,603,0,6,378,711
01-26,2418,1088,1053,873,492,547,448,93,29,1126,5,28,46,0,515,669,20,438,3,12,17,0,101,497,67,1295,1056,30,726,332,1266,0,20,82,1050,668,0,10,41,369
08-06,2082,1024,1013,820,249,514,401,109,21,499,4,12,79,0,273,1194,12,202,2,6,25,0,109,668,79,1317,686,30,674,320,889,0,25,302,866,469,0,10,152,393
04-20,3024,1855,1511,1263,250,956,769,130,166,316,5,26,181,0,320,2010,83,160,4,12,78,0,152,1366,176,2003,845,72,1317,466,1139,2,22,564,1297,722,2,6,367,758
01-49,2842,1248,1256,1068,518,586,486,176,74,759,3,38,142,0,528,1298,29,260,0,17,50,0,178,714,131,1653,1058,44,790,414,1212,1,34,329,1266,592,0,7,165,484
06-04,4216,2460,2097,1747,372,1254,1040,166,111,511,13,21,214,1,438,2907,55,283,7,8,105,0,191,1811,195,2654,1367,84,1629,747,1299,0,31,1012,1874,829,0,13,614,1004
17-01,2685,1384,1304,1092,289,738,567,79,87,940,7,20,161,0,388,1082,28,503,4,9,50,0,109,681,166,1677,842,40,996,348,1389,1,18,365,912,768,0,6,220,390
20-11,5817,3700,2737,2512,568,1764,1629,307,400,289,12,28,299,1,589,4199,208,179,3,15,165,1,322,2807,214,3838,1765,120,2533,1047,1617,0,38,1406,2756,1116,0,21,901,1662
04-13,4622,3186,2253,2059,310,1578,1439,169,604,210,18,32,336,1,360,3061,342,149,12,15,214,1,192,2261,140,3253,1229,94,2351,741,1300,0,27,954,2341,973,0,16,668,1529
17-11,4408,2262,2076,1797,535,1157,938,167,298,1581,12,61,363,0,760,1333,117,945,5,25,123,0,228,819,475,2498,1435,153,1474,635,2121,1,27,591,1668,1222,0,8,324,708
05-06,5270,3399,2564,2279,427,1701,1480,218,913,202,16,25,382,0,489,3243,494,126,10,13,228,0,269,2259,117,3567,1586,64,2406,929,1491,0,19,1101,2659,1033,0,7,747,1612
01-36,2538,1702,1274,1071,193,874,715,113,40,113,4,17,57,0,187,2120,27,50,2,8,33,0,109,1473,35,1918,585,18,1328,356,751,0,21,853,913,522,0,12,603,565
04-15,2457,1673,1221,1050,186,852,721,100,86,194,5,12,109,0,213,1838,48,99,3,8,64,0,126,1325,94,1699,664,52,1216,405,801,0,15,515,1126,590,0,4,369,710
08-03,5538,3135,2687,2303,548,1561,1340,234,194,940,21,36,246,2,576,3523,84,430,8,20,98,1,255,2239,208,3717,1613,86,2248,801,1973,0,40,1152,2373,1150,0,15,720,1250
20-08,5030,3128,2437,2209,384,1542,1397,189,383,318,4,29,267,0,434,3595,209,158,4,14,133,0,206,2404,155,3430,1445,64,2245,819,1445,0,41,1211,2333,938,0,20,807,1363
04-01,2285,1435,1218,896,171,793,560,82,64,232,3,10,91,0,201,1684,23,101,2,5,40,0,89,1175,79,1569,637,30,1055,350,876,0,12,473,924,595,0,5,304,531
01-19,1751,781,822,690,239,431,284,66,8,1183,6,13,51,1,289,200,5,545,3,6,10,0,78,134,76,1005,670,13,524,244,1174,0,5,68,504,599,0,1,27,154
17-07,3652,1915,1799,1454,399,1032,766,117,84,2000,4,35,221,0,583,725,39,1191,1,16,62,0,181,425,296,2171,1185,77,1313,525,2204,0,21,270,1157,1254,0,3,144,514
07-13,2189,1475,1125,878,186,797,598,80,42,310,2,14,51,0,214,1556,17,161,1,7,31,0,95,1163,62,1590,537,29,1141,305,827,0,15,502,845,560,0,5,373,537
