id,No,Yes,under
15-02,36,134,1
15-04,28,78,2
16-01,10,29,0
16-02,65,267,0
16-03,61,157,7
16-04,156,448,3
16-05,44,130,1
16-06,56,105,1
16-07,204,524,11
16-09,50,266,2
16-11,39,38,1
18-04,2,4,0
