id,No,Yes,over,under
19-03,807,940,0,111
19-05,448,426,0,47
19-07,1275,1789,0,162
19-09,6,6,0,0
19-11,904,1195,0,128
19-12,1875,2299,1,204
19-15,299,389,1,37
19-18,504,632,0,55
19-19,1176,1438,0,115
19-20,722,966,1,99
19-21,407,532,3,44
