id,Cynthia Ball,under
01-01,1428,300
01-02,1328,311
01-03,1388,618
01-04,697,292
01-07,2118,510
01-07A,151,52
01-16,2075,644
01-23,3867,808
01-29,1405,753
01-31,2068,462
01-33,1259,479
01-41,1444,322
04-05,2380,953
04-21,1161,332
11-01,3844,1269
11-02,3044,1223
18-01,3163,699
