id,Maria Cervania,Matthew Laszacs,over,under
04-08,1642,431,1,194
04-09,1565,637,0,319
04-17,1127,298,0,135
04-18,1698,536,2,249
05-01,2189,816,3,414
05-03,2416,898,0,472
05-05,4439,1221,0,628
05-06,3159,1057,1,580
05-07,5044,1409,3,565
05-08,3048,729,0,303
20-10,2019,632,2,260
20-17,3230,995,0,448
