id,Mike Causey,Natasha Marcus,over,under
05-03,1429,2204,0,153
05-05,1878,4202,2,206
05-06,1737,2856,1,203
05-07,2111,4710,0,200
05-08,1119,2840,0,121
06-04,1523,2135,0,137
06-05,1620,1238,0,98
06-06,2536,3209,2,201
06-07,1321,1765,1,126
06-08,826,1180,0,70
06-10,2433,2538,0,191
06-11,491,649,0,47
06-12,3293,3318,0,266
07-01,516,1039,0,52
07-02,561,819,1,63
07-03,595,801,0,59
07-04,1084,2235,1,131
07-05,569,1001,0,52
07-06,1456,1794,0,113
07-07,1270,1870,0,104
07-07A,187,335,0,40
07-09,1014,1721,1,100
07-10,1455,2944,0,167
07-11,411,624,0,44
07-12,800,1469,0,83
07-13,733,1263,0,61
08-02,1410,2186,1,150
08-03,1888,3268,0,215
08-04,844,820,0,47
08-05,834,1085,0,66
08-06,420,1238,0,60
08-07,1197,1152,0,82
08-08,1690,2201,2,144
08-09,620,1060,0,62
08-10,881,1540,0,95
08-11,1349,2208,1,177
09-01,1205,852,1,45
09-02,1127,1963,0,106
09-03,2097,2686,0,116
10-01,736,388,0,37
10-02,1601,2014,0,109
10-03,1176,1605,0,73
10-05,1711,1841,0,90
10-06,2060,3662,1,193
11-01,1692,3204,1,216
11-02,1577,2520,1,169
12-01,3541,2729,1,213
12-02,2364,2888,0,170
12-04,3158,2092,1,158
12-06,2987,2901,4,215
12-07,1621,1326,0,77
12-08,2182,2508,1,160
12-09,2825,2336,0,193
12-10,2250,2286,1,171
12-11,1672,1481,1,124
13-01,1235,3921,0,156
13-02,773,990,1,68
13-05,462,1424,0,56
13-06,1066,1518,0,92
13-07,534,1460,0,67
13-08,533,2101,0,83
13-09,896,2858,1,110
13-10,2218,3039,1,221
13-11,1301,1617,0,112
14-01,518,255,0,26
14-02,4374,2905,0,207
15-01,2068,1705,0,116
15-02,2607,2767,0,171
15-03,2824,1962,0,130
15-04,1129,924,0,59
16-01,1257,1593,0,91
16-02,854,3287,0,116
16-03,441,790,1,43
16-04,1104,1484,0,63
16-05,917,1252,0,70
16-06,340,713,0,37
16-07,1222,1799,0,94
16-09,1634,2924,0,136
16-10,581,3380,0,83
16-11,886,3089,0,121
17-01,606,1567,0,75
17-02,718,1113,0,62
17-03,1628,3987,0,173
17-05,967,2350,2,101
17-06,912,1117,0,75
17-07,530,2498,2,70
17-09,413,2625,0,68
17-10,332,677,0,46
17-11,1048,2806,0,120
17-12,770,2137,1,85
17-13,1489,3057,1,144
17-14,1320,3079,2,107
17-15,786,1442,1,80
18-01,895,2820,0,147
18-02,2370,2118,3,151
18-03,815,1240,0,56
18-04,1960,2046,0,122
18-05,2102,2613,1,157
18-06,986,2355,2,126
18-07,1931,1639,0,115
18-08,1397,2301,1,126
19-03,1467,1590,0,99
19-05,1806,1372,1,91
19-07,2253,2563,0,168
19-09,2604,2245,1,138
19-11,1434,1622,0,124
19-13,742,1094,0,71
19-14,1171,1449,0,103
19-15,1270,1378,2,78
19-16,1127,1367,0,61
19-17,1420,3188,0,168
19-18,1766,1959,2,111
19-19,3568,3231,0,242
19-20,1595,1788,0,93
19-21,1917,2715,3,146
19-22,1431,1501,1,113
19-23,1977,2527,0,165
20-01,1259,2006,0,112
20-03,1681,2347,0,165
20-04,1089,2042,0,119
20-05,1727,2096,1,161
20-06A,1763,2882,1,206
