id,Eric Blankenburg,Guy Meilleur,Valerie P. Foushee,over,under
03-01,1835,98,2633,0,123
03-02,1211,65,1457,1,77
04-07,1231,26,1257,0,79
04-10,622,20,1062,0,45
04-13,1442,89,2756,0,115
04-19,502,41,1038,0,32
05-07,2055,191,4619,2,154
05-08,1053,100,2828,0,99
06-04,1460,108,2122,0,105
06-06,2418,163,3191,0,176
06-07,1277,84,1760,0,92
06-08,777,60,1184,0,55
06-10,2300,130,2577,1,154
06-11,470,33,650,1,31
06-12,3132,150,3409,1,185
12-02,2255,139,2887,3,138
12-08,2100,129,2480,0,142
18-05,1955,84,2728,1,105
20-01,1185,93,1991,0,108
20-03,1584,102,2388,0,119
20-04,1044,69,2057,0,80
20-05,1632,83,2154,0,116
20-06A,1659,109,2946,0,138
20-06B,1247,99,1906,0,96
20-08,1770,128,2552,2,138
20-09,948,64,1521,0,72
20-10,903,63,1857,1,89
20-11,2161,140,3322,1,153
20-12,2115,123,3464,0,144
20-14,2318,146,4362,0,143
20-15,1254,81,2902,0,124
20-16,1159,78,2784,0,106
20-17,1564,64,2923,1,121
